"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","coordinatePrecision","geoFlag","class","typeStatus","individualCount","imagecode","preparationType"
"1","2021-04-07 11:47:13-03","UFMS","CGMS","57387","PreservedSpecimen","Plantae","Poaceae","Axonopus","uninodis","Axonopus uninodis","(Hack.) G.A. Black","A. Guglieri","V.J. Pott; E. Scremin-Dias; A. Pott","8559","2005","12","12","Brasil","Mato Grosso do Sul","Porto Murtinho","Fazenda Laudejá, divisa com Fazenda Santo Antônio, entorno do Parque Nacional da Serra da Bodoquena.","-56.7813889","-21.1166667","-56,7813889","-21,1166667","525","525","Base da planta arroxeada. Habitat: Campo herbáceo úmido com surgências, em declive, após fogo e chuva. Solo argiloso de origem calcária. Relevo levemente inclinado. Esparso. Habito: Erva cespitosa anfíbia, 30-35cm de altura, escapo 6","CGMS1087313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-07 11:47:13-03","UFMS","CGMS","49844","PreservedSpecimen","Plantae","Poaceae","Axonopus","uninodis","Axonopus uninodis","(Hack.) G.A. Black",NA,"V.J. Pott; S.N. Moreira; A. Pott","11019","2010","09","25","Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo, Embrapa, varjão próximo à ferrovia Campo Grande - Ponta Porã.","-54.7908333","-20.5588889","-54,7908333","-20,5588889","311","311","Fruto verde. Habitat: Lagoa pequena permanente, quase seca, com 20 cm de profundidade, com Rhynchospora corymbosa e Pontederia cordata. Solo argiloso. Relevo plano. Esparsa. Habito: Erva cespitosa, anfíbia. 0,30 - 0,40 m de altura, e","CGMS1079775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-07 11:47:13-03","UFMS","CGMS","49826","PreservedSpecimen","Plantae","Poaceae","Axonopus","uninodis","Axonopus uninodis","(Hack.) G.A. Black",NA,"V.J. Pott; S.N. Moreira; A. Pott","11005","2010","09","17","Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo, Embrapa, varjão próximo à ferrovia Campo Grande - Ponta Porã.","-54.7888889","-20.5583333","-54,7888889","-20,5583333","510","510",NA,"CGMS1079757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-07 11:47:13-03","UFMS","CGMS","69332","PreservedSpecimen","Plantae","Poaceae","Axonopus","uninodis","Axonopus uninodis","(Hack.) G.A. Black","V.J. Pott","V.J. Pott; A. Pott; G. Catian","12334","2016","10","21","Brasil","Mato Grosso do Sul","Bonito","Fazenda Gramado. Banhado do Rio da Prata.","-56.6019444","-21.3927777","-56,6019444","-21,3927777","350","350",NA,"CGMS1102290","2016","11","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-07 11:47:13-03","UFMS","CGMS","56031","PreservedSpecimen","Plantae","Poaceae","Axonopus","uninodis","Axonopus uninodis","(Hack.) G.A. Black","A. Guglieri","V.J. Pott; E. Scremin-Dias; A. Pott","8192","2005","09","09","Brasil","Mato Grosso do Sul","Bonito","Fazenda Princesinha, banhados do rio Perdido, próximo a MS-382, borda oeste do Parque Nacional Serra da Bodoquena.","-56.8391666","-21.0608333","-56,8391666","-21,0608333","565","565",NA,"CGMS1085988","2006","08","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-07 11:47:13-03","UFMS","CGMS","49825","PreservedSpecimen","Plantae","Poaceae","Axonopus","uninodis","Axonopus uninodis","(Hack.) G.A. Black",NA,"V.J. Pott; S.N. Moreira; A. Pott","11020","2010","11","01","Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo, Embrapa, varjão próximo à ferrovia Campo Grande - Ponta Porã.","-54.7908333","-20.5588889","-54,7908333","-20,5588889","311","311","Fruto verde. Habitat: Lagoa pequena permanente, quase seca, com 20 cm de profundidade, com Rhynchospora corymbosa e Pontederia cordata. Solo argiloso. Relevo plano. Esparsa. Habito: Erva cespitosa anfíbia. 0,30 - 0,40 m de altura, es","CGMS1079756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-10-01 14:26:47-03","JBB","HEPH","23679","S","Plantae","Poaceae","Axonopus","uninodis","Axonopus uninodis","(Hack.) G.A.Black","Delfini, C","Chacon, RG","301","2008","02","13","Brasil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília - Área do Cristo Redentor - campo em frente à mata do Taquara.","-47.903333","-15.923889","-47.903333","-15.923889","1043","1043","Erva anual, cespitosa",NA,"2016","07",NA,"Monocotyledon","Poales","Southern America",NA,NA,NA,NA,NA,NA,NA
"8","2020-10-01 14:26:47-03","JBB","HEPH","18154","S","Plantae","Poaceae","Axonopus","uninodis","Axonopus uninodis","(Hack.) G.A.Black","Delfini, C","Rodrigues Silva, R","534","2001","12","05","Brasil","Distrito Federal","Brasília","Córrego Bananal próximo a EPIA","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"Formando grandes touceiras",NA,"2016","12",NA,"Monocotyledon","Poales","Southern America","70570","auto",NA,NA,NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","227012","PreservedSpecimen","Plantae","Poaceae","Axonopus","kleinii","Axonopus kleinii","L.B. Sm. & Wassh.",NA,"Lyman B. Smith|Roberto M. Klein","Smith 7432","1956","11","8","Brazil","Santa Catarina",NA,"Mpio. Campo Alegre. Morro Iquererim.",NA,NA,NA,NA,"1300.00000000","1500.00000000",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","1005546","PreservedSpecimen","Plantae","Poaceae","Axonopus","uninodis","Axonopus uninodis","(Hack.) G.A. Black","G. Davidse (MO)","Émile Hassler","Hassler 11382","1912",NA,NA,"Paraguay","Amambay",NA,"In altaplanitie, Sierra de Amambay.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"11","2009-07-17 14:12:00-03","MO","MOBOT","1891886","PreservedSpecimen","Plantae","Poaceae","Axonopus","uninodis","Axonopus uninodis","(Hack.) G.A. Black","Gerrit Davidse, 2003 (MO)","Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 10611","1965","11","23","Brazil","Distrito Federal",NA,"Marshy campo, adjacent to gallery forest, immediately W of Setor Industrial, Brasília",NA,NA,NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"12","2011-02-07 10:00:00-02","MO","MOBOT","229495","PreservedSpecimen","Plantae","Poaceae","Axonopus","uninodis","Axonopus uninodis","(Hack.) G.A. Black",NA,"M. Wacket","Wacket s.n.","1902",NA,NA,"Brazil","São Paulo",NA,"Pilar, Alto da Serra de Santos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"13","2011-12-22 05:00:00-02","MO","MOBOT","212562","PreservedSpecimen","Plantae","Poaceae","Axonopus","uninodis","Axonopus uninodis","(Hack.) G.A. Black","O. Morrone (SI)","Teodoro Rojas","Rojas 6390","1933","10",NA,"Paraguay","Amambay",NA,"Estrella.","-57.7","-22.16666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","2237569","PreservedSpecimen","Plantae","Poaceae","Axonopus","kleinii","Axonopus kleinii","L.B. Sm. & Wassh.",NA,"L. B. Smith & R. M. Klein","7432","1956","11","8","Brazil","Santa Catarina","Campo Alegre","Morro Iquererim.","-49.2655982971191","-26.1924991607666",NA,NA,"1300","1500",NA,"US00130247",NA,NA,NA,NA,"Cyperales","South America","37493","auto","Monocotyledonae","Holotype","1","US00130247_01",NA
