"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","158625","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.","isotype","H. S. Irwin","27007","1970","03","06","South America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral: immediately east of Joaquim Felício.","-44.1719","-17.7575","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158625","NY00158625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-15 11:14:22-03","FUNED","FUNED-POL","4599","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala",NA,NA,"São-Thiago, P.S.,Silveira,M.A.,",NA,"2009","12","06",NA,"Brasil","MG","Januária","Parque Estadual Veredas do Peruaçu, MG. Próximo à sede.","-44.628889","-14.935833",NA,NA,NA,"Pétalas amarelas","POL004599",NA,"44W 37' 44''","14S 56' 09''",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:34:28-03","EAO","IAN","105911","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Magalhães, MG","30","1953","12","08","Southern America","Brasil","Minas Gerais","Buenópolis","Serra do Cabral. Campo garminoso plano.","-44.1800003051758","-17.8733005523682",NA,NA,NA,"Subarbusto de 1-1,50m de altura, flor amarela.","IAN105911",NA,NA,NA,"Santos, JUM dos","1991","10","24","42854","auto",NA,NA
"4","2019-10-09 11:09:48-03","UFBA","ALCB","133134","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Reis-Silva, GA; Oliveira, LGR; Carrión-Rodriguez, JF","163","2016","09","24","Southern America","Brasil","Minas Gerais",NA,"P.E. Serra do Cabral, localidade Corrego Lageado.",NA,NA,NA,NA,NA,"De ca. 70 m de altura. Capítulos com flores do raio e disco amarelas, brácteas involucrais de ápice verde escuro.; Solo arenoso, borda de córrego.","ALCB050846",NA,NA,NA,NA,"2017","12",NA,NA,NA,NA,NA
"5","2019-10-09 11:09:48-03","UFBA","ALCB","133135","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Reis-Silva, GA; Oliveira, LGR; Carrión-Rodriguez, JF","159","2016","09","24","Southern America","Brasil","Minas Gerais",NA,"P.E. Serra do Cabral, estrada de Joaquim Felício para Várzea da Palma, córrego de Água Fria.","-44.197778","-17.690833",NA,NA,NA,"ca. 70 cm, involucro cilíndrico, ápice das brácteas involucrais verde escuro, flores amarelas, ceipselas marrons.; Cresce próximo a curso d' água.","ALCB050847",NA,"-44.197778","-17.690833",NA,"2017","12",NA,NA,NA,NA,NA
"6","2019-10-09 11:09:48-03","UFBA","ALCB","114932","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Hatschbach, G; Barbosa, E","79380","2005","09","20","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral.","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Ereto, 50 cm de altura, capítulo amarelo.; Solo arenoso, junto a rochas.",NA,NA,NA,NA,"Robson, H","2006",NA,NA,"37503","auto",NA,NA
"7","2019-10-09 11:09:48-03","UFBA","ALCB","60470","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Hatschbach, G; Schinini, A; Silva, JM","64713","1996","04","14","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral, subida (Município de Joaquim Felício","-44.1721992492676","-17.7574996948242","900","900",NA,"70 cm, capítulo amarelo.",NA,NA,NA,NA,"Rob., H","2001",NA,NA,"37503","auto",NA,NA
"8","2019-10-09 11:09:48-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H.Rob.",NA,"Hatschbach, G; Schinini, A; Silva, JM","64713","1996","04","14","Southern America","Brasil","Minas Gerais","Joaquim Felício","Subida da Serra do Cabral","-44.1721992492676","-17.7574996948242","900","900",NA,"70cm. Capítulo amarelo.",NA,NA,NA,NA,"Rob., H","2001",NA,NA,"37503","auto",NA,NA
"9","2020-12-20 21:15:38-03","UFV","VIC","050634","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Reis-Silva, G.A.; et al.","151","2016","09","24",NA,"Brasil","Minas Gerais","Diamantina","P.E. Biribiri","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Subarbusto de ca de 60 m de altura, capítulos cilindricos invólucro 4 seriado, brácteas de ápice verde escuro, flores de raio e disco amarelo, anteras enegrecidas, solo arenoso pedregoso.","VIC050634",NA,NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA
"10","2020-12-20 21:15:38-03","UFV","VIC","9467","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Aspilia","cylindrocephala","Aspilia cylindrocephala","H. Rob.",NA,"Vieira, M.F.","268","1986","01","23",NA,"Brasil","Minas Gerais",NA,"Serra de Itabirito - Estrada Itabirito - BH, Subindo próximo à lanchonete Cabana da Serra.",NA,NA,NA,NA,NA,"Subarbusto, c.a. de 60 cm de altura; flores amarelas.","VIC009467","VIC009467",NA,NA,"Magenta, M.","2004","07",NA,NA,NA,NA,NA
