"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","dayIdentified","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordedBy","year","month","day","recordNumber"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","2881","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","aff. burlemarxii","Neoregelia aff. burlemarxii","R.W.Read","Elton. C. M. Leme","2011","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1182","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","burlemarxii","Neoregelia burlemarxii","R.W.Read",NA,NA,NA,"1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","2882","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","burlemarxii","Neoregelia burlemarxii","R.W.Read","Elton. C. M. Leme","2011","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1228","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","burlemarxii","Neoregelia burlemarxii","R.W.Read","Elton C. M. Leme","2008","04","1","254","28","Brasil","Rio de Janeiro","Rio de Janeiro","Coleção Orlando Gralt","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA
"5","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","624","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","burlemarxii","Neoregelia burlemarxii","R.W.Read","Elton. C. M. Leme","2009","05","2","254",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Fazenda do Frade, Mata Atlântica","-44.3180999755859","-23.0067005157471","32988","auto","Elton M. C. Leme;","2002","07","19",NA
"6","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","621","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","burlemarxii","Neoregelia burlemarxii","R.W.Read","Elton. C. M. Leme","2011","08","1","254",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Fazenda do Frade, Mata Atlântica","-44.3180999755859","-23.0067005157471","32988","auto","Elton M. C. Leme;","2002","07","19",NA
"7","2019-06-10 10:10:27-03","FZB-BH","BHZB","11694","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","burlemarxii","Neoregelia burlemarxii",NA,"Elton. C. M. Leme",NA,NA,NA,"Planta com folhas verdes serrilhadas, folhas centrais com base branca e ápice rosado; flores roxas com listras brancas.",NA,"Brasil","MG","Belo Horizonte","FZBBH- Coleção de Plantas Exóticas e Sem Procedência..CVJBFZB 2882","-43.937801361084","-19.9207992553711","17082","auto","Swerts, M.","2016","10","11","52"
"8","2019-06-10 10:10:27-03","FZB-BH","BHZB","4709","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","burle-marxii","Neoregelia burle-marxii",NA,NA,NA,NA,NA,"Cultivado2002 037. Doação da coleção Orlando Gralt. Folhas verdes, as do interior roxas. Inflorescência séssil, brácteas verdes, perianto claro.",NA,"Brasil","MG","Belo Horizonte","FZB/BH - Coleção","-43.937801361084","-19.9207992553711","17082","auto","Echternacht, L.A.","2004","12","02",NA
