"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","individualCount","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","infraspecificEpithet","class","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","2995","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cipocereus","minensis","Cipocereus minensis","(Werderm.) Ritter.","Daniela Zappi","2009","11","11","Carlos Alberto F. Jr.;","2009","11","11","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Senhorinha, Inhamés","43°46.198'","18°57.685'","1084","1084","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","2994","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cipocereus","minensis","Cipocereus minensis","(Werderm.) Ritter.","Daniela Zappi","2009","11","11","Carlos Alberto F. Jr.;","2009","11","11","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Senhorinha, Inhamés","43°46.198'","18°57.685'","1084","1084","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","2989","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cipocereus","minensis","Cipocereus minensis","(Werderm.) Ritter.","Daniela Zappi","2009","11","13","Carlos Alberto F. Jr.;","2009","11","13","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Cachoeira do Inhamé","43°47.337'","18°54.503'","1209","1209","254","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3486","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cipocereus","minensis","Cipocereus minensis","(Werderm.) Ritter.","Lucas Assis","2014","08","11","Lucas Assis; Kelen Soares","2014","08","08","Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada da cachoeira do Tabuleiro",NA,NA,NA,NA,"254","1","-43.4249992370605","-19.0372009277344","60318","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00996940","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cipocereus","minensis","Cipocereus minensis","F.Ritter","N. P. Taylor; D. C. Zappi",NA,NA,NA,"H. S. Irwin","1969","02","21","Brazil","Minas Gerais","Cristália","Serra do Espinhaço, ca. 18 km west of Grão Mogol",NA,NA,"950","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139331' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"-42.9909","-16.65775",NA,NA,"23675","South America","sheet","NY00996940","NY00996940_01",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00996941","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cipocereus","minensis","Cipocereus minensis pleurocarpus","(F.Ritter) N.P.Taylor & Zappi","N. P. Taylor; D. C. Zappi",NA,NA,NA,"H. S. Irwin","1968","02","19","Brazil","Minas Gerais",NA,"Serra do Cipó, km. 115 (ca. 140km N. of Belo Horizonte).",NA,NA,"1250","1250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139337' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"-43.4","-18.9",NA,NA,"20479","South America","sheet","NY00996941","NY00996941_01","pleurocarpus",NA,NA,NA
"7","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0252717","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Cipocereus","minensis","Cipocereus minensis","(Werderm.) F.Ritter",NA,NA,NA,NA,"Horst L",NA,NA,NA,"Brazil","Minas Gerais",NA,"Brazil",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252717 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"Southern America",NA,"NL-U0252717",NA,NA,"Magnoliopsidae",NA,NA
"8","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0007651","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Cipocereus","minensis","Cipocereus minensis pleurocarpus","(F.Ritter) N.P.Taylor & Zappi","Zappi DC; Taylor NP","1991","10","01","Ritter F","1964","11","01","Brazil","Minas Gerais",NA,"Minas Gerais; 'Serra de Cipo'",NA,NA,NA,NA,"on rocks.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"Southern America",NA,"NL-U0007651","NL-U0007651","pleurocarpus","Magnoliopsidae","holotype",NA
"9","2020-11-04 11:04:12-03","ESALQ","ESA","97797","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cipocereus","minensis","Cipocereus minensis","subsp.","Zappi, D.C.","2007","02","18","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","2007","02","18","Brasil","Minas Gerais","Santana do Pirapama.","Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha do João Carrinho (756-1080 m.s.m.). Campo rupestre.","-437,387","-19,048",NA,NA,"Erva prostrada. Botões vermelhos com ápice creme. Entre rochas (pendente).",NA,"-437.387","-19.048",NA,NA,"32695.0",NA,NA,"ESA097797","ESA097797",NA,NA,NA,NA
"10","2020-11-04 11:04:12-03","ESALQ","ESA","8488","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cipocereus","minensis","Cipocereus minensis","(Werderm.) Ritter","Taylor, N.P.",NA,NA,NA,"Sakuragui, C.M. ; Souza, V.C.","1990","08","04","Brasil","Minas Gerais","Diamantina",NA,NA,NA,NA,NA,NA,NA,"-43.6002998352051","-18.2493991851807","101169","auto","183.0",NA,NA,"ESA008488","ESA008488",NA,NA,NA,NA
"11","2020-11-04 11:04:12-03","ESALQ","ESA","40194","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cipocereus","minensis","Cipocereus minensis","(Werderm.) Ritter","Aona, L.Y.S.",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Capellari Jr., L.; Scalon, V.R.","1996","07","05","Brasil","Minas Gerais","Serro","9km de Serro em direção a Diamantina. Campo rupestre plano.",NA,NA,NA,NA,"Erva, ca. 50 cm alt.; flores externamente azul-escuras, internamente alvas; frutos azul-escuros.",NA,"-43.3793983459473","-18.604700088501","37754","auto","11803.0",NA,NA,"ESA040194","ESA040194",NA,NA,NA,NA
"12","2020-11-04 11:04:12-03","ESALQ","ESA","88391","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cipocereus","minensis","Cipocereus minensis",NA,"Aona, L.Y.S.",NA,NA,NA,"Udulutsch, R.G. ; Temponi, L.G.","2002","11","27","Brasil","Minas Gerais","Diamantina","Estrada para Biribiri. Campo Rupestre.",NA,NA,NA,NA,"Erva. Frutos de coloração azulada.",NA,"-43.6002998352051","-18.2493991851807","101169","auto","1451.0",NA,NA,"ESA088391","ESA088391",NA,NA,NA,NA
"13","2020-11-04 11:04:12-03","ESALQ","ESA","31468","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cipocereus","minensis","Cipocereus minensis","(Werderm.) Ritter","Aona, L.Y.S.",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Scalon, V.R.; Campos, F.J.","1996","01","12","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Rodovia Belo Horizonte - Conceição do Mato Dentro, ca. 4 Km após o Córrego Chapéu de Sol. Campo rupestre.",NA,NA,NA,NA,"Planta de ca. 40 cm alt.; cladódio acinzentado; flores amarelas com base avermelhada.",NA,"-43.7144012451172","-19.1688995361328","26557","auto","10176.0",NA,NA,"ESA031468","ESA031468",NA,NA,NA,NA
"14","2020-11-04 11:04:12-03","ESALQ","ESA","73604","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cipocereus","minensis","Cipocereus minensis","(Werderm.) Ritter","Aona, L.Y.S.",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","2001","07","07","Brasil","Minas Gerais","Diamantina","Estrada entre Diamantina e Conselheiro Mata, ca. 13 km da Estrada Diamantina - Curvelo. Campo rupestre","-434,651","-181,725","1275","1275","Planta de ca. 1 m alt.; frutos azuis. Entre rochas.",NA,"-434.651","-181.725",NA,NA,"25353.0",NA,NA,"ESA073604","ESA073604",NA,NA,NA,NA
"15","2020-11-04 11:04:12-03","ESALQ","ESA","18982","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cipocereus","minensis","Cipocereus minensis","(Werderm.) Ritter","Aona, L.Y.S.",NA,NA,NA,"Souza, V.C. et al.","1995","03","13","Brasil","Minas Gerais","Presidente Kubitschek",NA,NA,NA,NA,NA,NA,NA,"-43.562198638916","-18.6144008636475","13347","auto","8486.0",NA,NA,"ESA018982",NA,NA,NA,NA,NA
"16","2020-11-04 11:04:12-03","ESALQ","ESA","33102","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Cipocereus","minensis","Cipocereus minensis","(Werderm.) Ritter","Aona, L.Y.S.",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Capellari Jr., L.; Scalon, V.R.","1996","07","06","Brasil","Minas Gerais","Diamantina","16 Km de Diamantina em direção a Mendanha. Campo rupestre.",NA,NA,NA,NA,"Planta de ca. 1, 2 m alt.; flores externamente azul-cobalto, internamente verde-clara.",NA,"-43.6002998352051","-18.2493991851807","101169","auto","11928.0",NA,NA,"ESA033102","ESA033102",NA,NA,NA,NA
"17","2021-01-14 15:26:37-03","MN","R","116389","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","minensis","Cipocereus minensis subsp.minensis","(Werderm.) F. Ritter","Zappi, D.","2014",NA,NA,"Mello Filho, L.E.; Andrade, A.G.; Mello, N. & Lessa, E.","1966","07","23","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2209",NA,NA,"R010023288","R010023288","subsp.minensis",NA,NA,NA
"18","2019-02-15 11:35:49-02","IPA","IPA","2081","S","Plantae","Plantae",NA,"Cactaceae","Cipocereus","minensis","Cipocereus minensis pleurocarpus","(F. Ritter) N.P. Taylor & Zappi","Taylor, N.P.; Zappi, D.C.","1990",NA,NA,"Andrade-Lima","1951","01","16","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"Sobre rochas. Flores amarelas, ca. 1,5m de altura; Campos alpinos.",NA,NA,NA,NA,NA,"51-831","Southern America",NA,"IPA0002081",NA,"pleurocarpus",NA,NA,NA
