"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","565018","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","lythroides","Diplusodon lythroides","Mart. ex DC.","A. Lourteig","L. P. de Queiroz","4258","1995","03","14","South America","Brazil","Bahia","Morro do Chapéu","Em torno da estaçao retransmissora da Telebahia, a ca. 6 km W da BA-046 (Morro do Chapéu - Utinga), entrando a ca. 1 km do entroncamento para Morro do Chapéu com a BA-052 (estrada do feijao","-41.1558","-11.5503","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565018","NY00565018_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00941161","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","villosissimus","Diplusodon villosissimus","Pohl","T. B. Cavalcanti","T. B. Cavalcanti","2584","2000","02","27","South America","Brazil","Minas Gerais","Itabirito","Alto do Morro do Cristo, acesso pela cidade de Itabirito.","-44.8411","-20.4242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941161","NY00941161_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00924039","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","villosissimus","Diplusodon villosissimus","Pohl","T. B. Cavalcanti","Martii Herbar. Florae Brasil.","868",NA,NA,NA,"South America","Brazil",NA,NA,"Brasil.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924039","NY00924039_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00924038","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","villosissimus","Diplusodon villosissimus","Pohl","A. Lourteig","G. G. Hatschbach","31509","1973","02","13","South America","Brazil","Minas Gerais","Sete Lagoas","Sete Lagoas","-44.2467","-19.4658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924038","NY00924038_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00924036","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","villosissimus","Diplusodon villosissimus","Pohl","T. B. Cavalcanti","A. F. Regnell","Ser. I116","1867","03","02","South America","Brazil","Minas Gerais","Caldas","Cidade de Caldas","-46.3858","-21.9236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924036","NY00924036_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00941159","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","villosissimus","Diplusodon villosissimus","Pohl","T. B. Cavalcanti","T. B. Cavalcanti","2561","2000","02","26","South America","Brazil","Minas Gerais",NA,"Estrada de Morro do Ferro para Passa Quatro, 8 km. de Morro do Ferro, sentido Passa QUatro. Serra das Vertentes.","-44.9","-21.22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941159","NY00941159_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00924040","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","villosissimus","Diplusodon villosissimus","Pohl","A. Lourteig","H. S. Irwin","19722","1968","02","10","South America","Brazil","Minas Gerais",NA,"Serra do Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.73","-20.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015685' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924040","NY00924040_01","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00924037","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","villosissimus","Diplusodon villosissimus","Pohl","A. Lourteig","Z. A. Trinta","672","1964","03","29","South America","Brazil","Minas Gerais",NA,"Estrada BR-58, entre Caxambú e Ponso Alto",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015680' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924037","NY00924037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:31:09-03","UFRJ","RFA","5155","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","villosissimus","Diplusodon villosissimus","Pohl",NA,"Mendes Magalhães","10089","1958","03","05",NA,"Brasil","Minas Gerais","Belo Horizonte","Serra do Curral","-43.937801361084","-19.9207992553711",NA,"Muito frequente. Subarbustos 0,30 - 0,50 m altura. Flores rosas esparsas, lados NW e S em 18/03/1958","RFA44258",NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:43:20-03","EAO","IAN","138155","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lythraceae","Diplusodon","villosissimus","Diplusodon villosissimus","Pohl","Lourteig, A","Irwin, HS; Maxwell, HS","19722","1968","02","10","Southern America","Brasil","Goiás",NA,"Campo. Steep slopes, campo and adjacent gallery forest, serra do Itabirito, ca. 50km S.E. of Belo Horizonte.",NA,NA,NA,"Subshrub to ca. 30cm tall. Corolla rose-pink.","IAN138155",NA,"1500","1500",NA,NA,"1971",NA,NA,NA,NA,NA,NA,NA,NA,NA
