"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","order","continentOcean","preparationType","barcode","imagecode","typeStatus","class","fieldNumber"
"1","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2613","S","Plantae","Pterifophyta","Dryopteridaceae","Elaphoglossum","cf. pachydermum","Elaphoglossum cf. pachydermum","(Fée) T.Moore","Carlos A. Ferreira Jr.","2013","06","19","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","19","Brasil","Minas Gerais","Catas Altas","Reservatório próximo a Casa do Pesquisador, Serra do Caraça","-43.4075012207031","-20.0746994018555","11966","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2504","S","Plantae","Pterifophyta","Dryopteridaceae","Elaphoglossum","cf. pachydermum","Elaphoglossum cf. pachydermum","(Fée) T.Moore","Carlos A. Ferreira Jr.","2013","02","01","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","caf","2013","01","30","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço & Ermo de Minas, Corrego do cigano","-43.7144012451172","-19.1688995361328","26557","1","254","auto","43°42'22.7","19°02'06.6","1288","1288",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","720565","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","blanchetii","Elaphoglossum blanchetii","(Mett.) C.Chr.",NA,NA,NA,NA,"F. A. Carvalho","31","2001","09","03","Brazil","Minas Gerais","Nova Lima","Mata da Mutuca, Córrego da Mutuca","-43.8466987609863","-19.9855995178223","29211",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2517858' target='other'> <mi>dwc_moreinfo</mi></a>","auto",NA,NA,NA,NA,"Polypodiales","South America","sheet","NY00720565","NY00720565_01",NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02711705","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","pachydermum","Elaphoglossum pachydermum","(Fée) T.Moore",NA,NA,NA,NA,"R. C. Forzza","3147","2004","03","10","Brazil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca, Mata Grande.","-43.885","-21.7031",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2998327' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1400",NA,"Polypodiales","South America","sheet","NY02711705","NY02711705_01",NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2597134","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","pachydermum","Elaphoglossum pachydermum","(Fée) T.Moore",NA,NA,NA,NA,"A. Salino","9250","2003","10","10","Brazil","Minas Gerais","Santa Maria do Salto","Distrito de Talismã, fazenda Duas Barras, próximo a divisa com o estado da Bahia.","-40.05761","-16.40458",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2870720' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"750","850","Polypodiales","South America","sheet","NY02597134","NY02597134_01",NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","886079","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","pachydermum","Elaphoglossum pachydermum","(Fée) T.Moore","R. de F. Novelino",NA,NA,NA,"A. Salino","1766","1993","06",NA,"Brazil","São Paulo","Analândia","Serra do Cuscuzeiro.","-47.6597","-22.1203",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980297' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1000","1000","Polypodiales","South America","sheet","NY00886079","NY00886079_01",NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","03315052","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","pachydermum","Elaphoglossum pachydermum","(Fée) T.Moore",NA,NA,NA,NA,"H. S. Irwin","19913","1968","02","12","Brazil",NA,NA,"Serra do Espinhaço. Serra do Itabirito, Mina Gerais, ca. 45 km S.E. of Belo Horizonte.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3618275' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1600",NA,"Polypodiales","South America","sheet","NY03315052",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","875302","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","pachydermum","Elaphoglossum pachydermum","(Fée) T.Moore",NA,NA,NA,NA,"W. R. Anderson","35925","1972","02","13","Brazil","Minas Gerais",NA,"Serra do Espinhaço, eastern slopes of Pico do Itambé","-43.3919444","-18.43185",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959368' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1310","1310","Polypodiales","South America","sheet","NY00875302","NY00875302_01",NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","03315066","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","pachydermum","Elaphoglossum pachydermum","(Fée) T.Moore",NA,NA,NA,NA,"H. S. Irwin","20166","1968","02","15","Brazil",NA,NA,"Serra do Espinhaço. At summit, Serra do Cipó, Minas Gerais, ca. km 120 (ca. 145 km N. of Belo Horizonte).",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3619065' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1300",NA,"Polypodiales","South America","sheet","NY03315066",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","720622","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","pachydermum","Elaphoglossum pachydermum","(Fée) T.Moore","F. B. Matos",NA,NA,NA,"A. Salino","12225","2007","06","18","Brazil","Minas Gerais",NA,"Carrancas: Serra de Carrancas, próximo a rampa de paraglide.","-44.6708","-21.44964",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519126' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1160",NA,"Polypodiales","South America","sheet","NY00720622","NY00720622_01",NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","886078","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","pachydermum","Elaphoglossum pachydermum","(Fée) T.Moore","R. de F. Novelino",NA,NA,NA,"A. Salino","1781","1993","06",NA,"Brazil","São Paulo","Analândia","Serra do Cuscuzeiro.","-47.6597","-22.1203",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980295' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1000","1000","Polypodiales","South America","sheet","NY00886078","NY00886078_01",NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","875304","PreservedSpecimen","Plantae","Pteridophyta","Dryopteridaceae","Elaphoglossum","pachydermum","Elaphoglossum pachydermum","(Fée) T.Moore","R. C. Moran; J. T. Mickel",NA,NA,NA,"A. Salino | L. C. N. Melo","5845","2000","11","13","Brazil","Minas Gerais","Baependi","Usina Hidrelétrica Congonhal, Rio Jacú.","-44.8897","-21.9592",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959387' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Polypodiales","South America","sheet","NY00875304","NY00875304_01",NA,NA,NA
