"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","identifiedBy","stateProvince"
"1","2021-03-15 16:37:00-03","NY","NYBG","320638","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Sciadotenia","acutifolia","Sciadotenia acutifolia","Krukoff & Barneby","type","J. G. Kuhlmann","6631","1943","07","12","South America","Brazil","Foz de Santa Adelaide, Rio Doce perto de Collatina, E. Santo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00320638",NA,NA
"2","2011-02-28 19:33:00-03","MO","MOBOT","1577193","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Sciadotenia","acutifolia","Sciadotenia acutifolia","Krukoff & Barneby",NA,"João Geraldo Kuhlmann","Kuhlmann 6631","1943","12","7","South America","Brazil","Faz de Sta. Adelaide, Rio Doce, perto de Collatina",NA,NA,NA,"R.Barneby (NY)","Espírito Santo"
