"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","barcode","continentOcean","country","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","stateProvince","locality","occurrenceRemarks"
"1","2019-10-07 09:35:25-03","UEFS","HUEFS","87335","PreservedSpecimen","Plantae","Angiospermae","Rosanae","Myrtales","Myrtaceae","Eugenia","solimoensis","Eugenia solimoensis","O.Berg","Tipo","Sem coletor","HUEFS0087335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-09-04 19:59:38-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae",NA,"Myrtaceae","Eugenia","solimoensis","Eugenia solimoensis",NA,"Holotype","C. F. P. von Martius",NA,"South America","Brazil","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-23 11:39:09-03","IAC","IAC","14319","S","Plantae",NA,NA,NA,"Myrtaceae-2.Myrtoideae","Eugenia","solimoensis","Eugenia solimoensis","O.Berg",NA,"R.L. Fróes",NA,NA,"Brasil",NA,NA,"M.E.G. Sobral","2018","07","08","22724","1947","11","02","Amazonas","Rio Negro","Plantas recebidas do Instituto Agronômico do Norte"
"4","2017-09-11 17:11:14-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","solimoensis","Eugenia solimoensis","O.Berg",NA,"Martius, C",NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,"Amazonas","ad flumen Amazonas in prov. do alto Amazonas","M (fr imat)"
