"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","identifiedBy","coordinatePrecision","geoFlag","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","557718","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W.Chase","B. M. Boom","6416","1985","10","16","South America","Venezuela","Bolívar","Cedeño","Vicinity to Panare village of Corozal, 6 km from Maniapure toward Caicara","-66.5","6.92","90","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246821' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557718","NY00557718_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","533518","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W.Chase","Grupo Pedra do Cavalo","444","1980","07",NA,"South America","Brazil","Bahia","Cachoeira","Mata a Ne. da B. Bandeiras - Vale dos Rios Paraguacu e Jacuipe","-39.08","-12.53","40","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533518","NY00533518_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:30:18-03","UNESP-IBB","BOTU","9036","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W.Chase","Amaral Jr., A.","1013","1972","08","18",NA,"Brasil","São Paulo","Botucatu","Fazenda do Sr. Camilo Dinucci, próxima à antiga estação 13 de Maio",NA,NA,NA,NA,NA,NA,"BOTU009036",NA,"1976","09","02","9999","9999",NA,NA,NA,NA,NA
"4","2021-02-18 09:30:18-03","UNESP-IBB","BOTU","9037","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W.Chase","Amaral Jr., A.","1439","1973","02","10",NA,"Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior, próxima à captação de água da FCMBB",NA,NA,NA,NA,NA,NA,"BOTU009037",NA,"1976","09","02","9999","9999",NA,NA,NA,NA,NA
"5","2021-02-18 09:30:18-03","UNESP-IBB","BOTU","9028","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W.Chase","Amaral Jr., A.","1468","1973","03","06",NA,"Brasil","São Paulo","Porangaba","Bairro rural de Serrinha, a mais ou menos 23km de Conchas e 5km de Porangaba",NA,NA,NA,NA,NA,NA,"BOTU009028",NA,"1981","05","18","9999","9999","Amaral Jr., A.",NA,NA,NA,NA
"6","2021-02-18 09:30:18-03","UNESP-IBB","BOTU","9034","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W.Chase","Amaral Jr., A.","1713","1974","02","19",NA,"Brasil","São Paulo","Agudos","Distrito de Borebi, a mais ou menos 15km de Borebi, pelo caminho velho da estrada de ferro",NA,NA,NA,NA,NA,NA,"BOTU009034",NA,"1976","09","02","9999","9999",NA,NA,NA,NA,NA
"7","2021-02-18 09:30:18-03","UNESP-IBB","BOTU","9161","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W.Chase","Amaral Jr., A.","1439","1973","02","10",NA,"Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior, próximo a captação de água da F.C.M.B.B.",NA,NA,NA,NA,NA,NA,"BOTU009161",NA,"1973","03","17","9999","9999","Pabst, G.",NA,NA,NA,NA
"8","2019-12-04 15:26:31-03","PUCPR","HUCP","25260","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W. Chase.","Oliveira, LRL","32","2016","01","23",NA,"Brasil","Santa Catarina","Corupá","Orquidário Seidel","-49.2430992126465","-26.4253005981445",NA,NA,NA,NA,"HUCP00025260","HUCP00025260",NA,NA,NA,NA,NA,NA,"23917","auto",NA,NA
"9","2019-10-09 11:28:31-03","UFBA","ALCB","07718","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W.Chase","Grupo Pedra do Cavalo","444","1980","07",NA,"Southern America","Brasil","Bahia","Cachoeira","Recôncavo Sul, Vale dos Rios Paraguaçu e Jacuípe. Mata a NE da B. Bananeiras","-39.083333","-12.533333","100","100",NA,"epífita rizomatosa. Folhas pequenas. Flores pequeninas dispostas sobre o limbo foliar.","ALCB009704","ALCB009704","2012","06","28","-39.083333","-12.533333",NA,NA,NA,NA,NA
"10","2021-03-21 19:40:16-03","UFC","EAC","14430","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W. Chase","Grupo Pedra do Cavalo","444","1980","07",NA,"Southern America","Brasil","Bahia","Cachoeira","Mata a NE da B. Bananeiras, Vale dos Rios Jacuípe e Paraguaçu.","-39.083333","-12.533333","40","120",NA,"Planta rizomatoza, folhas pequenas e flores pequeninas dispostas sobre o limbo foliar.","EAC0014430","EAC0014430","2012","03","23","-39.083333","-12.533333","Lima-Verde, L.W.",NA,NA,NA,NA
"11","2021-03-21 19:40:16-03","UFC","EAC","49313","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W. Chase","Lima-Verde, L.W.","343507","2007","10","31","Southern America","Brasil","Ceará","Mulungu","Sítio Álvaro","-38.9963989257812","-4.30556011199951",NA,NA,NA,"Epífita, hábito herbáceo.; Mata ombrófila","EAC0049313","EAC0049313","2012","03","23",NA,NA,"Lima-Verde, L.W.","10506","auto",NA,NA
"12","2009-11-09 21:31:00-02","MO","MOBOT","2837488","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","papillosa","Pleurothallis papillosa","Lindl.","Julian A. Steyermark|Bruce K. Holst|Bruno J. Manara","Steyermark 131666","1985","9","9","South America","Venezuela","Bolívar",NA,"On rock in shaded canyon, forested 1 km. south of Quebrada la Flore, affluent of Río Ore, affluent of Río Parguaza.","-67.08333","6.28333","85.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carnevali & Ramirez",NA,NA,NA,NA
"13","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","20827",NA,"Plantae",NA,NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W.Chase","M. V. S. Berger; et al","97","2003","05","18",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","-40.924167","-20.176944",NA,NA,NA,"Epífita, na sombra, com frutos; flor vestigial com sépalas verdes com listras vináceas, labelo vináceo, pétalas verde com pontos vináceos. Herb. Álcool.","MBML020827","MBML020827",NA,NA,NA,"40W55'27","20S10'37","H.L. Silva-16/01/2020",NA,NA,NA,NA
"14","2019-10-07 09:19:49-03","UEFS","HUEFS","187127","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W.Chase","Brito, A.T.","748",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUEFS0187127","HUEFS0187127 HUEFS0187127_01 HUEFS0187127_e1","2019","02",NA,NA,NA,"A.Toscano de Brito",NA,NA,"Lilianae",NA
"15","2019-10-07 09:19:49-03","UEFS","HUEFS","1035","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W.Chase","Grupo Pedra do Cavalo","444","1980","07",NA,NA,"Brasil","Bahia","Cachoeira",NA,"-39.083333","-12.533333","40","120",NA,NA,"HUEFS0001035","HUEFS0001035","2003","04",NA,"39W5'","12S32'","C.N.Gonçalves",NA,NA,"Lilianae",NA
"16","2020-07-23 12:17:07-03","CEPLAC","CEPEC","28175","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa",NA,"Grupo Pedra do Cavalo","444","1980","07","01",NA,"Brasil","Bahia","CACHOEIRA","Ao NE Barragem de Bananeiras. Vale dos Rios Paraguaçu e Jacuipe.","-39.083333","-12.533333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W5'0","12S32'0","D. N. Carvalho",NA,NA,NA,"15/05/2014"
"17","2020-07-23 12:17:07-03","CEPLAC","CEPEC","6108","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa",NA,"T. S. dos Santos","1123","1970","09","22",NA,"Brasil","Bahia","BELMONTE","Estação Experiemntal da CEPLAC.","-38.8828010559082","-15.8631000518799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D. N. Carvalho","71281","auto",NA,"15/05/2014"
"18","2017-09-11 17:12:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Pleurothallis","papillosa","Pleurothallis papillosa","Lindl.","Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","São João Batista do Glória","Habitat in arboribus ad S. João Baptista prov. Minas Geraes","-46.5056","-20.6414",NA,NA,NA,"Floret Aprili",NA,NA,NA,NA,NA,NA,NA,NA,"29048","auto",NA,NA
"19","2021-02-08 12:52:09-03","UFRGS","ICN","015041","S","Plantae","Monocotyledon",NA,"Orchidaceae","Acianthera","papillosa","Acianthera papillosa","(Lindl.) Pridgeon & M.W. Chase","Dutra, J","1041",NA,NA,NA,"América do Sul","Brasil","RS","Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,"Capão úmido","ICN00038738",NA,"2002","09","06",NA,NA,"Gonçalves, CN","20837","auto",NA,NA
