"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","decimalLongitude","decimalLatitude","county","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","678895","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Megalastrum","wacketii","Megalastrum wacketii","(Rosenst. ex C.Chr.) A.R.Sm. & R.C.Moran","A. Salino","A. C. Brade","6635","1919","01","South America","Brazil","São Paulo","Bosque da Lande.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812024' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678895","NY00678895_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","678917","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Megalastrum","wacketii","Megalastrum wacketii","(Rosenst. ex C.Chr.) A.R.Sm. & R.C.Moran","R. C. Moran; J. Prado","A. C. Brade","18071","1946","05","South America","Brazil","Espírito Santo","Jatiboca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678917","NY00678917_01","10","-40.6708","-19.8708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1010333","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Megalastrum","wacketii","Megalastrum wacketii","(Rosenst. ex C.Chr.) A.R.Sm. & R.C.Moran","R. C. Moran; J. Prado","P. H. Labiak E.","4000","2007","07","South America","Brazil","Espírito Santo","Localidade de Julião, Floresta de encosta Semidecídua, abaixo de inselberg",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140053' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010333","NY01010333_01 NY01010333_02 NY01010333_03","10","-40.6711","-19.7472","Santa Teresa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1010329","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Megalastrum","wacketii","Megalastrum wacketii","(Rosenst. ex C.Chr.) A.R.Sm. & R.C.Moran","R. C. Moran; J. Prado","P. H. Labiak E.","4002","2007","07","South America","Brazil","Espírito Santo","Localidade de Julião, Floresta de encosta Semidecídua, abaixo de inselberg",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139995' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010329","NY01010329_01","10","-40.6711","-19.7472","Santa Teresa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1010332","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Megalastrum","wacketii","Megalastrum wacketii","(Rosenst. ex C.Chr.) A.R.Sm. & R.C.Moran","R. C. Moran; J. Prado","P. H. Labiak E.","4000","2007","07","South America","Brazil","Espírito Santo","Localidade de Julião, Floresta de encosta Semidecídua, abaixo de inselberg",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139994' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010332","NY01010332_01","10","-40.6711","-19.7472","Santa Teresa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:35:17-03","IAP","PACA-AGP","78255","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Dryopteris","wacketii","Dryopteris wacketii","Rosenst. ex C. Chr.","A. Sehnem SJ","Kummrow","1310","1979","12",NA,"Brasil","PR","Parque Rio Iguaçu",NA,"Habitat: terricola - interior de mata","PACA078255",NA,"27","-49.2731018066406","-25.4277992248535","Curitiba","Filicopsida","1980","03","18","25180","auto",NA,NA,NA,NA
"7","2019-08-27 13:35:17-03","IAP","PACA-AGP","81030","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Dryopteris","wacketii","Dryopteris wacketii","Rosenst. ex C. Chr.","A. Sehnem SJ","Hatschbach, G.","29729","1972","06",NA,"Brasil","PR","Rio Copiuva",NA,NA,"PACA081030",NA,"23","-48.7118988037109","-25.4286003112793","Antonina","Filicopsida","1972","08","03","38300","auto",NA,NA,NA,NA
"8","2019-08-27 13:35:17-03","IAP","PACA-AGP","81029","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Dryopteris","wacketii","Dryopteris wacketii","Rosenst. ex C. Chr.","A. Sehnem SJ","Hatschbach, G.","24737","1970","09",NA,"Brasil","PR","Estrada Graciosa - Grota Funda",NA,"Frondes de 1,50m. Habitat: terricola","PACA081029",NA,"23","-48.834400177002","-25.476900100708","Morretes","Filicopsida","1971","01","08","30514","auto",NA,NA,NA,NA
"9","2020-12-21 16:23:08-03","MBM","MBM","393022","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Megalastrum","wacketii","Megalastrum wacketii","(Rosenst. ex C. Chr.) A.R. Sm. & R.C. Moran","Matos, F.B.; Labiak, P.H.","Labiak, P.H.; Schwartsburd, P.B.; Matos, F.B.; Schwartsburd, P.B.; Matos, F.B.","3985","2007","06","Southern America","Brazil","Paraná","Reserva Natural do Cachoeira, SPVS, trilha da Rede",NA,"Terrestre. Frondes de 1,5m compr.; Floresta Ombrófila Densa Submontana.","MBM393022","MBM393022","29","-48.668889","-25.2975","Antonina",NA,"2007","07",NA,NA,NA,"-48.668889","-25.2975","100","100"
"10","2020-09-29 14:53:22-03","UFPR","UPCB","58003","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Dryopteridaceae","Megalastrum","wacketii","Megalastrum wacketii","(C.Chr.) A.R.Sm. & R.C.Moran","Labiak, P.H.","Gomes, M.C.","55","2006","09",NA,"Brasil","Paraná","Reserva Natural Rio Cachoeira (SPVS)",NA,"Terrestre. Floresta Atlântica..","UPCB0004663","UPCB0004663 UPCB0004663_1","01","-48.775","-25.325","Antonina",NA,"2007","03",NA,NA,NA,"-48.775","-25.325","200","200"
