"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","identifiedBy","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:36:02-03","E","E","451352","PreservedSpecimen","Plantae","Annonaceae","Annona","coriacea","Annona coriacea","Ratter, J.A., Bridgewater, S., Cardoso, E., Fonseca, J., de Lima, V. & Passon, L.","1993","06","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:463207","<a href=http://data.rbge.org.uk/herb/E00451352 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00451352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00836242","PreservedSpecimen","Plantae","Annonaceae","Annona","coriacea","Annona coriacea","J. A. Ratter","1976","11","06","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836242","Magnoliophyta","Magnoliales","Mart.","R3939","Goiás","Goiás","Near Goiás Velho","-50.13945","-15.9342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00935856","PreservedSpecimen","Plantae","Annonaceae","Annona","coriacea","Annona coriacea","W. W. Thomas","1988","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935856","Magnoliophyta","Magnoliales","Mart.","5824","Minas Gerais","Paracatú","20 km N of Paracatú on road to Unaí (MG 188)","-46.87","-17.03","H. Rainer","NY00935856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00836244","PreservedSpecimen","Plantae","Annonaceae","Annona","coriacea","Annona coriacea","J. A. Ratter","1967","08","04","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836244","Magnoliophyta","Magnoliales","Mart.","R284","Mato Grosso",NA,"C 6 km SW of Xavantina.","-52.33","-14.73","J. A. Ratter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00836219","PreservedSpecimen","Plantae","Annonaceae","Annona","coriacea","Annona coriacea","J. A. Ratter","1967","07","12","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920882' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836219","Magnoliophyta","Magnoliales","Mart.","R99","Mato Grosso",NA,"C 6 km SW of Xavantina.","-52.33","-14.73","J. A. Ratter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00836218","PreservedSpecimen","Plantae","Annonaceae","Annona","coriacea","Annona coriacea","J. A. Ratter","1967","08","19","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836218","Magnoliophyta","Magnoliales","Mart.","R398","Mato Grosso",NA,"7 km SW of Xavantina","-52.33","-14.73","J. A. Ratter",NA,"550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00836243","PreservedSpecimen","Plantae","Annonaceae","Annona","coriacea","Annona coriacea","H. S. Irwin","1966","06","17","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836243","Magnoliophyta","Magnoliales","Mart.","17349","Mato Grosso",NA,"Serra Azul, ca. 85 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.23","-15.4","L. Aristeguieta",NA,"550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00836241","PreservedSpecimen","Plantae","Annonaceae","Annona","coriacea","Annona coriacea","J. A. Ratter","1976","11","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836241","Magnoliophyta","Magnoliales","Mart.","R3939","Goiás","Goiás","Near Goiás Velho","-50.13945","-15.9342",NA,"NY00836241_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00836239","PreservedSpecimen","Plantae","Annonaceae","Annona","coriacea","Annona coriacea","W. W. Thomas","1985","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836239","Magnoliophyta","Magnoliales","Mart.","4691","Mato Grosso",NA,"Muns. Jauru & Pontes e Lacerda: 38 km SE of Pontes e Lacerda on BR 174 to Cáceres.","-59.07","-15.45","H. Rainer","NY00836239_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","395949","PreservedSpecimen","Plantae","Annonaceae","Annona","coriacea","Annona coriacea","G. Eiten","1959","12","04","South America","Brazil","sheet",NA,"Fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395949","Magnoliophyta","Magnoliales","Mart.","1502","São Paulo",NA,NA,NA,NA,"L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
