"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","fieldNumber","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","442094","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","H.E.Moore","L. E. Skog","R. Kummrow","961","1975","11","03","South America","Brazil","Paraná","Ponta Grossa","Rod. do Café","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442094","NY00442094_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 07:55:00-03","NY","NYBG","442096","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","macropoda","Sinningia macropoda",NA,"L. E. Skog","W. J. Hahn","2687","1984","08","04","South America","Paraguay","Paraguarí",NA,"Parque Nacional Ybycui","-56.83","-26.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","442095","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","H.E.Moore","L. E. Skog","G. Jönsson","1292a","1914","10","23","South America","Brazil","Paraná","Ponta Grossa","Turma 23, klipp-partiet [Desvio Ribas]","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233003' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442095","NY00442095_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-12 15:31:44-03","UFABC","HUFABC","000287","PreservedSpecimen","Plantae","Angiospermas",NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E. Moore",NA,"Maia, IC","03","2015","10","17",NA,"Brasil","São Paulo","Mogi das Cruzes","Sítio Primavera, Estufa no sítio de propriedade do Mauro Peixoto, planta em cultivo sob o número 128.","-46.1883010864258","-23.5228004455566",NA,"Ca. 30 cm alt. Corola vermelha com pontuações purpúreas, cálice marrom, com frutos imaturos. Folhas espessas.","HUFABC000287","HUFABC000287","28666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:17:36-03","UFBA","ALCB","52095","PreservedSpecimen","Plantae","Dicotyledon",NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprenger) H.E. Moore","Hatschbach, G","Hatschbach, G; Spichiger, R","68805","1998","11","17","Southern America","Brasil","Paraná","Palmeira","Rod. BR-277. Rios dos Papagaios.","-50","-25.416667",NA,"Bulbosa, flor vermelha.; Paredões rochosos e úmidos; região de campos limpos.",NA,NA,NA,NA,"1998","-50","-25.416667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:11:16-03","ESALQ","ESA","473","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E. Moore","Chautems, A.",NA,NA,"1937","10","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA000473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0029848","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E. Moore","A. Chautems","P. I. Oliveira","967","1985","10","15",NA,"Brazil","Parana",NA,"Rios dos Papagaios (mun. Palmeira).","-50.0033","-25.4261",NA,"Flor vermelha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:15:43-03","UNICAMP","UEC","109344","S","Plantae","Magnoliopsida",NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","H.E.Moore","Chautems, A","San Martin-Gajardo, I","35826","1999","12","14",NA,"Brazil","São Paulo","Itirapina","Cachoeira do Saltão","-47.8199996948242","-22.25",NA,"flor, Erva de 15-20 cm, flores vermelhas. Litófita (rocha-basalto). Mata ciliar.","UEC141463","UEC141463","22843","auto","2004",NA,NA,"02",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:15:43-03","UNICAMP","UEC","109343","S","Plantae","Magnoliopsida",NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","H.E.Moore","Chautems, A","San Martin-Gajardo, I","35825","1999","12","14",NA,"Brazil","São Paulo","Itirapina","Cachoeira do Saltão","-47.8199996948242","-22.25",NA,"flor, Erva de 15-20 cm de altura, flores vermelhas. Litófita (rocha-basalto). Mata ciliar.","UEC141462","UEC141462","22843","auto","2000",NA,NA,"04",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:15:43-03","UNICAMP","UEC","109341","S","Plantae","Magnoliopsida",NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","H.E.Moore","Chautems, A","San Martin-Gajardo, I","35823","1999","12","14",NA,"Brazil","São Paulo","Itirapina","Cachoeira do Saltão","-47.8199996948242","-22.25",NA,"flor, Erva de 15-20 cm, flores vermelhas. Litófita (rocha-basalto). Mata ciliar.","UEC141464","UEC141464","22843","auto","2004",NA,NA,"02",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-10-14 10:01:54-03","FURB","FURB","36567","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E.Moore","Chautems, A","Sevegnani, L.",NA,"2011","10","15",NA,"Brasil","Santa Catarina","Atalanta","Parque Natural Municipal da Mata Atlântica.","-49.765","-27.4094444",NA,"Interior de um canyon, sobre paredões onde as plantas estão submetidas a constantes respingos Habitat: Floresta Ombrófila Densa; Estágio Avançado; próximo a cachoeira Habito: rupícola; flor vermelha","FURB01889","FURB01889",NA,NA,"2011","-49.7650000","-27.4094444","10","500","500",NA,NA,NA,NA,NA,NA
"12","2020-10-14 10:01:54-03","FURB","FURB","60670","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E.Moore","Barboza, E.","Engels, M.E.; Lozano, E.D.","1863","2013","11","03",NA,"Brasil","Paraná","Porto Amazonas","Rodovia BR 277.","-49.8903007507324","-25.5447006225586",NA,"Caule e folhas verdes, flores alaranjadas. Face adaxial das pétalas com pintas mais escuras.","FURB60670","FURB60670","14684","auto","2015",NA,NA,"02",NA,NA,"12",NA,NA,NA,NA,NA
"13","2021-03-16 17:52:44-03","UCS","HUCS","41267","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H. E. Moore","Chautems, A.","Sevegnani, L.","s.n.","2011","10","15",NA,"Brasil","Santa Catarina","Atalanta","Parque Natural Mun.","-49.7811012268066","-27.4200000762939",NA,"próximo a cachoeira; Mata Atlântica",NA,NA,"10775","auto","2011",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-16 17:52:44-03","UCS","HUCS","7737","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H. E. Moore","Chautems, A.","Oliveira, P.I.","967","1985","10","15",NA,"Brasil","Paraná","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,"flor vermelha; afloramentos de arenito",NA,NA,"35166","auto","1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-08-16 08:39:34-03","UTFPR","HCF","1537","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E.Moore","J. Cordeiro & E. Barboza","M.G. Caxambu","601","2004","11","07",NA,"Brasil","PR","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,"herbácea, rupícula, com folhas verde-escuras, pilosas. Flores de cor vermelha",NA,NA,"35166","auto","2005",NA,NA,"09",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-08-16 08:39:34-03","UTFPR","HCF","19616","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E.Moore","E. Barboza","M.E. Engels","1863","2013","11","03",NA,"Brasil","PR","Porto Amazonas","Rodovia BR 277, margem da rodovia","-49.8903007507324","-25.5447006225586",NA,"caule e folhas verdes. Flores alaranjadas. Face adaxial das pétalas com pintas mais escuras. Campo, em barranco/beiral/peral.",NA,NA,"14684","auto","2015",NA,NA,"02",NA,NA,"12",NA,NA,NA,NA,NA
"17","2020-12-21 16:29:12-03","MBM","MBM","140050","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E. Moore","Chautems, A.","Vieira, A.O.S.; et al.; et al.","131",NA,NA,NA,"Southern America","Brazil","Paraná","Londrina","Sítio Casa das Pedras,Tamarama","-51.1627998352051","-23.3103008270264",NA,NA,"MBM140050","MBM140050","63728","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:29:12-03","MBM","MBM","217733","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E. Moore","Chautems, A.","Carneiro, J.","185",NA,NA,NA,"Southern America","Brazil","Paraná","Ortigueira","Serra do Cadeado","-50.9494018554688","-24.2082996368408",NA,NA,"MBM217733","MBM217733","46016","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:29:12-03","MBM","MBM","257731","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E. Moore","Chautems, A.","Motta, J.T.; Souza, W.S.; Britez, R.M.; Souza, W.S.; Britez, R.M.","889","1987","06","11","Southern America","Brazil","Paraná","Palmas","Solais","-51.9906005859375","-26.4841995239258",NA,NA,"MBM257731","MBM257731","46666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:29:12-03","MBM","MBM","105429","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E. Moore","Chautems, A.","Oliveira, P.I.","967",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"MBM105429","MBM105429","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:29:12-03","MBM","MBM","132244","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E. Moore","Hatschbach, G.","Nicolack, V.; Cordeiro, J.; Cordeiro, J.","64",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"MBM132244","MBM132244","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:29:12-03","MBM","MBM","308937","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E. Moore","Cordeiro, J.","Caxambú, M.G.","601","2004","11","07","Southern America","Brazil","Paraná","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"MBM308937","MBM308937","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:29:12-03","MBM","MBM","229990","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","macropoda","Sinningia macropoda","(Sprague) H.E. Moore","Chautems, A.","Barboza, E.; Cordeiro, J.; Cordeiro, J.","178",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Rio Lajeado","-50.0064010620117","-25.4293994903564",NA,NA,"MBM229990","MBM229990","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
