"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","infraspecificEpithet","typeStatus","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","650340","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","heterophylla","Chusquea heterophylla","Nees","L. G. Clark","A. M. Albuquerque","220","1982","08","11","South America","Brazil","Rio de Janeiro","Parque Nacional da Serra dos Orgaos, Pedra do Sino","-43.030961","-22.462396","2600","2600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650340","NY00650340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","650335","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","heterophylla","Chusquea heterophylla","Nees",NA,"L. G. Clark","792","1991","02","11","South America","Brazil","Rio de Janeiro","Parque Nacional Serra dos Orgaos, Campo das Antas, trail to Pedra do Sino","-43.02","-22.45","2050","2050","sheet","Treated with 70% EtOH <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650335","NY00650335_01","Teresópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-01 12:33:00-02","NY","NYBG","650333","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","heterophylla","Chusquea heterophylla",NA,"L. G. Clark","J. G. Kuhlmann","s.n.","1922","10","19","South America","Brazil","Rio de Janeiro","Alto do Itatiaia, Itatiaia","-44.5631","-22.4961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650333","NY00650333_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","650339","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","heterophylla","Chusquea heterophylla","Nees","L. G. Clark","R. M. Tryon","6692","1965","11","03","South America","Brazil","Rio de Janeiro","Planalto of Itatiaia (mountain), 150 km west-northwest of Rio de Janeiro",NA,NA,"2300","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650339","NY00650339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1802140","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","heterophylla","Chusquea heterophylla","Nees",NA,"J. M. A. Braga","2046","1995","02","15","South America","Brazil","Rio de Janeiro","Parque Nacional de Itatiaia, Planalto, trilha para as Prateleiras.","-44.65833","-22.35833","2400",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2046596' target='other'> <mi>dwc_moreinfo</mi></a>","NY01802140","NY01802140_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","650342","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","heterophylla","Chusquea heterophylla","Nees","L. G. Clark","G. Gardner","5910","1841",NA,NA,"South America","Brazil","Rio de Janeiro","Organ M","-43.073169","-22.496706",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650342","NY00650342_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","650338","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","heterophylla","Chusquea heterophylla","Nees",NA,"A. F. M. Glaziou","3602","1869","05","27","South America","Brazil","Rio de Janeiro","Orgaos","-43.073169","-22.496706",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650338","NY00650338_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","650334","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","heterophylla","Chusquea heterophylla","Nees","L. G. Clark","M. A. Chase","8292","1925","01","17","South America","Brazil","Rio de Janeiro","Alto do Itatiaia, Itatiaia","-44.5631","-22.4961","2400","2500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650334","NY00650334_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","650336","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","heterophylla","Chusquea heterophylla","Nees",NA,"L. G. Clark","791","1991","02","11","South America","Brazil","Rio de Janeiro","Parque Nacional Serra dos Orgaos, Campo das Antas, trail to Pedra do Sino","-43.02","-22.45","2050","2050","sheet","Treated with 70% EtOH <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650336","NY00650336_01","Teresópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","650337","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","heterophylla","Chusquea heterophylla","Nees",NA,"X. Londoño","712","1992","03","06","South America","Brazil","Rio de Janeiro","Parque Nacional de Itatiaia, a 300 m del Hotel Alsen vía al Puesto 3 del ADF",NA,NA,"2250","2250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738220' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650337","NY00650337_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
