"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","typeStatus","fieldNumber","locality","preparationType","occurrenceRemarks","imagecode","class","continentOcean","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-11-04 11:18:26-03","ESALQ","ESA","20180","PreservedSpecimen","Plantae","Magnoliophyta","Rubiaceae","Manettia","campanulacea","Manettia campanulacea","Standl.","Silveira, M.F.","Tamashiro, J.Y. et al.","895.0","1995","04","14","Brasil","São Paulo","São José dos Campos","-45.8800010681152","-23.1700000762939","39297","ESA020180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-11-06 14:38:51-02","MNHN","RECOLNAT_MNHN_P","P01900487","PreservedSpecimen",NA,NA,"Rubiaceae","Manettia","campanulacea","Manettia campanulacea","Standl.","Chung","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"P01900487",NA,"isotype","Bi 42","Minas Gerais St Gabriel","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01900487' target='other'> <mi>dwc_moreinfo</mi></a>","P01900487_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2014-05-14 10:43:42-03","MNHN","RECOLNAT_MNHN_P","P01900488","PreservedSpecimen",NA,NA,"Rubiaceae","Manettia","campanulacea","Manettia campanulacea","Standl.","Chung","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"P01900488",NA,"isotype","Bi 42","Minas Gerais St Gabriel","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01900488' target='other'> <mi>dwc_moreinfo</mi></a>","P01900488_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-03-17 12:22:30-03","MNHN","RECOLNAT_MNHN_P","P03946625","PreservedSpecimen",NA,NA,"Rubiaceae","Manettia","campanulacea","Manettia campanulacea","Standl.","Chung","Glaziou, A.",NA,"1892","9","4","Brésil",NA,NA,NA,NA,NA,"P03946625",NA,NA,"19431","Minas, Sao Juliao","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03946625' target='other'> <mi>dwc_moreinfo</mi></a>","P03946625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-04 14:10:02-03","MNHN","RECOLNAT_MNHN_P","P03946626","PreservedSpecimen",NA,NA,"Rubiaceae","Manettia","campanulacea","Manettia campanulacea","Standl.","Chung","Glaziou, A.",NA,"1892","9","4","Brésil",NA,NA,NA,NA,NA,"P03946626",NA,NA,"19431","Minas, Sao Juliao","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03946626' target='other'> <mi>dwc_moreinfo</mi></a>","P03946626_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-01-23 12:27:36-02","F","FMNH-SEEDPLANTS","V0361560F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Manettia","campanulacea","Manettia campanulacea",NA,NA,"A. Saint-Hilaire",NA,"1816",NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,"V0361560F",NA,"Isotype",NA,NA,NA,NA,"V0361560F_01","Dicotyledoneae","South America",NA,NA,NA,NA,NA,NA,NA
"7","2019-01-23 11:35:45-02","F","FMNH-SEEDPLANTS","V0361561F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Manettia","campanulacea","Manettia campanulacea",NA,NA,"A. Saint-Hilaire",NA,"1816",NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,"V0361561F",NA,"Isotype",NA,NA,NA,NA,"V0361561F_01","Dicotyledoneae","South America",NA,NA,NA,NA,NA,NA,NA
"8","2019-01-23 11:35:45-02","F","FMNH-SEEDPLANTS","V0361562F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Manettia","campanulacea","Manettia campanulacea",NA,NA,"A. Saint-Hilaire",NA,"1816",NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,"V0361562F",NA,"Isotype",NA,NA,NA,NA,"V0361562F_01","Dicotyledoneae","South America",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 10:18:04-03","IBt","SP","300284","S","Plantae",NA,"Rubiaceae","Manettia","campanulacea","Manettia campanulacea","Standl.","Macias, L","Tamashiro, JY; et al.","895","1995","04","14","Brasil","São Paulo","São José dos Campos","-45.964722","-22.898333",NA,NA,NA,NA,NA,"Distrito de São Francisco Xavier, caminho para Cachoeira das Couves",NA,NA,NA,NA,NA,"2001","08","15","-45.964722","-22.898333","1000","1000"
