"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","coordinatePrecision","occurrenceRemarks","geoFlag","continentOcean","preparationType","previousCatalogNumber","recordNumber","typeStatus","phylum","order","infraspecificEpithet","class","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","relatedCatalogItem"
"1","2021-04-05 14:33:31-03","UNESC","CRI","7882","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweediei","Calliandra tweediei","Benth.","Vanilde Citadini- Zanette","2008","04","29","Jean Gabriel Cemin","2008","04","28","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","CRI002717","CRI002717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:16-03","UNESC","CRI","3958","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweedii","Calliandra tweedii","Benth.",NA,NA,NA,NA,"J. Gomes","1950","03","14","Brasil","Rio Grande do Sul","Pelotas","-52.359444","-31.776111","52º21'34''W","31º46'34''S",NA,NA,"CRI002718","CRI002718","Horto Bot. do I. A. S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:16-03","UNESC","CRI","12553","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweedii","Calliandra tweedii","Benth.","Renato Colares & Aline V. Guislon","2017","07","25","Alexandre Medeiros","2017","05","06","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI010760",NA,"Laranjeiras.","8793","Coleta 265. Habito: Arbustivo","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:33-03","E","E","167084","PreservedSpecimen","Plantae","Leguminosae","Calliandra","tweedii","Calliandra tweedii",NA,NA,NA,NA,NA,"Dr. Davie","1905","03","29","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00167084",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00167084 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:172738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:33-03","E","E","167085","PreservedSpecimen","Plantae","Leguminosae","Calliandra","tweedii","Calliandra tweedii",NA,NA,NA,NA,NA,"Ratter, J.A. & Filho, J. Fonsêca","1976","07","21","BR","Mato Grosso",NA,"-52.333333","-14.733333","-52.333333","-14.733333",NA,NA,"E00167085",NA,"Caveira de Indio, approx 10 km W of Xavantina on the N bank of the Rio das Mortes.",NA,"<a href=http://data.rbge.org.uk/herb/E00167085 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:172739","3304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:33-03","E","E","167086","PreservedSpecimen","Plantae","Leguminosae","Calliandra","tweedii","Calliandra tweedii",NA,NA,NA,NA,NA,"Reineck & Czermak",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00167086",NA,"Prov. Rio Grande do Sul: Belem Velho",NA,"<a href=http://data.rbge.org.uk/herb/E00167086 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:172740","92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:40:33-03","E","E","167083","PreservedSpecimen","Plantae","Leguminosae","Calliandra","tweedii","Calliandra tweedii",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00167083",NA,"Banks of the Rio Jaquhy and also on the high rocky mountains",NA,"Collector = Tweedie, from literature. Not given on specimen sheet.<a href=http://data.rbge.org.uk/herb/E00167083 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:172737",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","408638","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweedii","Calliandra tweedii","Benth.","S. F. Smith",NA,NA,NA,"M. Rossato","1998","11","28","Brazil","Rio Grande do Sul","Caçapava do Sul","-53.4914","-30.5122",NA,NA,NA,NA,"NY00408638","NY00408638_01","Pedra do Segredo",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487414' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"13709",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","408652","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweedii","Calliandra tweedii","Benth.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1982","04","14","Brazil","Paraná","Campo Mourao","-52.3831","-24.0458",NA,NA,NA,NA,"NY00408652","NY00408652_01","Barragem Rio Mourao",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487419' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"44838",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 19:46:00-03","NY","NYBG","01492645","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweedii","Calliandra tweedii",NA,"R. C. Barneby",NA,NA,NA,"Bertoni",NA,NA,NA,"Argentina","Misiones","San Pedro",NA,NA,NA,NA,NA,NA,"NY01492645","NY01492645_01","Alegria, Km. 367",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1905561' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"1017",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"11","2016-09-29 13:56:00-03","NY","NYBG","408655","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweedii","Calliandra tweedii",NA,"E. A. Ulibarri",NA,NA,NA,"F. O. Zuloaga","1997","09","21","Argentina","Misiones","Apóstoles","-55.7","-28.08",NA,NA,"120","120","NY00408655","NY00408655_01","Ruta Prov. 40 y Arroyo Chimiray",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487413' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"6434",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1016557","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweedii","Calliandra tweedii","Benth.","S. Leython",NA,NA,NA,"L. P. de Queiroz","1996","10","08","Brazil","São Paulo","São Paulo","-46.63","-23.5403",NA,NA,NA,NA,"NY01016557","NY01016557_01","Campus da USP, gramado entre o HU e ICB III..Cultivada no Jardim do prádio de Sistemática Vegetal.",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179622' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"4692",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"13","2016-09-30 08:45:00-03","NY","NYBG","01492647","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweedii","Calliandra tweedii",NA,"R. C. Barneby",NA,NA,NA,"G. J. Schwarz","1945","01","18","Argentina","Misiones","Candelaria",NA,NA,NA,NA,"400",NA,"NY01492647","NY01492647_01","Arroyo Santa Ana.",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1905565' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"529",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","408639","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweedii","Calliandra tweedii","Benth.","A. Sehnem",NA,NA,NA,"A. Sehnem","1969","04","21","Brazil","Rio Grande do Sul","Gravataí","-50.9917","-29.9444",NA,NA,"100","100","NY00408639","NY00408639_01","Itacolumi",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487415' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"10638",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","590332","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweedii","Calliandra tweedii","Benth.","R. C. Barneby",NA,NA,NA,"S. M. de Faria","1996","04","16","Brazil","São Paulo","Paraibuna","-45.6597","-23.38",NA,NA,NA,NA,"NY00590332","NY00590332_01","Alojamento da Cesp.",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487411' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"590332",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","408644","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweedii","Calliandra tweedii","Benth.","A. E. Burkart",NA,NA,NA,"R. Reitz","1958","10","19","Brazil","Santa Catarina","Rio do Sul","-49.6431","-27.2144",NA,NA,"350","350","NY00408644","NY00408644_01","Salto do Pilao, Lontras, Rio do Sul",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487420' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"7382",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","408642","PreservedSpecimen","Plantae","Fabaceae","Calliandra","tweedii","Calliandra tweedii","Benth.","J. C. Lindeman; J. van Donselaar",NA,NA,NA,"J. C. Lindeman","1966","07","17","Brazil","Santa Catarina","Laguna","-48.916927","-28.429157",NA,NA,NA,NA,"NY00408642","NY00408642_01","Road from Laguna to Tuberao, behind lagoa. Small dunes",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487407' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"1863",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
