"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","eventTime","sex"
"1","2021-04-08 15:16:32-03","UNESC","CRI","9063","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","selloi","Myrcia selloi","(Spreng.) N.Silveira","Marcos Sobral","2011","09","24","A. Korte","5405","2010","12","03","Brasil","Santa Catarina","Palhoça","Pedra do Urubu.","-48.584722","-27.902222","48º35'5''W","27º54'8''S","36","36","FOD Terras baixas/Restinga Habito: arbusto","CRI005482","CRI005482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","1329","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","selloi","Myrcia selloi","(Spreng.) N.Silveira","M. Sobral",NA,NA,NA,"Jairo José Zocche",NA,"1990","08","15","Brasil","Rio Grande do Sul","Torres",NA,"-49.727222","-29.335833","49º43'38''W","29º20'9''S","36","36",NA,"CRI005479","CRI005479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:40-03","UNESC","CRI","13046","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","selloi","Myrcia selloi","(Spreng.) N.Silveira","Oliveira, AA de","2015","11","14","Oliveira, A.A. de","2731","2015","11","14","Brasil","Santa Catarina","São Joaquim","Estacia do Meio. Estacia do Meio.","-50.221389","-28.350278","50º13'17''W","28º21'1''S","867","867",NA,"CRI011689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:54-03","E","E","285741","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","assumptionis","Myrcia assumptionis",NA,NA,NA,NA,NA,"Morong, Thomas (Rev.)","260","1905","03","02","PY",NA,NA,"Central Paraguay",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00285741 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285741",NA,"isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:297142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:54-03","E","E","202918","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","ramulosa","Myrcia ramulosa",NA,NA,NA,NA,NA,"De Carvalho, V.M.; Farias, R.; Milhomens Fonseca, L.C.; Potzernheim, M.L.; Proença, C.; Cardoso Rosa, L.O.G.; de Carvalho, A.M.; de Carvalho, J.A.","25","1998","09","08","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00202918 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202918",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:217560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","405387","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","assumptionis","Myrcia assumptionis","Morong",NA,NA,NA,NA,"T. Morong","260","1888","12","09","Paraguay",NA,NA,"Ascuncion",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405387","NY00405387_01","isotype","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","405386","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","assumptionis","Myrcia assumptionis","Morong",NA,NA,NA,NA,"T. Morong","260","1888","12","09","Paraguay",NA,NA,"Ascuncion",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405386","NY00405386_01","isotype","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","405385","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","assumptionis","Myrcia assumptionis","Morong",NA,NA,NA,NA,"T. Morong","260","1888","12","09","Paraguay",NA,NA,"Ascuncion",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405385","NY00405385_01","isotype","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","405410","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","corrientinensis","Myrcia corrientinensis","Barb.Rodr.",NA,NA,NA,NA,"E. Hassler","4483","1900","09",NA,"Paraguay",NA,NA,"Iter ad Yerbales Montium Sierra de Maracayu; in regione fluminis Corrientes",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=435855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405410","NY00405410_01","isotype","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2422954","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","lajeana","Myrcia lajeana","D.Legrand",NA,NA,NA,NA,"D. F. Lima","336","2011","11","17","Brazil","Santa Catarina","Garuva","Serra do Quiriri, à beira do Rio dos Alemães, pé do morro dos Alemães","-48.8549995422363","-26.0266990661621",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675543' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422954","NY02422954_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","22441","auto",NA,NA,NA,NA,NA,NA,NA,NA
