"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:36:20-03","E","E","106339","PreservedSpecimen","Plantae","Balanophoraceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","Argent, G.C.G. & Burbidge, R.B.","234","1976","07","17","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:116484","<a href=http://data.rbge.org.uk/herb/E00106339 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:20-03","E","E","287281","PreservedSpecimen","Plantae","Balanophoraceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","Argent, G.C.G. & Burbidge, R.B.","234","1976","07","17","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:297971","<a href=http://data.rbge.org.uk/herb/E00287281 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00287281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02316302","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","J. C. Betancur","16595","2012","09","06","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1950327' target='other'> <mi>dwc_moreinfo</mi></a>","NY02316302","Magnoliophyta","Malpighiales","Mart.","P. Pedraza-Peñalosa","Antioquia","Frontino","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, sector Tres Bocas, cañón del Río Tercero, cerca a la finca la Pradera","-76.22989","6.63406","1740","1800","NY02316302_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00859306","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","A. Macedo","2337","1950","04","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859306","Magnoliophyta","Malpighiales","Mart.","O. Handro","Minas Gerais","Ituiutaba","Aroeíra","-49.465","-18.9692",NA,NA,"NY00859306_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00859314","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","L. M. M. Carreira","597","1983","03","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859314","Magnoliophyta","Malpighiales","Mart.","M. G. da Silva","Mato Grosso","Cuiabá","Chapada dos Guimaraes, Sao Vicente, Cachoeirinha","-56.0967","-15.5961",NA,NA,"NY00859314_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00859304","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","H. S. Irwin","16560","1966","06","03","South America","Brazil","fluid-preserved",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859304","Magnoliophyta","Malpighiales","Mart.","J. H. Kirkbride Jr.","Mato Grosso",NA,"Ca. 86 km. N. of Xavantina. Serra do Roncador.","-52.08","-13.92","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1857605","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","C. F. P. von Martius","s.n.",NA,NA,NA,"South America","Brazil","photo",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2063215' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857605","Magnoliophyta","Malpighiales","Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Image of Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1146592","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","P. G. Delprete","10101","2007","05","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1352812' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146592","Magnoliophyta","Malpighiales","Mart.","P. G. Delprete","Goiás","Aparecida de Goiânia","Serra das Areias. Serra das Areias. Trilha perto do córrego das Areias.","-49.3225","-16.8372","900","900","NY01146592_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00859310","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","D. R. Hunt","6027","1966","06","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859310","Magnoliophyta","Malpighiales","Mart.",NA,"Mato Grosso","Barra do Garças","Serra Azul, about 7 km. west of Barra do Garças - Xavantina road. 77 km. from Barra.","-52.2567","-15.8903","600","1000","NY00859310_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1857604","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","Collector unspecified","s.n.",NA,NA,NA,"South America","Brazil","photo",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2063206' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857604","Magnoliophyta","Malpighiales","Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
