"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","typeStatus","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag"
"1","2021-02-23 13:22:59-03","MN","R-TIPOS","43976","PreservedSpecimen","Plantae","Piperaceae","Peperomia","humifusa","Peperomia humifusa","Yunck.","Carvalho-Silva, M.","2007","02","Holotypus","Armond, A.F.N.","318","Brasil","Rio de Janeiro","Carmo","-42.6086006164551","-21.9335994720459","21959","R000043976","R000043976_001","auto"
"2","2021-02-23 13:22:59-03","MN","R-TIPOS","43976a","PreservedSpecimen","Plantae","Piperaceae","Peperomia","humifusa","Peperomia humifusa","Yunck.","Carvalho-Silva, M.","2007","02","Isotypus","Armond, A.F.N.","318","Brasil","Rio de Janeiro","Carmo","-42.6086006164551","-21.9335994720459","21959","R000043976a","R000043976a_001","auto"
