"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","day","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","infraspecificEpithet","typeStatus","sex"
"1","2021-04-05 14:25:45-03","UNESC","CRI","13490","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","Renato Colares","2018","05","29","Renato Colares; Thuany Machado","2018","03","Brasil","Santa Catarina","Treviso","Campo Morozini","-49.4475","-28.541389","49º26'51''W","28º32'29''S","161","161","Habitat: Terrestre Habito: Subarbustivo","CRI012097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:45-03","UNESC","CRI","13499","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","Renato Colares","2018","05","29","Renato Colares; Thuany Machado","2018","03","Brasil","Santa Catarina","Treviso","Campo Morozini","-49.4475","-28.541389","49º26'51''W","28º32'29''S","161","161","Habitat: Terrestre Habito: Herbácea","CRI012106","CRI012106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:50-03","UNESC","CRI","15377","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","Isadora Zapelini & José T. Pires","2020","08","08","Alexandre Medeiros","2017","10","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.640278","-26.999167","48º38'25''W","26º59'57''S",NA,NA,"Habito: Herbácea","CRI014794",NA,"620","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:10-03","E","E","335420","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis",NA,NA,NA,NA,NA,"Christison, David (Dr.)",NA,NA,"UY",NA,NA,"Campos of the Estancia del Guayabo. San Jorge",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00335420 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335420",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:422318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:42:10-03","E","E","335421","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,"UY",NA,NA,"Banda Orientalis",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00335421 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335421",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:422319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","499044","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"L. B. Smith","1957","02","Brazil","Santa Catarina","Curitibanos","2-3 km west of Curitibanos on the road to Campos Novos.","-50.5842","-27.2831",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499044",NA,"11089","09","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","569146","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy",NA,NA,NA,NA,"L. Scur","2000","02","Brazil","Rio Grande do Sul","Caxias do Sul","Faxinal.","-51.1792","-29.1683",NA,NA,"780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569146","NY00569146_01","492","12","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","499062","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"H. H. Bartlett","1943","11","Uruguay","Canelones",NA,"Los Bañados de Carrasco.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499062",NA,"20822","24","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","499048","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy",NA,NA,NA,NA,"A. Jasper","1992","01","Brazil","Rio Grande do Sul","Caçapava do Sul","Caçapava do Sul - Seival.","-53.4914","-30.5122",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499048","NY00499048_01","8074","22","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","499047","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy",NA,NA,NA,NA,"R. A. Wasum","1989","02","Brazil","Rio Grande do Sul","Caxias do Sul","Caxias do Sul - Forqueta.","-51.269262","-29.207492",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499047","NY00499047_01","5320","10","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
