"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","274753","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Vernonia","burchelliana","Vernonia burchelliana","Gardner","isotype","G. Gardner","4754","1836","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274753","NY00274753_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:35:02-03","EAO","IAN","14351","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Piptolepis","oleaster","Piptolepis oleaster","Sch.Bip.",NA,"Magalhães, MG","1575","1942","Southern America","Brasil","Campo no alto do Pico Itambé.",NA,"Arbusto 0,80-1m de altura. Flor violácea.","IAN014351","IAN014351 IAN014351_e","Barreto, M","05","05","Minas Gerais","Serro","-43.3793983459473","-18.604700088501","37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:35:02-03","EAO","IAN","104392","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Piptolepis","oleaster","Piptolepis oleaster","Sch.Bip.",NA,"Magalhães, MG","1575","1942","Southern America","Brasil","Campo no alto do Pico Itambé.",NA,"Arbusto 0,80-1m de altura. Flor violácea.","IAN104392",NA,"Barreto, M","05","05","Minas Gerais","Serro","-43.3793983459473","-18.604700088501","37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-05-19 10:29:39-03","UFBA","ALCB","100755","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","oleaster","Piptolepis oleaster","(Mart ex DC.) Sch. Bip.",NA,"Costa, FN; Andrino, CO; Araújo, IM; Franco, IM; Tannure, MP","1266","2010","Southern America","Brasil","Milho Verde. Várzea do Lajeado",NA,"Entre afloramentos rochosos, ca. 1,5 m. alt. População com muitos indivíduos. Flores lilases.",NA,NA,"Cândido, JB","04","08","Minas Gerais","Serro","-43.487222","-18.474167",NA,NA,"2018","11","05","-43.487222","-18.474167","1069","1069",NA,NA,NA,NA
"5","2020-05-19 10:29:39-03","UFBA","ALCB","100756","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","oleaster","Piptolepis oleaster","(Mart ex DC.) Sch. Bip.",NA,"Costa, FN; Loeuille, B; Andrino, CO; Araújo, IM; Silva, BG","1195","2010","Southern America","Brasil","Parque Estadual do Rio Preto. Campo próximo à Lapa do Tatu",NA,"Ca. 1,8 m alt. em solo arenoso. Flores lilases.",NA,NA,"Cândido, JB","02","09","Minas Gerais","São Gonçalo do Rio Preto","-43.339167","-18.088333",NA,NA,"2018","11","05","-43.339167","-18.088333","831","831",NA,NA,NA,NA
"6","2020-05-19 10:29:39-03","UFBA","ALCB","106014","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","oleaster","Piptolepis oleaster","(Mart ex DC.) Sch. Bip.",NA,"Roque, N; Quaresma, AS; Franco, IM; Gonçalves, DJP","3077","2011","Southern America","Brasil","Instituto Estadual de Floresta, Parque Estadual do Rio Preto, trilha para Vargem das Estrelas acima da Casa de Hóspede",NA,"2 m alt., folhas argênteas. Brácteas involucrais verde-argênteas, corola lilás.; borda de mata ciliar",NA,NA,"Cândido, JB","06","24","Minas Gerais","São Gonçalo do Rio Preto","-43.376111","-18.119167",NA,NA,"2018","11","05","-43.376111","-18.119167","1121","1121",NA,NA,NA,NA
"7","2020-05-19 10:29:39-03","UFBA","ALCB","131980","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","oleaster","Piptolepis oleaster","(Mart ex DC.) Sch. Bip.",NA,"Martinelli, G; Lima, T; Moraes, L","19198","2016","Southern America","Brasil","Parque estadual do Rio Preto.",NA,"Ca 0,80m de altura, heliófila, saxícola, folhas na face ventral verde, face dorsal alvacento-lanuginosa, capítulos passados de cor castanho, capítulos jovens de cor roxo, brácteas de receptáculo de cor verde-claro.; Cerrado.","ALCB048659","ALCB048659","Cândido, JB","03","21","Minas Gerais","Diamantina","-43.379167","-18.126667",NA,NA,"2018","11","05","-43.379167","-18.126667","1060","1060",NA,NA,NA,NA
"8","2020-05-19 10:29:39-03","UFBA","ALCB","131392","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","oleaster","Piptolepis oleaster","(Mart ex DC.) Sch. Bip.",NA,"Martinelli, G; Lima, T; Moraes, L","19038","2016","Southern America","Brasil","Parque Estadual do Rio Preto.",NA,"ca 1,2m, heliófila, folhas verdes, marcadamente discolores, flores em capítulos lilás.; Campo rupestre.","ALCB048153","ALCB048153","Cândido, JB","03","18","Minas Gerais","Diamantina","-43.313333","-18.215833",NA,NA,"2018","11","06","-43.313333","-18.215833","1550","1550",NA,NA,NA,NA
"9","2020-11-04 11:02:10-03","ESALQ","ESA","120793","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Piptolepis","oleaster","Piptolepis oleaster","(Mart. ex DC.) Sch. Bip.",NA,"Delfini, C.","370.0","2012",NA,"Brasil","Monumento Natural Estadual Várzea do Lajeado e Serra do Raio.",NA,"Arbusto, ca. 1m alt., capítulos roxos.","ESA120793","ESA120793","Cândido, J.B.","05","01","Minas Gerais","Milho Verde","-43.49884","-18.4718",NA,NA,"2019","10","04","-43.49884","-18.4718","1095","1095",NA,NA,NA,NA
"10","2020-11-04 11:02:10-03","ESALQ","ESA","76965","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Piptolepis","oleaster","Piptolepis oleaster",NA,NA,"Lombardi, J.A. et al.","3683.0","2000",NA,"Brasil",NA,NA,NA,"ESA076965","ESA076965","Loeuille, B.","04","07","Minas Gerais","São Gonçalo do Rio Preto","-43.3908004760742","-18.0041999816895","26697","auto","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:25:01-03","UNICAMP","UEC","184246","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptolepis","oleaster","Piptolepis oleaster","(A.DC.) Sch.Bip.",NA,"Loeuille, BFP; Costa, FN; Araújo, LM; Andrino, CO; et al.","517","2010",NA,"Brazil","Parque estadual do Rio Preto. Borda da estrada, 100m depois da ponte sobre o Córrego da Lapa.",NA,"Arbusto até 1,5m. Flores roxas.; Campo rupestre.","UEC106225","UEC106225","Loeuille, BFP","02","09","Minas Gerais","São Gonçalo do Rio Preto","-43.34175","-18.092722",NA,NA,"2011",NA,NA,"-43.34175","-18.092722","897","897",NA,NA,NA,NA
