"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","fieldNumber","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","255140","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","fatimae","Calathea fatimae","H.Kenn.","Unspecified Determiner","isotype","H. Kennedy","4700","1991","01","19","South America","Brazil","Rio de Janeiro","Cultivado no Sítio Roberto Burle Marx, Barra de Guaratiba, Edo. Rio de Janeiro, Brasil. Rhizomes collected by M. F. Gomes de Souza from Morro do Coco, Munic. do Campos, Edo. Rio de Janeiro, Brasil.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00255140","NY00255140_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","255139","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","fatimae","Calathea fatimae","H.Kenn.","Unspecified Determiner","isotype","H. Kennedy","4700","1991","01","19","South America","Brazil","Rio de Janeiro","Cultivado no Sítio Roberto Burle Marx, Barra de Guaratiba, Edo. Rio de Janeiro, Brasil. Rhizomes collected by M. F. Gomes de Souza from Morro do Coco, Munic. do Campos, Edo. Rio de Janeiro, Brasil.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395113' target='other'> <mi>dwc_moreinfo</mi></a>","NY00255139","NY00255139_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:37:11-03","NBC","NL-BOTANY","U 0007893","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","fatimae","Calathea fatimae","H.A.Kenn. & Marcelo","Kennedy H","isotype","Kennedy H",NA,"1991","01","19","Southern America","Brazil","Rio de Janeiro","Cultivado no Sitio Roberto Burle Marx, Barra deGuaratiba, Edo. Rio de Janeiro, Brasil.Rhizomes collected by M.F. Gomes de Souza fromMorro do Coco, Munic. do Campos.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007893 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007893","NL-U0007893","Magnoliopsidae","72439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:37:11-03","NBC","NL-BOTANY","U 0007894","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","fatimae","Calathea fatimae","H.A.Kenn. & Marcelo","Kennedy H","isotype","Kennedy H",NA,"1991","01","19","Southern America","Brazil","Rio de Janeiro","Cultivado no Sitio Roberto Burle Marx, Barra deGuaratiba, Edo. Rio de Janeiro, Brasil.Rhizomes collected by M.F. Gomes de Souza fromMorro do Coco, Munic. do Campos.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007894 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007894","NL-U0007894","Magnoliopsidae","72440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:20:02-03","UNICAMP","UEC","89119","S","Plantae","Liliopsida",NA,"Marantaceae","Goeppertia","fatimae","Goeppertia fatimae","(H.A.Kenn. & J.M.A.Braga) Borchs. & S.Suárez","Saka, MN",NA,"Santin, DA; et al.","29975","1993","11","17",NA,"Brazil","Rio de Janeiro","Cachoeira da praia do Manduri.",NA,"Herbácea 50cm a 1m, flor branca e amarelo claro com bráctea verde.; Mata de encosta. Local sombreado.","UEC021739","UEC021739",NA,NA,"2016","01","Angra dos Reis","-44.647222","-23.044167","-44.647222","-23.044167",NA,NA,NA
"6","2021-03-01 16:20:02-03","UNICAMP","UEC","89137","S","Plantae","Liliopsida",NA,"Marantaceae","Goeppertia","fatimae","Goeppertia fatimae","(H.A.Kenn. & J.M.A.Braga) Borchs. & S.Suárez","Saka, MN",NA,"Santin, DA; et al.","29971","1993","11","16",NA,"Brazil","Rio de Janeiro","Condomínio das Laranjeiras, estradas da praia do Sono.",NA,"Hebácea, 50cm a 1m de altura, flor branca e amareloi claro com bráctea verde.; Local sombreado.","UEC021741","UEC021741",NA,NA,"2016","01","Parati","-44.656944","-23.328333","-44.656944","-23.328333",NA,NA,NA
"7","2016-01-13 17:14:16-02","MNHN","RECOLNAT_MNHN_P","P02199152","PreservedSpecimen",NA,NA,NA,"Marantaceae","Goeppertia","fatimae","Goeppertia fatimae","(H.Kenn. & J.M.A.Braga) Borchs. & S.Suárez","Saka",NA,"Glaziou, A.",NA,"1874","2","11",NA,"Brasil","Rio de Janeiro","Entre Villa Nova et Porto das Caixas","hb","Reçu le 27 mai 1896 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02199152' target='other'> <mi>dwc_moreinfo</mi></a>","P02199152","P02199152_01",NA,NA,NA,NA,"Itaboraí","-42.8594017028809","-22.7444000244141",NA,NA,"7499","16798","auto"
"8","2008-10-03 03:32:00-03","MO","MOBOT","1787747","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","fatimae","Calathea fatimae","H. Kenn.",NA,"Isotype","Helen Kennedy","Kennedy 4700","1991","1","19","South America","Brazil","Rio de Janeiro","Cultivado no Sítio Roberto Burle Marx, Barra de Guaratiba, Edo. Rio Janeiro, Brasil. Proced. Rhizomes collected by M.F. Gomes de Souza from Morro do Coco, Munic. do Campos, Edo. Rio de Janeiro, Brasil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-05 09:51:55-03","IBt","SP","252156","S","Plantae",NA,NA,"Marantaceae","Calathea","fatimae","Calathea fatimae","H.A.Kenn. & J.M.A.Braga","Kennedy, HA","Isotype","Kennedy, HA; Gomes de Souza, FM","4700","1991","01","19",NA,"Brasil","Rio de Janeiro","Morro do Coco. Cultivado no Sítio Roberto Burle Marx, Barra de Guaratiba",NA,"Herb 0,9-1,9 m. Sepals white below, red-purple apically. Corolla and staminodes light yellow. Style pale yellow, turning dark after tripping. Ovary white. Coleção Sitio R. Burle Marx 4700","SP002998","SP002998",NA,NA,NA,NA,"Campos dos Goytacazes","-41.3244018554688","-21.7541999816895",NA,NA,NA,"62761","auto"
