"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","typeStatus","fieldNumber","infraspecificEpithet","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","00527199","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","G. G. Hatschbach","G. G. Hatschbach","21055","1969","02","07","South America","Brazil","Paraná","Guarapuava","Rio Cavernoso","-51.4581","-25.3956","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=404277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527199","NY00527199_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00527200","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","G. G. Hatschbach","G. G. Hatschbach","26486","1971","02","24","South America","Brazil","Paraná","Laranjeiras do Sul","Virmond","-52.4158","-25.4081","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=404278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527200","NY00527200_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 14:39:00-03","NY","NYBG","00527352","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Salvia","uliginosa","Salvia uliginosa",NA,"T. M. Pedersen","T. M. Pedersen","9138","1969","04","25","South America","Argentina","Corrientes","Santo Tome","Estancia Garruchos",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=404274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00527197","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","E. Pereira","R. Reitz","4446","1952","02","27","South America","Brazil","Santa Catarina","Turvo","Serra da Rocinha, Turvo","-49.6792","-28.9261","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=404275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527197","NY00527197_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00527198","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","C. C. Epling","L. B. Smith","12181","1957","03","16","South America","Brazil","Santa Catarina","Caçador","Mun Caçador-Curitibanos: 15 km southeast of Caçador on the road to Lebon Regis (47 km)","-51.0147","-26.7756","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=404276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527198","NY00527198_01","700","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00527351","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","R. M. Harley","D. Philcox","4280","1968","02","10","South America","Brazil","Goiás",NA,"C. 1 km. S. of Lagoa c. 130 km. N. E. of Brasília",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=404279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527351","NY00527351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:02-03","UFRJ","RFA","11673","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","G.G. Hatschbach","G.G. Hatschbach","26486","1971","02","24",NA,"Brasil","Paraná","Laranjeiras do Sul","Virmond","-52.4160995483398","-25.4078006744385",NA,"Arbusto de 1,70, flor alvecente, labelo azul","RFA42967",NA,NA,NA,"28404","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:02-03","UFRJ","RFA","9824","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","G.G. Hatschbach","G.G. Hatschbach","21055","1969","02","07",NA,"Brasil","Paraná","Guarapuava","Rio Cavernoso","-51.4580993652344","-25.395299911499",NA,"Arbusto, 1,80m, flor ext. alvecente, int. anilado","RFA42968",NA,NA,NA,"53832","auto","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:32:55-03","NBC","NL-BOTANY","AMD.80469","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Herter WG",NA,"1924","03","01","Southern America","Uruguay",NA,NA,"Plantae Uruguayenses. Peniarol, Departamento de Montevideo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.80469 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD80469","NL-AMD80469",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:32:55-03","NBC","NL-BOTANY","L.2878788","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Pedersen TM",NA,"1969","04","25","Southern America","Argentina",NA,NA,"Estancia,,Garruchos'. Dep. Santo Tomé. Prov. Corrientes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2878788 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2878788","NL-L2878788",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
