"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","individualCount","fieldNumber","relatedCatalogItem"
"1","2020-09-23 10:41:47-03","E","E","283767","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multiovulata","Eugenia multiovulata","Hatschbach, Gert Gunther","17885","1967","11","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:295096","<a href=http://data.rbge.org.uk/herb/E00283767 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283767",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","580044","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multiovulata","Eugenia multiovulata","G. G. Hatschbach","35732","1975","01","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580044","Magnoliophyta","Myrtales","Mattos & D.Legrand","M. Sobral","Paraná","Piraquara","Borda do Campo.","-49.0631","-25.4419","NY00580044_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","558011","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multiovulata","Eugenia multiovulata","G. G. Hatschbach","18153","1967","12","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558011","Magnoliophyta","Myrtales","Mattos & D.Legrand","F. F. Mazine","Paraná","Sao José dos Pinhais","Contenda","-49.2064","-25.5347","NY00558011_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","580045","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multiovulata","Eugenia multiovulata","G. G. Hatschbach","18153","1967","12","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580045","Magnoliophyta","Myrtales","Mattos & D.Legrand","M. Sobral","Paraná","Sao José dos Pinhais","Contenda.","-49.2064","-25.5347","NY00580045_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","594929","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multiovulata","Eugenia multiovulata","G. G. Hatschbach","43010","1975","12","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594929","Magnoliophyta","Myrtales","Mattos & D.Legrand","F. F. Mazine","Paraná","Sao José dos Pinhais","Guaricana","-49.2064","-25.5347","NY00594929_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","580046","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multiovulata","Eugenia multiovulata","J. M. Silva","454","1987","12","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580046","Magnoliophyta","Myrtales","Mattos & D.Legrand","M. Sobral","Paraná","Sao José dos Pinhais","Co. Santos Andrade","-49.2064","-25.5347","NY00580046_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","557910","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multiovulata","Eugenia multiovulata","L. R. Landrum","4041","1982","01","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557910","Magnoliophyta","Myrtales","Mattos & D.Legrand","M. Sobral","Paraná",NA,"Piraquara, from Piraquara E along railroad ca. 1 km and N along first road crossing railroad ca. 1 km","-49.08","-25.5","NY00557910_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","558057","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multiovulata","Eugenia multiovulata","G. G. Hatschbach","17885","1967","11","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558057","Magnoliophyta","Myrtales","Mattos & D.Legrand","F. F. Mazine","Paraná","Campina Grande do Sul","Ribeirao Grande","-49.0553","-25.3058","NY00558057_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","580043","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multiovulata","Eugenia multiovulata","G. G. Hatschbach","40690","1977","12","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339775' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580043","Magnoliophyta","Myrtales","Mattos & D.Legrand","M. Sobral","Paraná","Curitiba","Bom Retiro","-49.2731","-25.4281","NY00580043_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:30:14-03","UNESP-IBB","BOTU","31290","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","chlorophylla","Eugenia chlorophylla","Kummrow, R.","1306","1979","12","27",NA,"Brasil",NA,NA,NA,"BOTU031290",NA,NA,"O.Berg","Sobral, M.","Paraná","Curitiba","Parque Rio Iguaçu",NA,NA,NA,NA,NA,"1993","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-24 17:10:53-03","UTFPR","DVPR","5712","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","chlorophylla","Eugenia chlorophylla","Silva, JM; Brotto, ML; Völtz, RR","9506","2016","09","28",NA,"Brasil",NA,NA,"Árvore com 2,5 m de altura, flores alvas.; Floresta Ombrófila Densa Montana.","DVPR005712","Magnoliophyta",NA,"O.Berg","Brotto, ML","Paraná","Adrianópolis","Parque Estadual das Lauráceas.","-48.4305","-24.5135",NA,"902","902","2016","-48.4305","-24.5135","11","22",NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:21:12-03","UFBA","ALCB","112015","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","chlorophylla","Eugenia chlorophylla","Hatschbach, G; Cervi, AC","51320","1987","08","20","Southern America","Brasil",NA,NA,"8m, frutos amarelos.; pluvial","ALCB057703","Dicotyledon",NA,"O.Berg","Sobral, M","Espírito Santo","Conceição do Castelo","Alto do Bananal.","-41.2439002990723","-20.3682994842529",NA,NA,NA,"2008",NA,NA,NA,NA,"17824","auto",NA,NA,NA,NA,NA
"13","2020-02-08 10:06:19-03","NBC","NL-BOTANY","U.1442353","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","multiovulata","Eugenia multiovulata","Silva JM; Hatschbach GG",NA,"1987","12","22","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1442353 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1442353",NA,"Myrtales","Mattos & D.Legrand",NA,NA,NA,"Santos Andrade (mun. S. Jose dos Pinhais) Parana.",NA,NA,"NL-U1442353",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
