"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","minimumElevationInMeters","decimalLongitude","decimalLatitude","maximumElevationInMeters","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01345113","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","A. E. Burkart","E. L. Ekman","1639","1908","01","30","South America","Argentina","Posadas, Loreto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602254' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345113","NY01345113_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01345130","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","R. C. Barneby","E. Hassler","6159",NA,NA,NA,"South America","Paraguay","pr. Tobaty","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602242' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01345127","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","R. C. Barneby","T. S. Ibarrola","347","1944","04","28","South America","Argentina","Lomas del Carambola","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602239' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345127",NA,"Misiones","Concepción",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01345129","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","R. C. Barneby","G. J. Schwarz","697","1945","02","20","South America","Argentina","Picada Tinlandesa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602241' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345129",NA,"Misiones","Candelaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-21 17:11:00-02","NY","NYBG","01345125","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","pauperoides","Mimosa brevipetiolata pauperoides","(Burkart) Barneby","R. C. Barneby","T. S. Ibarrola","2396","1945","02","03","South America","Argentina","Macoretó al Sud","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602391' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345125",NA,"Corrientes","Monte Caseros","114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01345131","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","R. C. Barneby","E. Hassler","1450",NA,NA,NA,"South America","Paraguay","Tacuaral","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602243' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 19:46:00-03","NY","NYBG","01345128","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","R. C. Barneby","T. M. Pedersen","469","1949","11","11","South America","Argentina","Estancia Santa Teresa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602240' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345128",NA,"Corrientes","Mburucuyá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01345122","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","pauperoides","Mimosa brevipetiolata pauperoides","(Burkart) Barneby","R. C. Barneby","T. S. Ibarrola","2396","1945","02","03","South America","Argentina","Macaretó al Sud","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602395' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345122",NA,"Corrientes","Monte Caseros","114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01345114","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","pilosula","Mimosa brevipetiolata pilosula","(Burkart) Barneby","R. C. Barneby","A. Schinini","18573","1979","09","16","South America","Argentina","3 Cerros, Co. de Susini","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602403' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345114","NY01345114_01","Corrientes","San Martín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-10-21 20:06:00-02","NY","NYBG","01345119","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","pauperoides","Mimosa brevipetiolata pauperoides","(Burkart) Barneby","R. C. Barneby","N. S. Troncoso","2493","1978","11","11","South America","Argentina","Rta. 14 al N de Federación","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602400' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345119","NY01345119_01","Entre Ríos","Federación",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01345118","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","pilosula","Mimosa brevipetiolata pilosula","(Burkart) Barneby","R. C. Barneby","T. S. Ibarrola","1820","1944","12","22","South America","Argentina","La Cruz del Norte 4 kms.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602401' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345118","NY01345118_01","Corrientes","San Martín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-10-21 17:11:00-02","NY","NYBG","01345105","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","brevipetiolata","Mimosa brevipetiolata brevipetiolata",NA,"R. C. Barneby","S. A. Renvoize","3129","1978","10","14","South America","Argentina","San Jose, Escuela Agrotecnico Don Bosco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602228' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345105","NY01345105_01","Misiones","Apóstoles","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-27 19:46:00-03","NY","NYBG","01345109","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby",NA,"E. M. Zardini","16450","1989","11","18","South America","Paraguay","Eastern side of Río Piribebuy basin, 17 kms W of Arroyos y Esteros","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602249' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345109",NA,"Cordillera",NA,NA,"-57.25","-25.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-10-21 17:12:00-02","NY","NYBG","01345106","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","brevipetiolata","Mimosa brevipetiolata brevipetiolata",NA,"R. C. Barneby","J. E. Montes","836","1945","04","28","South America","Argentina","Yabebiry","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602229' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345106","NY01345106_01","Misiones","Candelaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-10-21 17:11:00-02","NY","NYBG","01345121","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","pauperoides","Mimosa brevipetiolata pauperoides","(Burkart) Barneby","R. C. Barneby","T. S. Ibarrola","2329","1945","02","08","South America","Argentina","Juan Pujol","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602397' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345121","NY01345121_01","Corrientes","Monte Caseros","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-27 02:30:00-03","NY","NYBG","01345126","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","R. H. Fortunato","T. M. Pedersen","4327","1956","11","17","South America","Argentina","Ea. La Soledad, Santiago","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602235' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345126",NA,"Misiones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01345110","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","R. C. Barneby","R. O. Vanni","604","1986","11","24","South America","Argentina","Santa Ana, camino a curtiembre Santa Ana","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602251' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345110",NA,"Misiones","Candelaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-10-21 18:25:00-02","NY","NYBG","01345107","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","brevipetiolata","Mimosa brevipetiolata brevipetiolata",NA,NA,"A. Krapovickas","45225","1994","05","09","South America","Paraguay","Salto Piraretá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602232' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345107","NY01345107_01","Paraguarí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-27 19:30:00-03","NY","NYBG","01345132","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","R. C. Barneby","P. Jorgensen","4400","1931",NA,NA,"South America","Paraguay","In the campo Thiaty? [bad handwritten]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602244' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-27 19:33:00-03","NY","NYBG","01345108","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","R. C. Barneby","P. Jorgensen","4626","1931","03",NA,"South America","Paraguay","Common in the Campo Tapuytá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602247' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-27 19:30:00-03","NY","NYBG","01345112","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","R. C. Barneby","E. Hassler","1450","1885",NA,NA,"South America","Paraguay","pr. Tacuaral","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602253' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345112","NY01345112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-27 19:33:00-03","NY","NYBG","01345111","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","R. C. Barneby","E. Hassler","1094","1885",NA,NA,"South America","Paraguay","pr. Carapegua","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602252' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345111","NY01345111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01345120","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","pauperoides","Mimosa brevipetiolata pauperoides","(Burkart) Barneby","R. C. Barneby","W. G. F. Herter","1119","1928","11","27","South America","Uruguay","Santa Rosa Cuareim","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602398' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345120",NA,"Artìgas",NA,"40",NA,NA,"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-10-21 17:11:00-02","NY","NYBG","01345124","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","pauperoides","Mimosa brevipetiolata pauperoides","(Burkart) Barneby","R. C. Barneby","T. S. Ibarrola","2587","1945","03","08","South America","Argentina","Justino Solari cercanias","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602392' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345124","NY01345124_01","Corrientes","Mercedes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
