"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02687881","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","rufum","Lytoneuron rufum","(Brade) Yesilyurt","C. M. Mynssen","801","2005","08","09","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca. Trilha Monjolinho-Pião.","-43.879167","-21.704167","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2967899' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687881","NY02687881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 09:59:21-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","02231","S","Plantae","Tracheophyta","Polypodiales","Pteridaceae","Doryopteris","rufa","Doryopteris rufa",NA,"L. Krieger","07/00","1984","05","18","América do Sul","Brasil","Minas Gerais","Serra da Piedade",NA,NA,NA,NA,"GEOGRAFIA: Rupícola, em montanhas, muito castigadas e de aspecto precário.;",NA,NA,"Polypodiopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:36:19-03","IAP","PACA-AGP","77980","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","rufa","Doryopteris rufa","Brade","Krieger","15438","1955","01","05",NA,"Brasil","MG","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,"Habitat: no campo seco, lugares abrigados Ecossistema: CERRADO","PACA077980",NA,"Filicopsida","J. Cislinski-Yesilyurt","2005","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-30 18:33:22-03","UFJF","CESJ","27418","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Doryopteris","rufa","Doryopteris rufa","Brade","R.F. Novelino","1172","1993","08","08","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Terrestre, no solo da mata, protegido por capim, á sombra de candeia.","-43.793098449707","-21.8425006866455",NA,NA,"CESJ027418",NA,NA,NA,NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-30 18:33:22-03","UFJF","CESJ","26140","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Doryopteris","rufa","Doryopteris rufa","Brade","J.E.Z. Oliveira","15","1992","07","05","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Abaixo da Ponte de Pedra, no paredão arnítico. Rizoma ereto; pecíolo glabro; fronde fértil que adquire lobos à medida que se desenvolve.","-43.793098449707","-21.8425006866455",NA,NA,"CESJ026140",NA,NA,"M.C.M. Garcia; J.E.Z. Oliveira","1992","30417","auto","07","10",NA,NA,NA,NA,NA,NA
"6","2020-06-30 18:33:22-03","UFJF","CESJ","27309","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Doryopteris","rufa","Doryopteris rufa","Brade","R.F. Novelino; J.E.Z. Oliveira; D. Graçano; P.B. Pita","1034","1993","05","15","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Debaixo da Ponte de Pedra. Paredão rochoso à esquerda do Rio Salto, descendo ( altitude 1200m).","-43.793098449707","-21.8425006866455",NA,"Xerófila e ciófita. Infrequente no Parque. Rupícola. Ocorrendo isolada. Hábito herbáceo.","CESJ027309",NA,NA,"V.J. Pereira","2003","30417","auto","12",NA,NA,NA,NA,NA,NA,NA
"7","2020-06-30 18:33:22-03","UFJF","CESJ","27334","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Lytoneuron","rufum","Lytoneuron rufum","(Brade) Yesilyurt","R.F. Novelino; J.E.Z. Oliveira; D. Graçano; P.B. Pita","1067","1993","07","10","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,"Xerófita, ciófita, pouco frequente, rupícola, em tufos.","CESJ027334",NA,NA,"N.S. Smith-Braga","2019","30417","auto","12","11",NA,NA,NA,NA,NA,NA
"8","2020-06-30 18:33:22-03","UFJF","CESJ","27281","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Lytoneuron","rufum","Lytoneuron rufum","(Brade) Yesilyurt","R.F. Novelino; J.E.Z. Oliveira","1013","1993","05","01","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Cachoeira dos Macacos, à direita descendo do Rio do Salto. Após um paredão rochoso, descendo uma escada feita no trilho, próximo a piscina formada após a descida da Cachoeira dos Macacos.","-43.793098449707","-21.8425006866455",NA,"Saxícola, poucos exmplares. Boa luminosidade.","CESJ027281",NA,NA,"N.S. Smith-Braga","2019","30417","auto","12","11",NA,NA,NA,NA,NA,NA
"9","2020-01-02 19:02:18-03","UFJF","CESJ","49264","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Lytoneuron","rufum","Lytoneuron rufum","(Brade) Yesilyurt","T.E. Almeida; F.S. Souza; N.F.O. Mota; P.L. Viana; B. Norderstam; K. Antunes; N.L. Abreu","756","2007","04","10","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Burro de Ouro.","-43.8278007507324","-22.0891990661621",NA,"Rupícola em área de campo rupestre","CESJ049264",NA,NA,"N.S. Smith-Braga","2019","20815","auto","12","11",NA,NA,NA,NA,NA,NA
"10","2020-06-30 18:33:22-03","UFJF","CESJ","27282","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Lytoneuron","rufum","Lytoneuron rufum","(Brade) Yesilyurt","R.F. Novelino; J.E.Z. Oliveira; P.B. Pita","999","1993","05","01","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Cachoeira dos Macacos. Próximo ao trilho à esquerda do Rio do Salto.","-43.793098449707","-21.8425006866455",NA,"Rupícola. Boa luminosidade. Poucos exemplares.","CESJ027282",NA,NA,"N.S. Smith-Braga","2019","30417","auto","12","11",NA,NA,NA,NA,NA,NA
