"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","continentOcean","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","order"
"1","2021-03-01 16:22:06-03","UNICAMP","UEC","67424","S","Plantae","Magnoliopsida","Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella","Fontella, J","2003","08","03","Araújo, AC; et al.","30015","1993","11","10","Brazil","São Paulo","Ubatuba","Praia da Fazenda","-44.85","-23.35","-44.85","-23.35","Liana, flores verdes. Em planície.","UEC040530","UEC040530",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:22:06-03","UNICAMP","UEC","108873","S","Plantae","Magnoliopsida","Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella","Fontella-Pereira, J","1998","11",NA,"Assis, MA; Furlan, A","1004","1997","09","19","Brazil","São Paulo","Ubatuba","Picinguaba, Margem do Rio da Fazenda, 50 msm","-45.0699996948242","-23.4300003051758",NA,NA,"Liana, latescente; flores esverdeadas, corona amarelada; frutos imaturos verdes","UEC055688","UEC055688","isotypus","34265","auto",NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:03:43-03","UNICAMP","UEC","139011","S","Plantae","Magnoliopsida","Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella","Singer, RB",NA,NA,NA,"Singer, RB","99/33","1999","11","25","Brazil","São Paulo","Ubatuba","Picinguaba - Parque Estadual da Serra do, Parque Estadual Serra do Mar","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:12:43-03","MBM","MBM","239282","PreservedSpecimen","Plantae",NA,"Apocynaceae","Matelea","marcoassissi","Matelea marcoassissi","Fontella","Schwarz, E.A.","2007","08","28","Assis, M.A.; Furlan, A.; Furlan, A.","1004","1997","09","19","Brazil","São Paulo","Ubatuba","Picinguaba, Margem do Rio da Fazenda, 50msm.","-45.0699996948242","-23.4300003051758",NA,NA,"Liana, latescente, flores esverdeadas, corona amarelada, frutos imaturos verdes.","MBM239282","MBM239282","ISOTYPE","34265","auto","Southern America",NA,NA,NA,NA,NA
"5","2020-12-21 16:12:43-03","MBM","MBM","239282","PreservedSpecimen","Plantae",NA,"Apocynaceae","Matelea","marcoassisi","Matelea marcoassisi","Fontella","Rapini, A.","2008","03",NA,"Assis, M.A. de; et al.; et al.","1004","1997","09","19","Brazil","São Paulo","Ubatuba","Picingatuba. Margem do Rio da Fazenda","-45.0699996948242","-23.4300003051758",NA,NA,"Liana, latescente; flores esverdeadas, corona amarelada; frutos imaturos verdes.","MBM239282","MBM239282",NA,"34265","auto","Southern America","50","50",NA,NA,NA
"6","2020-12-21 16:12:43-03","MBM","MBM","298006","PreservedSpecimen","Plantae",NA,"Apocynaceae","Matelea","marcoassisi","Matelea marcoassisi","Fontella","Assis, M.A.",NA,NA,NA,"Assis, M.A.","1322","1999","10","09","Brazil","São Paulo","Ubatuba","Pincinguaba","-45.0699996948242","-23.4300003051758",NA,NA,NA,"MBM298006","MBM298006",NA,"34265","auto","Southern America",NA,NA,NA,NA,NA
"7","2020-12-11 11:31:54-03","UFMG","BHCB","91970","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella",NA,"1999","10",NA,"Assis, MA de","1322","1999","10","09","Brasil","São Paulo","Ubatuba","Picinguaba, Rio da Fazenda, margem.","-45.0699996948242","-23.4300003051758",NA,NA,"Liana, latescente, pétalas esverdeadas, frutos verdes.",NA,NA,NA,"34265","auto","Southern America","1000","1000",NA,NA,NA
"8","2012-02-07 05:09:00-02","MO","MOBOT","1407081","PreservedSpecimen","Plantae",NA,"Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella",NA,NA,NA,NA,"Marco A. de Assis|Antonio Furlan","Assis 1004","1997","9","19","Brazil","São Paulo",NA,"Mpio. de Ubatuba, Picinguaba, margem do Rio da Fazenda.",NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,"South America","50.00000000",NA,"1",NA,NA
"9","2021-01-04 11:29:32-03","UEMA","SLUI","3776","PreservedSpecimen","Plantae","Angiospermae","Asclepiadaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella",NA,NA,NA,NA,"A. M. Miranda et al.","4927","2005","03","01","Brasil","Maranhão","Parnarama","Mirindiba","-43.0932998657227","-5.68167018890381",NA,NA,"Doação","SLUI003776",NA,NA,"95189","auto",NA,NA,NA,NA,NA,NA
"10","2020-07-15 14:43:33-03","UNESP-RC","HRCB","27001","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella","Jorge Fontella Pereira",NA,NA,NA,"Assis, M. A. de",NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba, margem do Rio da Fazenda","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,"Isótipo","34265","auto",NA,NA,NA,NA,NA,NA
