"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","376567","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","R. C. Forzza","G. Jönsson","1029a","1914","10","04","South America","Brazil","Paraná","Almirante Tamandaré","Tamandare","-49.290126","-25.310726","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376567","NY00376567_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-24 17:10:34-03","UTFPR","DVPR","827","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Estevan, DA","Estevan, DA","1853","2009","10","20",NA,"Brasil","Paraná","Ortigueira","Serra dos Mulatos","-51.05008","-23.57596",NA,"Rupícula, frutos castanhos.","DVPR000827","DVPR000827","2009","-51.05008","-23.57596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:12:11-03","NBC","NL-BOTANY","L.1429393","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.",NA,"Hatschbach GG",NA,"1959","10","02","Southern America","Brazil",NA,NA,"Est Parana (BRASIL), Mun. Alm. Tamandaré. Alm. Tamandaré.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1429393 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1429393","NL-L1429393",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:25:52-03","MN","R","111065","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B. Sm.","Santos-Silva, F.","Hatschbach, G.G.","959","1959","10","02",NA,"Brasil","Paraná","Almirante Tamandaré",NA,"-49.310001373291","-25.3246994018555",NA,NA,"R010005691",NA,"2015",NA,NA,NA,"03","20","18684","auto",NA,NA,NA,NA,NA,NA
"5","2021-04-07 11:41:58-03","UFMS","CGMS","76601","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","G. Hatschbach","G. Hatschbach","6529","1959","11","08",NA,"Brasil","Paraná","Lapa","Rio Passa Dois.","-49.7158012390137","-25.7696990966797",NA,"Flor amarela.","CGMS1109589",NA,"1959",NA,NA,NA,NA,NA,"49965","auto",NA,NA,NA,NA,NA,NA
"6","2019-11-19 14:05:21-03","UFRPE","PEUFR","142","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B. Sm.","G. Hatschbach; L.B. Smith","G. Hastchbach",NA,"1959","10","02",NA,"Brasil","Paraná","Almirante Tamandaré",NA,"-49.310001373291","-25.3246994018555",NA,"Flor amarela; formação compacta de muitos indivíduos","PEUFR000142",NA,"1960",NA,NA,NA,NA,NA,"18684","auto",NA,NA,NA,NA,NA,NA
"7","2021-02-23 15:16:46-03","UTFPR","HCF","14973","S","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B. Sm.","J. Cordeiro & E. Barboza","E.L. Siqueira","1201","2014","09","17",NA,"Brasil","PR","Ortigueira","Morro da Pedra Branca","-51.077667","-23.967028",NA,"erva ca. 0,60 m, heliófita. Folhas com espinhos nas margens. Flores alaranjadas com estames amarelos. Em campo de altitude.",NA,NA,"2016","51°04'39,6 W","23°58'01,3 S",NA,NA,NA,NA,NA,"1260","1260",NA,NA,NA,NA
"8","2020-11-16 17:11:27-03","UFSM","SMDB","15924","S","Plantae",NA,NA,"Bromeliaceae","Dyckia","ibicuiensis","Dyckia ibicuiensis","Strehl","Carvalho, JDT","Carvalho, JDT","s.n.","2015","09","24",NA,"Brasil","Rio Grande do Sul","São Pedro do Sul","Morro Itaquatiá","-54.830389","-29.5895",NA,"Flores coletadas em 24/09/2015. Porções vegetativas coletadas em 30/01/2016. Flores amarelas. Inflorescência curta, não ramificada. Coletada em encosta de morro. Material testemunho para Pesquisa do Laboratório de Botânica Estrutural (LABOTE). Profe","SMDB015924",NA,NA,"-54.830389","-29.5895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-16 17:11:27-03","UFSM","SMDB","15924","S","Plantae",NA,NA,"Bromeliaceae","Dyckia","ibicuiensis","Dyckia ibicuiensis","Strehl","Carvalho, JDT","Carvalho, JDT","s.n.","2015","09","24",NA,"Brasil","Rio Grande do Sul","São Pedro do Sul","Morro Itaquatiá","-54.830278","-29.589444",NA,"Flores coletadas em 24/09/2015. Porções vegetativas coletadas em 30/01/2016. Flores amarelas. Inflorescência curta, não ramificada. Coletada em encosta de morro. Material testemunho para Pesquisa do Laboratório de Botânica Estrutural (LABOTE). Profe","SMDB015924",NA,"2015","-54.830278","-29.589444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-08-10 11:15:23-03","UFSM","SMDB","15924","S","Plantae",NA,NA,"Bromeliaceae","Dyckia","ibicuiensis","Dyckia ibicuiensis","Strehl","Carvalho, JDT","Carvalho, JDT","s.n.","2015","09","24",NA,"Brasil","Rio Grande do Sul","São Pedro do Sul","Morro Itaquatiá","-54.830389","-29.5895",NA,"Flores coletadas em 24/09/2015. Porções vegetativas coletadas em 30/01/2016. Flores amarelas. Inflorescência curta, não ramificada. Coletada em encosta de morro. Material testemunho para Pesquisa do Laboratório de Botânica Estrutural (LABOTE). Profe","SMDB015924",NA,NA,"-54.830389","-29.5895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:19:23-03","MBM","MBM","34070","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Smith, L.B.","Hatschbach, G.","7496","1960","10","23","Southern America","Brazil","Paraná","Imbituva","Imbituva","-50.6044006347656","-25.2299995422363",NA,"Terrícola.","MBM034070","MBM034070",NA,NA,NA,NA,NA,NA,"24222","auto",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:19:23-03","MBM","MBM","14151","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Leme, E.M.C.","Hatschbach, G.","22926","1961","11","18","Southern America","Brazil","Paraná","Ortigueira","Serra dos Mulatos","-50.9494018554688","-24.2082996368408",NA,"Terrícola.","MBM014151","MBM014151",NA,NA,NA,NA,NA,NA,"46016","auto",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:19:23-03","MBM","MBM","184934","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Leme, E.M.C.","Poliquesi, C.B.; Silva, J.M.; Silva, J.M.","452","1995","10","12","Southern America","Brazil","Paraná","Ponta Grossa","Passo do Pupo","-50.1618995666504","-25.0949993133545",NA,NA,"MBM184934","MBM184934",NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:19:23-03","MBM","MBM","14519","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Hatschbach, G.","Hatschbach, G.","22443","1969","10","13","Southern America","Brazil","Paraná","Almirante Tamandaré","Almirante Tamandaré","-49.310001373291","-25.3246994018555",NA,"Terrícola.","MBM014519","MBM014519",NA,NA,NA,NA,NA,NA,"18684","auto",NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:19:23-03","MBM","MBM","34071","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Hatschbach, G.","Hatschbach, G.","6365","1959","10","02","Southern America","Brazil","Paraná","Almirante Tamandaré","Almirante Tamandaré","-49.310001373291","-25.3246994018555",NA,"Terrícola.","MBM034071","MBM034071",NA,NA,NA,NA,NA,NA,"18684","auto",NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:19:23-03","MBM","MBM","3280","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Hatschbach, G.","Hatschbach, G.","15214","1966","11","04","Southern America","Brazil","Paraná","Lapa","Rio Passa Dois","-49.7158012390137","-25.7696990966797",NA,"Terrícola.","MBM003280","MBM003280",NA,NA,NA,NA,NA,NA,"49965","auto",NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:19:23-03","MBM","MBM","30592","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Hatschbach, G.","Hatschbach, G.","31824","1973","04","18","Southern America","Brazil","Paraná","Lapa","Rio Passa Dois","-49.7158012390137","-25.7696990966797",NA,"Terrícola.","MBM030592","MBM030592",NA,NA,NA,NA,NA,NA,"49965","auto",NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:19:23-03","MBM","MBM","180498","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Hatschbach, G.","Hatschbach, G.","6529","1959","11","08","Southern America","Brazil","Paraná","Lapa","Rio Passa Dois","-49.7158012390137","-25.7696990966797",NA,"Terrícola.","MBM180498","MBM180498",NA,NA,NA,NA,NA,NA,"49965","auto",NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:19:23-03","MBM","MBM","40642","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Smith, L.B.","Hatschbach, G.","37335","1975","10","24","Southern America","Brazil","Paraná","Laranjeiras do Sul","Cantagalo","-52.4160995483398","-25.4078006744385",NA,"Terrícola.","MBM040642","MBM040642",NA,NA,NA,NA,NA,NA,"28404","auto",NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:19:23-03","MBM","MBM","3123","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Smith, L.B.","Hatschbach, G.; Guimarães, O.; Guimarães, O.","14686","1967","09","06","Southern America","Brazil","Paraná","Tibagi","Rio Tibagi","-50.4136009216309","-24.5093994140625",NA,NA,"MBM003123","MBM003123",NA,NA,NA,NA,NA,NA,"56988","auto",NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:19:23-03","MBM","MBM","48317","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Smith, L.B.","Hatschbach, G.","38063","1976","02","11","Southern America","Brazil","Paraná","Tibagi","Rodovia do Café, Rio Capivari","-50.4136009216309","-24.5093994140625",NA,"Terrícola.","MBM048317","MBM048317",NA,NA,NA,NA,NA,NA,"56988","auto",NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:19:23-03","MBM","MBM","394292","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Santos-Silva, F.","Lozano, E.D.; Ariati, V.; Pfeffer, R.A.; Ariati, V.; Pfeffer, R.A.","2698","2014","07","19","Southern America","Brazil","Paraná","Campina Grande do Sul","Morro Capivari Mirim","-48.839722","-25.148861",NA,"Rupícola, 1 m, flores alaranjadas.; Refúgio Vegetacional Altomontano. Em campo rupestre.","MBM394292","MBM394292","2014","-48.839722","-25.148861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:19:23-03","MBM","MBM","180499","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","dusenii","Dyckia dusenii","L.B.Sm.","Hatschbach, G.","Hatschbach, G.","6365","1959","10","02","Southern America","Brazil","Paraná","Almirante Tamandaré","Almirante Tamandaré","-49.310001373291","-25.3246994018555",NA,"Terrícola.","MBM180499","MBM180499",NA,NA,NA,NA,NA,NA,"18684","auto",NA,NA,NA,NA,NA,NA
