"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","376582","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker","L. B. Smith","M. Rolla","6720","1965","11","05","South America","Brazil","Rio de Janeiro","Itatiaia","Planalto of Itatiáia (mountain), 150 km west-northwest of Rio de Janeiro","-44.5631","-22.4961","2300","2300","sheet","Collector appears on label as Rolla M. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=564521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376582","NY00376582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376581","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker","L. B. Smith","C. Angeli","14","1960","03","12","South America","Brazil","Rio de Janeiro","Itatiaia","Abrigo Rebouças","-44.678895","-22.385269","2350","2350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=564520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376581","NY00376581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:39-03","UFRJ","RFA","42300","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker","M.B.Plumm, A.P.M.Buzzani, B.V.Vinolo, E.C.N.Melo, F.Sciammarella","M.B.Plumm; A.P.M.Buzzani, B.V.Vinolo, E.C.N.Melo, F.Sciammarella","88","2017","12","06",NA,"Brasil","Rio de Janeiro","Itatiaia","PARNA Itatiaia, na parte alta, trilha para as Prateleiras. Campo de altitude.","-44.687778",NA,"2300","2300",NA,"Erva rupícola. Sol. Cerca de 25 cm de altura","RFA35989",NA,"2017","12","06","44º41'16''W","22ºS",NA,NA,NA,NA,NA
"4","2020-06-29 11:29:39-03","UFRJ","RFA","30397","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker","K. T. Ribeiro","K. T. Ribeiro; T. Wendt, F. C. P. Tatagiba, G. K. Brown","291","2000","11","30",NA,"Brasil","Rio de Janeiro","Serrinha",NA,NA,NA,NA,NA,NA,"Rupícola, escapo e brácteas florais rosas. Ovário e sépalas rosas. Pétalas vinosas","RFA52175",NA,"2001","11","30",NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:39-03","UFRJ","RFA","18667","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker","R. Moura","C. Pereira","811","1977","08","12",NA,"Brasil","Rio de Janeiro","Itatiaia","Planalto - 2350 m","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Flor lilás com pontas das pétalas roxas","RFA52183",NA,"2000","10","23",NA,NA,"19648","auto",NA,NA,NA
"6","2020-06-29 11:29:39-03","UFRJ","RFA","22815","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker","L. B. Smith",NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Resende","Serra do Itatiaia","-44.4467010498047","-22.468900680542",NA,NA,NA,NA,"RFA52179",NA,"1961",NA,NA,NA,NA,"36089","auto",NA,NA,NA
"7","2020-02-08 10:12:11-03","NBC","NL-BOTANY","U.1177800","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker",NA,"Mennega EA; Haas JH de",NA,"1967","07","03","Southern America","Brazil",NA,NA,"Flora Brasiliae Australis. Hab. Est. Rio de Janeiro. Parque Nacional do Itatiaia; vic. of Abrigo Reboucas.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1177800 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1177800","NL-U1177800",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"8","2020-02-08 10:12:11-03","NBC","NL-BOTANY","U.1177801","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker",NA,"Lindeman JC; Haas JH de",NA,"1967","04","16","Southern America","Brazil",NA,NA,"Flora Brasiliae Australis. Hab. Est. Rio de Janeiro. Parque Nacional do Itatiaia; dell near broadcasting station.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1177801 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1177801","NL-U1177801",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"9","2021-01-14 15:25:52-03","MN","R","219954","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker",NA,"Almeida, M. 20; Costa, L.M. & Santos, F.B.",NA,"2013","07","16",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia","-44.672467","-22.37765","2570","2570",NA,NA,"R010005578","R010005578",NA,NA,NA,"-44.672467","-22.377650",NA,NA,NA,NA,NA
"10","2021-01-14 15:25:52-03","MN","R","232723","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker",NA,"Uribbe, F.P. 301; Kessous, I. & Manhães, V.",NA,"2017","06","08",NA,"Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471","1152","1152",NA,NA,"R010041901","R010041901",NA,NA,NA,NA,NA,"32988","auto",NA,NA,NA
"11","2021-04-07 17:00:40-03","MN","R","189793","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker","Fontoura, T.","Segadas-Vianna, F.; Dau, L.; Ormond, W.T.; Machline, G.C. & Lorêdo Junior., J.","Restinga - I - 1440","1953",NA,NA,NA,"Brasil","Rio de Janeiro","Arraial do Cabo",NA,"-42.0278015136719","-22.966100692749",NA,NA,NA,NA,"R010005795","R010005795","1987","07","08",NA,NA,"25964","auto",NA,NA,NA
"12","2021-01-14 15:25:52-03","MN","R","111803","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker","Fontoura, T.","Lutz, B.M.J.",NA,"1960","12","15",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","2400","2400",NA,NA,"R010005797","R010005797","1987","07","08",NA,NA,"19648","auto",NA,NA,NA
"13","2021-01-14 15:25:52-03","MN","R","46440","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker",NA,"Ule, E.H.G.","291 A","1896","12","28",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"R010005800","R010005800",NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA
"14","2021-01-14 15:25:52-03","MN","R","106780","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker","Fontoura, T.","Castellanos, A.","22342","1959","01","23",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"R010005798","R010005798","1987","07","08",NA,NA,"19648","auto",NA,NA,NA
"15","2021-01-14 15:25:52-03","MN","R","32372","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker","Fontoura, T.","Foster, M.B.","116","1939","06","29",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"R010005566","R010005566","1987","07","08",NA,NA,"19648","auto",NA,NA,NA
"16","2021-01-14 15:25:52-03","MN","R","46437","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Fernseea","itatiaiae","Fernseea itatiaiae","(Wawra) Baker",NA,"Hemmendorff, E.","558","1901","07","24",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","2000","2000",NA,NA,"R010005567","R010005567",NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA
