"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00859051","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","cipoensis","Banisteriopsis cipoensis","B.Gates","M. C. H. Mamede","J. Semir","CFSC496","1971","12","13","South America","Brazil","Minas Gerais","Jaboticatubas","Km 127 ao longo da rosovia Lagoa Santa - Conceição do Mato Dentro. Diamantina.","-43.7447","-19.5136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859051","NY00859051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","55158","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","cipoensis","Banisteriopsis cipoensis","B.Gates",NA,"B. Gates","386","1976","03","14","South America","Brazil","Minas Gerais",NA,"Ca km 121 on road from Conceiçao do Mato Dentro to Belo Horizonte.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055158","NY00055158_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00859052","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","cipoensis","Banisteriopsis cipoensis","B.Gates","B. Gates","W. R. Anderson","36159","1972","02","17","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó","-43.567497","-19.391589","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859052","NY00859052_01",NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00859053","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","cipoensis","Banisteriopsis cipoensis","B.Gates","B. Gates","H. S. Irwin","20002","1968","02","14","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957901' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859053","NY00859053_01",NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00859054","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","cipoensis","Banisteriopsis cipoensis","B.Gates","B. Gates","G. G. Hatschbach","31540","1973","02","14","South America","Brazil","Minas Gerais","Jaboticatubas","Fda. Serra do Cipó.","-43.7447","-19.5136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957905' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859054","NY00859054_01",NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:54:40-03","NBC","NL-BOTANY","U.1370868","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Banisteriopsis","cipoensis","Banisteriopsis cipoensis","B.Gates","Mamede MCH","Semir J; Sazima M",NA,"1971","12","13","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1370868 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1370868","NL-U1370868",NA,NA,NA,"Magnoliopsidae","1982","07","01","U 0115568",NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:54:40-03","NBC","NL-BOTANY","U.1370869","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Banisteriopsis","cipoensis","Banisteriopsis cipoensis","B.Gates","Mamede MCH","Mamede MCH; et al.",NA,"1981","01","09","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1370869 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1370869","NL-U1370869",NA,NA,NA,"Magnoliopsidae","1982","08","01","U 0115569",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:54:40-03","NBC","NL-BOTANY","U.1370870","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Banisteriopsis","cipoensis","Banisteriopsis cipoensis","B.Gates",NA,"Anderson WR; Stieber M; Kirkbride Jr JH",NA,"1972","02","17","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil, Estado de Minas Gerais, Serra do Esphinhaço, Serra do Cipó.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1370870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1370870","NL-U1370870",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:54:40-03","NBC","NL-BOTANY","U.1370871","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Banisteriopsis","cipoensis","Banisteriopsis cipoensis","B.Gates",NA,"Irwin HS; Grear JW; Souza R; Reis dos Santos R",NA,"1966","02","09","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil, Chapada dos Veadeiros, ca. 20 km W. of Veadeiros, Goiás.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1370871 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1370871","NL-U1370871",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:33:22-03","UNICAMP","UEC","205381","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Banisteriopsis","cipoensis","Banisteriopsis cipoensis","B. Gates","Silva, C","Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","62","2019","05","20",NA,"Brazil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.521111","-19.246389",NA,"Erva, ca. 40 cm alt.; Pétalas rosas no centro e brancas na extremidade; Botão rosa; Glandulas rosas; Antera amarelada.; Campo Rupestre; Solo arenoso e úmido","UEC173836","UEC173836",NA,"1287","1287",NA,"2019",NA,NA,NA,"-43.521111","-19.246389",NA,NA,NA,NA
