"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","order","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","relatedCatalogItem","typeStatus","sex"
"1","2019-02-15 11:46:59-02","IPA","IPA","14164","S","Plantae","Plantae","Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","Pessoa, E.","2011","03","29","Pontual, I.","235","1966","11","02","Southern America","Brasil","Alagoas","União dos Palmares","Engenho Santo Antonio, mata da Serrinha.","-36.0318984985352","-9.16277980804443","22346","Flor verde-claro com labelo branco e centro vermelho-alaranjado; epífita nas árvores.","IPA0014164","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:46:59-02","IPA","IPA","15916","S","Plantae","Plantae","Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","Pessoa, E.","2011","03","29","Andrade-Lima","66-4748","1966","11","26","Southern America","Brasil","Alagoas","União dos Palmares","Engenho Santo Antonio","-36.0318984985352","-9.16277980804443","22346","Epífita em arbustos do subosque. Sépalas verdes, pétalas alvas.","IPA0015916","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:46:59-02","IPA","IPA","88181","S","Plantae","Plantae","Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","Pessoa, E.","2009","12",NA,"Pessoa, E.; Souza, J.A.N.; Souza, J.A.N.","210","2009","12","16","Southern America","Brasil","Pernambuco","Igarassu","Mata de Piedade.","-35.023611","-7.790833",NA,"Epífita, flores brancas, frutos verdes.; Mata Atlântica. Interior do fragmento em área úmida.","IPA0088181",NA,"-35.023611","-7.790833",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:46:59-02","IPA","IPA","29167","S","Plantae","Plantae","Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","Pessoa, E.","2011","03","29","Andrade-Lima","72-7008","1972","09",NA,"Southern America","Brasil","Pernambuco","Quipapá","São Benedito, margem estrada para Garanhuns.","-36.0116996765137","-8.82777976989746","11788",NA,"IPA0029167","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-07-05 11:14:21-03","FFCLRP","LBMBP","486","S","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","E.R. Pansarin",NA,NA,NA,"L.M. Pansarin",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-04-22 16:26:40-03","UFPB","JPB","63729","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","V. Brito","2017","10","31","M.Figueira; B.Schindler; R.M.T.Costa","718","2017","10","30","Southern America","Brasil","Alagoas","Quebrangulo","ALPE246P16 (conglomerado do Inventário Florestal Nacional)","-36.3825","-9.2249",NA,"Epífita, na subunidade 3, sobre liana e troncos, até 3 m de altura do solo, pouco abundante, sépalas verdes, pétalas alvas; HABITAT: Floresta Pluvial Tropical do Domínio Atlântico, aprox. 790 m de altitude, área com extração de madeir","JPB0063729",NA,"-36.3825","-9.2249","Monocotyledon",NA,NA,NA,NA,NA,NA,NA
"7","2020-04-22 16:26:40-03","UFPB","JPB","33361","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","Toscano de Brito, ALV","2008","09","18","Thomas, WW; Barbosa, MR; Lemos, RL; Fiaschi, P; Sant'Ana, SC; Paixão, JL","13232","2002","11","03","Southern America","Brasil","Alagoas","União dos Palmares","Serra das Bananeiras, Serra das Bananeiras. Intact Coastal rain forest (Mata de encosta)","-35.88","-9.221528",NA,"; DESC: Epiphyte on twigs; flowers white with markins. [EtOH], [photo].",NA,NA,"-35.88","-9.221528","Monocotyledon","500","560",NA,NA,NA,NA,NA
"8","2020-12-21 16:38:53-03","MBM","MBM","50183","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","Royer, C.A.","2019",NA,NA,"Hatschbach, G.","9820","1962","11","11","Southern America","Brazil","Paraná","Guaratuba","Rio da Divisa","-48.5746994018555","-25.8827991485596","41937","Epífita. Flor amarela (abóbora), pétalos e labelo alvecentes.; Mata pluvial da vertente atlântica.","MBM050183","auto",NA,NA,NA,"50","50",NA,NA,NA,NA,NA
"9","2021-01-26 13:57:05-03","IMA","MAC","64169","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","V. Brito","2017","10","31","M.Figueira; B.Schindler; R.M.T.Costa","718","2017","10","30",NA,"Brasil","Alagoas","Quebrangulo","ALPE246P16 (conglomerado do Inventário Florestal Nacional)","-36.3825","-9.2",NA,"Epífita, na subunidade 3, sobre liana e troncos, até 3 m de altura do solo, pouco abundante, sépalas verdes, pétalas alvas; Floresta Pluvial Tropical do Domínio Atlântico, aprox. 790 m de altitude, área com extração de madeira, relevo","MAC0064169",NA,"-36.3825","-9.2",NA,NA,NA,"MAC0064169",NA,NA,NA,NA
"10","2021-01-28 11:37:29-03","IMA","MAC","19824","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","E.C.O.Chagas","2007","08","23","A.I.L.Pinheiro; et al.","121","2003","11","04",NA,"Brasil","Alagoas","Murici","Serra do Ouro, Estação Ecológica de Murici.","-35.941944","-9.309444",NA,"Epífita.; Mata Pluvial Atlântica","MAC0019824",NA,"-35.941944","-9.309444",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-01-26 13:57:05-03","IMA","MAC","31929","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","E.C.O.Chagas","2007","11","29","Chagas-Mota","162","2007","11","29",NA,"Brasil","Alagoas","Maceió","Serra da Saudinha, Fazenda Cela.","-35.708947","-9.649847",NA,"Epífita. Flores esverdeadas com branco.; Mata Pluvial Atlântica. Mata em encosta.","MAC0031929",NA,"-35.708947","-9.649847",NA,NA,NA,NA,NA,NA,NA,NA
