"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","class","order","relatedCatalogItem"
"1","2019-11-21 14:39:47-03","UFJF","CESJ","64847","PreservedSpecimen","Plantae","Angiosperma","Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F. Guim & R. Goldenberg","Paratypus","G. Hatschbach; J.M. Silva","61533","1995","01","15","América do Sul","Brasil","Espírito Santo","Venda Nova do Imigrante","Torre da Telest","-41.1347007751465","-20.3397006988525","15909","1200","1200","Árvore copada, 8m, flor lilás-escura. Mata do alto do morro.","CESJ064847","CESJ064847","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:35:04-03","MBM","MBM","308784","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F. Guim. & R. Goldenberg",NA,"Kollmann, L.; et al.; et al.","7276","2005","01","22","Southern America","Brazil","Espírito Santo","Santa Teresa","Penha","-40.6002998352051","-19.9356002807617","23813",NA,NA,NA,"MBM308784","MBM308784","auto","Kollmann, L.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:38:39-03","UFMG","BHCB","76265","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.","Paratypus","Hatschbach, G; Silva, JM","61533","1995","01","15","Southern America","Brasil","Espírito Santo","Venda Nova do Imigrante","Torre da Telest","-41.1347007751465","-20.3397006988525","15909","1200","1200","Árvore copada, 8m, flor lilás-escura.; Mata do alto do morro.","BHCB000316","BHCB000316","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-11 17:20:19-03","UFPR","UPCB","48594","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenberg","Paratype","Hatschbach, G.","61533","1995","01","15",NA,"Brasil","Espírito Santo","Venda Nova do Imigrante","BLOQUEADO",NA,NA,NA,NA,NA,"Arvoreta copada, 8m, flor lilás escura. Mata do alto do morro. Alt.: 1200m s.n.m..","UPCB0002182","UPCB0002182",NA,"Guim, P.J.F. & Goldenberg, R.","9999","9999",NA,NA,NA,NA,NA,NA,NA
"5","2021-02-11 17:20:19-03","UFPR","UPCB","56366","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenberg",NA,"Kollmann, L.","2310","1999","03","30",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,"800","800","Árvore 12m, DAP 40cm, fuste 4m, frutos secos..","UPCB0018281","UPCB0018281",NA,"Guimarães, P.J.F.","9999","9999","2007","01","01",NA,NA,NA,NA
"6","2021-02-11 17:20:19-03","UFPR","UPCB","56367","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenberg",NA,"Kollmann, L.","5213","2002","01","08",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,"850","850","Arvoreto 8m, flor lilás..","UPCB0018280","UPCB0018280",NA,"Guimarães, P.J.F.","9999","9999","2007","01","01",NA,NA,NA,NA
"7","2021-02-11 17:20:19-03","UFPR","UPCB","56368","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenberg",NA,"Vervloet, R.R.","1555","2002","12","18",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,"870","870","Árvore 8m, meia encosta, flor lilás, dossel 8m, capoeira..","UPCB0018279","UPCB0018279",NA,"Guimarães, P.J.F.","9999","9999","2007","01","01",NA,NA,NA,NA
"8","2021-02-11 17:20:19-03","UFPR","UPCB","56369","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenberg",NA,"Vervloet, R.R.","1614","2003","01","07",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,"810","810","Árvore 12m, flor com sépala verde e estame lilás, fruto jovem, baixada, dossel 12m..","UPCB0018278","UPCB0018278",NA,"Guimarães, P.J.F.","9999","9999","2007","01","01",NA,NA,NA,NA
"9","2021-02-11 17:20:19-03","UFPR","UPCB","56370","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenberg","Isotype","Boudet Fernandes, H.","1809","1986","01","28",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,NA,"Árvore, 6m x 8cm, cálice rosado, corola roxa clara, antera e estilete roxos, filete branco na base e roxo na parte superior..","UPCB0002187","UPCB0002187",NA,"Guimarães, P.J.F.","9999","9999","2007","01","01",NA,NA,NA,NA
"10","2021-02-11 17:20:19-03","UFPR","UPCB","56371","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenberg","Paratype","Pizziolo, W.","195","1985","11","12",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,NA,"Árvore, 12m x 22cm, ramos jovens, pecíolos e nervuras primárias avermelhados, frutos brunos, heliófila. Mata, morro..","UPCB0002183","UPCB0002183",NA,"Guimarães, P.J.F.","9999","9999","2007","01","01",NA,NA,NA,NA
