"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","infraspecificEpithet","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","9180","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","grandifolia","Calyptranthes grandifolia","O.Berg","J. Mattos","R.M. Klein; A. Bresolin","8189","1969","02","13","Brasil","Santa Catarina","Florianópolis","Morro da Costa da Lagoa, Ilha de Santa Catarina.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: mata Habito: árvore","CRI004965","CRI004965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","7887","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","grandifolia","Calyptranthes grandifolia","O.Berg","Vanilde Citadini-Zanette","Marciel Bonfim Fernandes",NA,"2007","10","31","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,NA,NA,"CRI004968","CRI004968","2008","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","561624","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","brasiliensis","Calyptranthes brasiliensis mutabilis","(O.Berg) D.Legrand","G. M. Barroso","B. D. Sucre","8379","1972","02","01","Brazil","Espírito Santo",NA,"Reserva de Linhares, DOCEMADE","-39.961174","-19.138199",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561624","NY00561624_01",NA,NA,NA,"Magnoliophyta","Myrtales","mutabilis","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","561627","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","brasiliensis","Calyptranthes brasiliensis mutabilis","(O.Berg) D.Legrand","G. M. Barroso","A. P. Duarte","9152","1965","02","20","Brazil","Espírito Santo",NA,"De Linhares para Sao Mateus.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561627","NY00561627_01",NA,NA,NA,"Magnoliophyta","Myrtales","mutabilis","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1738412","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","brasiliensis","Calyptranthes brasiliensis","Spreng.","B. S. Amorim","R. M. Déda","142","2012","04","17","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.4258","-11.3828",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2007708' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738412",NA,NA,NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00915537","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","brasiliensis","Calyptranthes brasiliensis","Spreng.","M. L. Kawasaki","M. L. Kawasaki","1078","1999","03","10","Brazil","Minas Gerais","Riacho dos Machados","Serra da Bocaina. BR-251 para Barrocão, km 400","-43.0492","-16.0061",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915537","NY00915537_01",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","561623","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","brasiliensis","Calyptranthes brasiliensis","Spreng.","G. M. Barroso","L. S. P. Sarahyba","101","1982","03","23","Brazil","Rio de Janeiro","Sao Joao da Barra","Sao Joao da Barra, cerca de 10 km da cidade.","-41.0508","-21.6406",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561623","NY00561623_01",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","561630","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","brasiliensis","Calyptranthes brasiliensis","Spreng.","G. M. Barroso","L. Monteiro de S.","241","1971","06","05","Brazil","Minas Gerais","São Thomé das Letras","Sao Thomé das Letras","-44.965327","-21.740845",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561630","NY00561630_01",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00907481","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","brasiliensis","Calyptranthes brasiliensis","Spreng.","M. Sobral","M. M. M. Lopes","946","2006","07","02","Brazil","Bahia","Porto Seguro","Estrada Eunápolis a Porto Seguro. RPPN Estação Veracruz. Mata de Mussununga. Proximidades do Bloco 6","-39.2022","-16.4192",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985843' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907481","NY00907481_01",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02636769","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","brasiliensis","Calyptranthes brasiliensis","Spreng.",NA,"L.A. Gomes","1214","2013","03","27","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto: Borda de mata.","-37.4289","-11.3761",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2293442' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636769","NY02636769_01",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
