"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","428367","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","conferruminata","Licania conferruminata","Prance","isotype","C. A. Cid Ferreira","9032","1987","05","04","South America","Brazil","Rondônia","Ji-Paraná. Linha 56, a 45 km da ciudade","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=91300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428367","NY00428367_01",NA,NA
"2","2009-07-24 16:01:00-03","MO","MOBOT","3171889","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","conferruminata","Licania conferruminata","Prance","Holotype","C.A. Cid Ferreira","Cid Ferreira 9032","1987","5","4","South America","Brazil","Amazonas","Mun. Ji-Paraná, Rondônia. Linha 56, 45 km da cidade. Mata de terra firme, solo argiloso.",NA,NA,NA,NA,"G.T. Prance",NA
"3","2008-11-06 13:08:43-02","CAS","CAS-BOT","3158","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Chrysobalanaceae","Licania","conferruminata","Licania conferruminata","Prance","isotype","Cid Ferreira, C. A.","9032","1987","5",NA,"South America","Brazil",NA,"Mun. Ji-Parana, Rondonia. Linha 56, a 45 km da cidade.",NA,"Arvore de 12 m x 25 cm de diam. Flores amarelas, botoes esverdeados.",NA,NA,"G. T. Prance","Magnoliopsida"
