"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1181870","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","argyreiae","Mikania argyreiae","DC.","W. C. Holmes","R. P. Belém","2636","1966","09","22","South America","Brazil","Bahia","Rodovia BR 5, 10 km S Eunápolis.","-39.574555","-16.440974","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387679' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181870","NY01181870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1181861","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","argyreiae","Mikania argyreiae","DC.","W. C. Holmes","W. Hoehne","3862","1953","07","13","South America","Brazil","São Paulo","Praia Negra","-45.41","-23.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387647' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181861","NY01181861_01","Caraguatatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1182595","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","argyreiae","Mikania argyreiae","DC.","C. T. Oliveira","L. Riedel","s.n.","1821",NA,NA,"South America","Brazil","Rio de Janeiro","Mandiocca.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407133' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182595","NY01182595_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1181839","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","argyreiae","Mikania argyreiae","DC.","W. C. Holmes","C. H. Schultz","79",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387578' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181839","NY01181839_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182165","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","argyreiae","Mikania argyreiae","DC.","W. C. Holmes","L. P. de Queiroz","2707","1990","10","07","South America","Brazil","São Paulo","Reserva do Instituto Florestal. Subida para São José do Alpes.","-45.55","-22.72","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399271' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182165","NY01182165_01","Campos do Jordao","1200","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1182335","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","argyreiae","Mikania argyreiae","DC.","W. C. Holmes","E. P. Heringer","8279/473","1961","04","19","South America","Brazil","Distrito Federal","Hôrto do Guará.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401099' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182335","NY01182335_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1181843","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","argyreiae","Mikania argyreiae","DC.","W. C. Holmes","L. Riedel","893",NA,NA,NA,"South America","Brazil","Rio de Janeiro","In rupibus pr. Rio de Janeiro.","-43.448386","-22.913514","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387584' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181843","NY01181843_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1182166","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","argyreiae","Mikania argyreiae","DC.","W. C. Holmes","H. C. de Lima","3522","1989","04","18","South America","Brazil","Rio de Janeiro","Reserva Ecológica Municipal de Macaé de Cima, Estrada p/ Hotel Faz. Sao Joao. Km 6-8.","-42.05","-22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399272' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182166","NY01182166_01","Nova Friburgo","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","811753","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","argyreiae","Mikania argyreiae","DC.","D. D. Keck","P. K. H. Dusén","14598","1914","03","03","South America","Brazil","Paraná","Roca Nova.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=804233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811753","NY00811753_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1181867","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","argyreiae","Mikania argyreiae","DC.","W. C. Holmes","R. R. Guedes","829","1984","06","01","South America","Brazil","Rio de Janeiro","Distrito de Pedro do Rio, Vale das Videiras, Morro do Cuca.","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387655' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181867","NY01181867_01","Petrópolis","1280","1280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
