"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","county","imagecode","identifiedBy","yearIdentified","monthIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2020-09-23 10:40:04-03","E","E","265499","PreservedSpecimen","Plantae","Labiatae","Hyptis","delicatula","Hyptis delicatula","isotype","Harley, R.M., Renvoize, S.A., Erskine, C.M., Brighton C.A. & Pinheiro R.","16103","1974","02","07","E. Tropical South America","BR","Bahia","Serra do Sincorá, 9 km SW of Mucugé, on road from Cascavel.","-41.416667","-13.033333","-41.416667","-13.033333","950","950","herbarium specimen of unspecif","BGBASE:285114","<a href=http://data.rbge.org.uk/herb/E00265499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00265499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00527430","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","delicatulus","Cyanocephalus delicatulus",NA,"W. Ganev","1619","1992","12","05","South America","Brazil","Bahia","Três Morros, estrada Piata-Inúbia","-41.88","-13.08",NA,NA,"1400","1400","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=736398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527430","Magnoliophyta","Lamiales","(Harley) Harley & J.F.B.Pastore","Piata","NY00527430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00632236","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","delicatulus","Cyanocephalus delicatulus",NA,"R. M. Harley","H51853","1992","03","10","South America","Brazil","Bahia","Gerais da Inúbia, 22-26 km de Catolés","-41.7728","-13.1519",NA,NA,"1400","1400","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=736399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632236","Magnoliophyta","Lamiales","(Harley) Harley & J.F.B.Pastore","Piata","NY00632236_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00000633","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","delicatula","Hyptis delicatula","isotype","R. M. Harley","16103","1974","02","07","South America","Brazil","Bahia","Serra do Sincorá, 9 km SW of Mucugé, on road to Cascavel. Waste ground by Rio Paraguacú, with damp grassland and scattered woodland.","-41.42","-13.03",NA,NA,"950","950","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=736400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000633","Magnoliophyta","Lamiales","Harley",NA,"NY00000633_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:17:52-03","UFBA","ALCB","107409","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","delicatulus","Cyanocephalus delicatulus",NA,"Paula-Souza, J; Ferrucci, MS; Rando, JG; Tsuji, R","5362","2005","02","03","Southern America","Brasil","Bahia","Chapada Diamantina, ca. 24 km de Piatã, em direção a Inúbia","-41.887778","-13.079167","-41.887778","-13.079167","1350","1350",NA,NA,"flores alvas.; com campo arenoso.",NA,"Dicotyledon",NA,"(Harley) Harley & J.F.B. Pastore","Piatã",NA,"Antar, GM","2018","03",NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:32:24-03","NBC","NL-BOTANY","U 0002547","PreservedSpecimen","Plantae","Labiatae","Hyptis","delicatula","Hyptis delicatula","isotype","Harley RM; et al.",NA,"1974","02","07","Southern America","Brazil","Bahia","Estado de BahiaSerra do Sincorá9km. S.W. of Mucugé, on road from Cascavel.by Rio Paraguaçú","-41.416667","-13.033333","-41.416667","-13.033333",NA,NA,NA,NA,"Waste ground, with damp grassland and scattered woodland.This plant growing by edge of cerrado and junction with damp grassland at margin of shallow lake by river.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200002547 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0002547",NA,"Lamiales","Harley",NA,"NL-U0002547",NA,NA,NA,"Magnoliopsidae","488830 B",NA,NA,NA,NA
"7","2019-02-15 11:40:36-02","IPA","IPA","44140","S","Plantae","Lamiaceae","Hyptis","delicatula","Hyptis delicatula","ISOTYPE","Harley, R.M.; et al.; et al.","16103","1974","02","07","Southern America","Brasil","Bahia","Serra do Sincorá, 9 km SW of Mucugê, on road from Cascavel.","-41.416667","-13.033333","-41.416667","-13.033333",NA,NA,NA,NA,"This plant growing by edge of cerrado and junction with damp grassland at margin of shallow lake by river. Herb with sickly odour to ca. 25cm with decumbent to ascending stems spreading from stout wood branched tap root. Leaves pale g","IPA0044140","Plantae",NA,"Harley",NA,"IPA0044140",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:30:15-03","MBM","MBM","91345","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","delicatula","Hyptis delicatula",NA,"Hatschbach, G.; et al.; et al.","48021","1984","06","18","Southern America","Brazil","Bahia","Mucugê, rodovia para Palmeira","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,NA,NA,NA,"MBM091345",NA,NA,"Harley","Mucugê","MBM091345","Harley, R.M.",NA,NA,NA,NA,"52493","auto",NA,NA
"9","2020-12-21 16:30:15-03","MBM","MBM","295933","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","delicatula","Hyptis delicatula",NA,"Ganev, W.","1619","1992","12","05","Southern America","Brazil","Bahia","Três Morros","-41.7728004455566","-13.1519002914429",NA,NA,NA,NA,NA,NA,NA,"MBM295933",NA,NA,"Harley","Piatã","MBM295933","Harley, R.M.",NA,NA,NA,NA,"41184","auto",NA,NA
"10","2015-09-27 06:25:44-03","MNHN","RECOLNAT_MNHN_P","P00720989","PreservedSpecimen",NA,"Lamiaceae","Hyptis","delicatula","Hyptis delicatula","isotype","Harley, R.M.",NA,"1974","2","7",NA,"Brésil",NA,"S.W. of Mucugé, on road from Cascavel, waste ground by Rio Paraguaçu, with damp grassland and scattered woodland, this plant growing by edge of cerrado and junction with damp grassland at margin of shallow lake by river",NA,NA,NA,NA,"950",NA,"hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00720989' target='other'> <mi>dwc_moreinfo</mi></a>","P00720989",NA,NA,"Harley",NA,"P00720989_01","Harley",NA,NA,NA,NA,NA,NA,"16103",NA
