"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","stateProvince","relatedCatalogItem","phylum","identifiedBy","yearIdentified","recordNumber","county","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2020-02-08 09:59:21-03","NBC","NL-BOTANY","L.2365650","PreservedSpecimen","Plantae","Magnoliopsidae","Malvales","Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","Pedersen TM","1967","12","11","Southern America","Argentina","just north of the Descabezado bridge, on the road to Mburucuyá, Dep. Saladas, Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2365650 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2365650","NL-L2365650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:59:21-03","NBC","NL-BOTANY","L.2365651","PreservedSpecimen","Plantae","Magnoliopsidae","Malvales","Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","Pedersen TM","1967","02","25","Southern America","Argentina","Estancia ''Santa Maria'' Dep. Mburucuyá Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2365651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2365651","NL-L2365651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:59:21-03","NBC","NL-BOTANY","L.2365652","PreservedSpecimen","Plantae","Magnoliopsidae","Malvales","Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","Hassler E","1913","12","01","Southern America","Paraguay","Paraguaria Centraalis: Cordillera de Altos.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2365652 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2365652","NL-L2365652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:59:21-03","NBC","NL-BOTANY","L.3914879","PreservedSpecimen","Plantae","Magnoliopsidae","Malvales","Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","Pedersen TM","1984","11","14","Southern America","Argentina","RA-11km 1231 (between arroyo Monte Lindo et arroyo He-He-Grande), Dep. Pilcomayo, Prov. Formosa.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3914879 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3914879","NL-L3914879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:59:21-03","NBC","NL-BOTANY","U.1380738","PreservedSpecimen","Plantae","Magnoliopsidae","Malvales","Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","Krapovickas A; Cristóbal CL","1992","12","13","Southern America","Argentina","Argentina, Formosa. Depto. Pilcomayo, alrededores de Clorinda. Terraplen del Camino.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1380738 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1380738","NL-U1380738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:59:21-03","NBC","NL-BOTANY","U.1380808","PreservedSpecimen","Plantae","Magnoliopsidae","Malvales","Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","Simonis JE; Hahn WJ","1983","01","16","Southern America","Paraguay",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1380808 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1380808","NL-U1380808","Presidente Hayes","U 0141789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:59:21-03","NBC","NL-BOTANY","WAG.1076023","PreservedSpecimen","Plantae","Magnoliopsidae","Malvales","Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","Pedersen TM","1967","12","11","Southern America","Argentina","just north of the Descabezado bridge, on the road to Mburucuyá, Dep. Saladas, Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1076023 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1076023","NL-WAG1076023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:12:49-03","ESALQ","ESA","56837","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii",NA,"Paula-Souza, J.; Ferrucci, M.S.; Meza Torres, E.I.","2007","02","02",NA,"Argentina","Ruta 81, 25km NW da bifurcação para Clorinda na ruta 11. Chaco","Erva prostrada, flores amarelas","ESA056837",NA,"Formosa",NA,"Magnoliophyta","Krapovickas, A.","2007","8179.0","Formosa","65","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:12:49-03","ESALQ","ESA","93098","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","Zardini, E.M. ; Guerrero, L.","2003","01","23",NA,"Paraguai",NA,NA,"ESA093098",NA,"Presidente Hayes",NA,"Magnoliophyta",NA,NA,"59917.0","Pozo Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-19 10:24:10-03","CPAP","CPAP","12837","PreserverdSpecimen","Plantae",NA,NA,"Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","Pott, A.","1994","03","07",NA,"Brasil","Fazenda Currales (atual Santa Lucia); Reserva Indígena Kadiwéu; Sub-região do Nabileque; Pantanal","Erva subereta, com pequeno xilopódio. FLOR: amarela. Flor sem mancha cor de vinho na base da pétala. FRUTO: . INTERESSE: Medicinal. FREQUÊNCIA: Ocasional. AMBIENTE: Campo de aviação em área de chaco úmido. SUBSTRATO: argiloso (vertissolo solódico). RELEV",NA,NA,"MS",NA,NA,"A. Krapovickas","1994","6863","Porto Murtinho","90","90","04","-57.866667","-21.7","57°52' W","21°42' S",NA,NA,NA,NA,NA,NA,NA
"11","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0035384","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A. Gray) Lewt.","A. Schinini; G. Cuadrado","1996","2","29",NA,"Argentina","Dep. Pilcomayo. Ruta 86, alrededores de Laguna Blanca.","Decumbente o erecta, ramas 30-40 cm alt.",NA,NA,"Formosa",NA,"Magnoliophyta","A. Krapovickas",NA,"30535",NA,NA,NA,NA,"-58.245148","-25.12965",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0035383","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A. Gray) Lewt.","A. Krapovickas; C. L. Cristóbal","1996","6","3",NA,"Argentina","Dep. Tapenaga. Ruta 89, 2 km SW de Cote-Lai.","Bosque abierto de algarrobo. Corola toda amarilla.",NA,NA,"Chaco",NA,"Magnoliophyta","A. Krapovickas",NA,"46558",NA,NA,NA,NA,"-59.572998","-27.529425",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-07 11:45:48-03","UFMS","CGMS","41141","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","A. Pott; V.J. Pott","2005","06","24",NA,"Brasil","Fazenda Santo Antônio, próximo à divisa da Fazenda Porto Conceição, 36 Km NNW de Porto Murtinho, Pantanal.",NA,"CGMS1071129",NA,"Mato Grosso do Sul",NA,NA,"A. Pott","2005","12882","Porto Murtinho",NA,NA,NA,"-57.8877777","-21.5105556","-57,8877777","-21,5105556",NA,NA,NA,NA,NA,NA,NA
"14","2021-04-07 11:45:48-03","UFMS","CGMS","29700","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","A.K.D. Salomão; F.M. Alves","2008","11","20",NA,"Brasil","Fazenda flores.",NA,"CGMS1059085",NA,"Mato Grosso do Sul",NA,NA,"F.M. Alves",NA,"399","Porto Murtinho",NA,NA,NA,"-57.8975","-21.7175","-57,8975","-21,7175",NA,NA,NA,NA,NA,NA,NA
"15","2021-04-07 11:45:48-03","UFMS","CGMS","44477","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","A. Pott","1994","03","07",NA,"Brasil","Fazenda Corrales (atual Santa Lúcia), reserva indígena Kadiweu, Nabileque, Pantanal.","Flor amarela. Doação CPAP. Flor sem mancha, cor de vinho na base da pétala. Habitat: Campo de aviação em área de chaco úmido. Substrato argiloso (vertissolo solodico). Relevo plano. Frequência relativa ocasional. Habito: Erva suber","CGMS1074443",NA,"Mato Grosso do Sul",NA,NA,"A. Krapovickas",NA,"6863","Porto Murtinho","90","90",NA,"-57.8666667","-21.7","-57,8666667","-21,7",NA,NA,NA,NA,NA,NA,NA
"16","2021-04-07 11:45:48-03","UFMS","CGMS","44476","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","A. Pott","1994","03","05",NA,"Brasil","Hotel dos Camalotes.","Flor amarela. Doação CPAP. Habitat: Floresta raleada de Chaco úmido. Solo argiloso (Gley pouco humico eutrófico). Habito: Erva subereta ou decumbente. Pequeno xilopódio. Um multicaule.","CGMS1074442",NA,"Mato Grosso do Sul",NA,NA,NA,NA,"6835","Porto Murtinho","90","90",NA,"-57.8666667","-21.7","-57,8666667","-21,7",NA,NA,NA,NA,NA,NA,NA
"17","2021-04-07 11:45:48-03","UFMS","CGMS","50675","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","S.S. Moura; C.G. de Souza","2014","03","10",NA,"Brasil","Bairro Salim Cafurê.","Flores amarelas. Habitat: Chaco. Solo arenoso-argiloso. Relevo plano. Ampla ocorrência. Habito: Erva. 0,20 m de altura.","CGMS1080671",NA,"Mato Grosso do Sul",NA,NA,"A. Pott","2014","179","Porto Murtinho",NA,NA,"05","-57.8827778","-21.715","-57,8827778","-21,715","10",NA,NA,NA,NA,NA,NA
"18","2021-04-07 11:45:48-03","UFMS","CGMS","27956","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Cienfuegosia","drummondii","Cienfuegosia drummondii","(A.Gray) Lewton","E.P. Seleme; Godoy","2009","09","12",NA,"Brasil",NA,"Fruto preto Habitat: Chaco. Habito: Subarbusto. 1m de altura","CGMS1057400",NA,"Mato Grosso do Sul",NA,NA,"E.P. Seleme","2009","451","Porto Murtinho",NA,NA,"09","-57.8824996948242","-21.6989002227783",NA,NA,"12","185577","auto",NA,NA,NA,NA
