"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber","verbatimLongitude","verbatimLatitude","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01345864","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","involucrata","Mimosa involucrata","Benth.","V. D. Pont","714","South America","Brazil","Rio Grande do Sul","Taimbezinho","-50.63711","-28.650038","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1618545' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345864","NY01345864_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442550","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","involucrata","Mimosa involucrata","Benth.","B. Rambo","49411","South America","Brazil","Rio Grande do Sul","Taimbé, p. Sao Francisco de Paula","-50.5833","-29.4483","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442550","NY00442550_01","R. C. Barneby","1950","12","18","Sao Francisco de Paula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:10:18-03","NBC","NL-BOTANY","L.2041754","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","involucrata","Mimosa involucrata","Benth.","Sellow F",NA,"Southern America","Brazil",NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2041754 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2041754","NL-L2041754",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:10:00-03","ESALQ","ESA","113849","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","involucrata","Mimosa involucrata",NA,"Savassi-Coutinho, A.P.","1224.0",NA,"Brasil","Rio Grande do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,"ESA113849","ESA113849","Savassi-Coutinho, A.P.","2007","05","23","Cambará do Sul",NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:10:00-03","ESALQ","ESA","114177","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","involucrata","Mimosa involucrata",NA,"Lins, D.",NA,NA,"Brasil","Rio Grande do Sul",NA,"-50.4166984558105","-28.6678009033203",NA,NA,"ESA114177","ESA114177","Savassi-Coutinho, A.P.","1983","10","30","Bom Jesus",NA,"55856","auto","2010","09","25",NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:29:57-03","MN","R","3331","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","involucrata","Mimosa involucrata","Benth.","Ule, E.H.G.","s.n.",NA,"Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"1891","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:29:57-03","MN","R","64058","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","involucrata","Mimosa involucrata","Benth.","Freire Allemão, F.",NA,NA,"Brasil","Ceará",NA,NA,NA,NA,NA,"R000064058","R000064058_001","Fortunato, R.",NA,NA,NA,NA,NA,NA,NA,"1987","02","24",NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:29:57-03","MN","R","48984","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","involucrata","Mimosa involucrata","Benth.","Ruith, R.","2038",NA,"Brasil","Santa Catarina",NA,"-49.4858016967773","-28.934700012207",NA,NA,NA,NA,"Burkart, A.","1946","02","14","Araranguá",NA,"19353","auto","1946",NA,NA,"900","900",NA,NA,NA,NA,NA
"9","2019-08-27 13:29:50-03","IAP","PACA-AGP","50935","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Mimosaceae","Mimosa","involucrata","Mimosa involucrata","Benth.","Sehnem, A.","5176",NA,"Brasil","RS","Serra do Fachinal","-50.5835990905762","-29.4480991363525",NA,"EM PERIGO&nf;Cf. por Savassi-Coutinho em 2010. Habitat: in rupestribus prostrata Fenofase: fruto semievoluto","PACA050935",NA,"Emrich-Rambo","1950","12","18","São Francisco de Paula","Magnoliatae","76715","auto","1954","08","13",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:29:50-03","IAP","PACA-AGP","86171","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Mimosaceae","Mimosa","involucrata","Mimosa involucrata","Benth.","Sehnem, A.","7666",NA,"Brasil","RS","Taimbé.","-50.5835990905762","-29.4480991363525",NA,"Cf. por Savassi-Coutinho em 2010. Habitat: in campo","PACA086171",NA,"B. Rambo","1960","04","03","São Francisco de Paula","Magnoliatae","76715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
