"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","locality","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","533581","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","saurocephala","Acianthera saurocephala","(Lodd.) Pridgeon & M.W.Chase","P. K. H. Dusén","17693","1912","02","09","South America","Brazil","Paraná","Jaguariaíva","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533581","NY00533581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","533582","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","saurocephala","Acianthera saurocephala","(Lodd.) Pridgeon & M.W.Chase","P. K. H. Dusén","11549","1911","02","28","South America","Brazil","Paraná","Lapa","-49.7156","-25.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533582","NY00533582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","533584","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","saurocephala","Acianthera saurocephala","(Lodd.) Pridgeon & M.W.Chase","P. K. H. Dusén","7625","1909","12","10","South America","Brazil","Paraná","Lapa","-49.7156","-25.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533584","NY00533584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","533583","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","saurocephala","Acianthera saurocephala","(Lodd.) Pridgeon & M.W.Chase","P. K. H. Dusén","11549","1911","02","28","South America","Brazil","Paraná","Lapa","-49.7156","-25.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533583","NY00533583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","533580","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","saurocephala","Acianthera saurocephala","(Lodd.) Pridgeon & M.W.Chase","E. Richter","s.n.","1960","06","30","South America","Brazil","Rio Grande do Sul","Canela","-50.8156","-29.3658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533580","NY00533580_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","533585","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","saurocephala","Acianthera saurocephala","(Lodd.) Pridgeon & M.W.Chase","J. C. Lindeman","5050","1967","03","14","South America","Brazil","Paraná","Guarapuava","-52.0758963","-25.9309469","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533585","NY00533585_01","800","1000","Fazenda Reserva, ca. 85 km SW of Guarapuava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:46-03","UFRJ","RFA","36923","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","saurocephala","Acianthera saurocephala","(Lodd.) Pridgeon & M.W.Chase","M.O.O. Pellegrini","69","2010","11","09",NA,"Brasil","Rio de Janeiro","Petrópolis","-43.1786003112793","-22.5049991607666",NA,"Erva holoepífita semi-umbrófila. Caulóide linear. Folhas coriáceas. Inflorescência ereta à semi-pêndula, terminal protegida por uma bráctea verde-amarela. Flores com odor desagradável, esverdeadas, sépalas ventrais formando um sinssépa","RFA31530",NA,NA,NA,"Duchas, 1° Distrito/Petrópolis","M.O.O. Pellegrini","2010","11","09","36524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:31-03","PUCPR","HUCP","21967","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Acianthera","saurocephala","Acianthera saurocephala","(Lodd.) Pridgeon & M.W. Chase.","Ariati, V; Silva, M","465","2010","11","03",NA,"Brasil","Paraná","São Mateus de Sul",NA,NA,NA,NA,"HUCP00002559","HUCP00002559",NA,NA,NA,"Kersten, RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:31-03","PUCPR","HUCP","18033","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Acianthera","saurocephala","Acianthera saurocephala","(Lodd.) Pridgeon & M.W. Chase.","Selusniaki, M","1015","2006","05",NA,NA,"Brasil","Paraná","Balsa Nova","-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00003269","HUCP00003269",NA,NA,NA,"Kersten, RA",NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:26:31-03","PUCPR","HUCP","22409","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Acianthera","saurocephala","Acianthera saurocephala","(Lodd.) Pridgeon & M.W. Chase.","Kersten, RA","1591","2013","03","21",NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00002581","HUCP00002581",NA,NA,NA,"Kersten, RA",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-04 15:26:31-03","PUCPR","HUCP","20864","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Acianthera","saurocephala","Acianthera saurocephala","(Lodd.) Pridgeon & M.W. Chase.","Kersten, RA","1380","2009","10","10",NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00003275","HUCP00003275",NA,NA,NA,"Kersten, RA",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
