"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","phylum","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-01 11:49:38-03","UFPE","UFP","75369","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","thomassi","Myrcia thomassi","B.S. Amorim ex A.R. Lourenço","Amorim, B","2013","11","holotype","Amorim, BS; Alves, M; Thomas, WW; Barbosa, MRV; Araújo, D; Lourenço, AR","1024a","2011","08","26","Brasil","Bahia","Wenceslau Guimarães","-39.614444","-13.701389","-39.614444","-13.701389","Interior de mata, Floresta Atlântica.","UFP075369","UFP075369_01",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 11:49:38-03","UFPE","UFP","75370","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","thomassi","Myrcia thomassi","B.S. Amorim ex A.R. Lourenço","Amorim, BS","2013","11",NA,"Amorim, BS; Alves, M; Thomas, WW; Barbosa, MRV; Araújo, D; Lourenço, AR","1020","2011","07","25","Brasil","Bahia","Itamari","-39.626944","-13.713889","-39.626944","-13.713889","Arvoreta 8-10m alt.; inflorescência jovem, flores brancas, estames amarelos.","UFP075370",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 11:49:38-03","UFPE","UFP","75371","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","thomassi","Myrcia thomassi","B.S. Amorim ex A.R. Lourenço","Amorim, BS","2013","11",NA,"Amorim, BS; Chagas, MA","1667","2012","08","27","Brasil","Bahia","Itamari","-39.6836013793945","-13.7781000137329",NA,NA,"Arvoreta 5m alt.; frutos verdes.","UFP075371",NA,"14620","auto",NA,NA,NA,NA,NA
"4","2020-07-23 12:16:26-03","CEPLAC","CEPEC","154112","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","thomasii","Myrcia thomasii",NA,"B.S. Amorim",NA,NA,NA,"B.S. Amorim","1020",NA,NA,NA,"Brasil","Bahia","itamarí","-39.6836013793945","-13.7781000137329",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"14620","auto",NA,NA,NA,NA,NA
"5","2019-11-01 15:06:33-03","UnB","UB","216028","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","thomasii","Myrcia thomasii","B.S.Amorim & A.R.Lourenço","Lucas, EJ","2014","10",NA,"Faria, JEQ; Vasconcelos, TNC; Lucas, EJ","4203","2014","10","28","Brasil","Bahia","Ibirapitanga","-39.463333","-13.913889","-39.463333","-13.913889","Foto, silica, alcool; Arvoreta ca. 4 m de altura. Botões verdes.; Floresta ombrófila densa submontana peturbada.",NA,NA,NA,NA,"Dicotyledoneae","Southern America","Estrada entrando à esquerda a partir da BR101 ca. de 10 km de Gandu no sentido sul.","581","581"
