"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","00895482","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthum","Paspalum erianthum","Nees ex Trin.","A. F. M. Glaziou","22492","1894","08","09","South America","Brazil","Goiás","Macacos, à Chico Costa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895482","NY00895482_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00863356","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthum","Paspalum erianthum","Nees ex Trin.","A. F. M. Glaziou","22589","1896",NA,NA,"South America","Brazil","Goiás","Brazil: Chiefly Province of Goyaz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863356","NY00863356_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00863354","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthum","Paspalum erianthum","Nees ex Trin.","J. F. Ramos","R. & S.178a","1967","10",NA,"South America","Brazil","Mato Grosso","Collected near the base camp of the expedition (c. 270 km. N of Xavantina)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863354","NY00863354_01","-51.87","-12.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00863376","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthum","Paspalum erianthum","Nees ex Trin.","G. G. Hatschbach","59864","1994","02","06","South America","Brazil","Goiás","Rod. BR-050, córrego Capao D'Antas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863376",NA,"-47.9464","-18.1658","J. F. M. Valls","Catalão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00863377","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthum","Paspalum erianthum","Nees ex Trin.","F. H. F. Oldenburger","1963","1975","11","28","South America","Brazil","Distrito Federal","Brasília","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863377","NY00863377_01","-47.9294","-15.7797","S. A. Renvoize","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00863350","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthum","Paspalum erianthum","Nees ex Trin.","H. S. Irwin","10891","1965","12","01","South America","Brazil","Goiás","Serra dos Pirineus, ca. 9 km S. of Corumbá de Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863350","NY00863350_01","-48.8086","-16.00493","G. Davidse","Corumbá de Goiás","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 14:56:00-03","NY","NYBG","761883","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthum","Paspalum erianthum",NA,"T. J. Killeen","1139","1985","08","27","South America","Bolivia","Santa Cruz","Est. San Josecito, 3 km N of Concepción","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=642953' target='other'> <mi>dwc_moreinfo</mi></a>","NY00761883",NA,"-62.08","-16.05","T. J. Killeen","Ñuflo de Chávez","490","490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00863379","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthum","Paspalum erianthum","Nees ex Trin.","E. P. Heringer","11628","1968","02","28","South America","Brazil","Distrito Federal","Estaçao Experimental da UnB","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863379","NY00863379_01","-47.9294","-15.7797","T. de S. Filgueiras","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01067300","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthum","Paspalum erianthum","Nees ex Trin.","H. S. Irwin","9858","1965","11","03","South America","Brazil","Goiás","Serra dos Cristais. 3 km W. of Cristalina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206105' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067300","NY01067300_01","-47.62814","-16.75","T. de S. Filgueiras","Cristalina","1175","1175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","761879","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthum","Paspalum erianthum","Nees ex Trin.","M. A. Chase","10605","1930","01","16","South America","Brazil","São Paulo","Casa Branca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=642954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00761879","NY00761879_01",NA,NA,NA,NA,"700","725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
