"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","barcode","phylum","identifiedBy","yearIdentified","monthIdentified","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified"
"1","2021-01-14 15:26:44-03","MN","R","106749","PreservedSpecimen","Plantae","Cactaceae","Schlumbergera","lutea","subsp.bradei","Schlumbergera lutea subsp.bradei","(Porto & A.Cast.) Calvente & Zappi","Castellanos, A.","22357","1959","02","09","Brasil","São Paulo","R010030405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:27:13-03","UNICAMP","UEC","104902","S","Plantae","Cactaceae","Hatiora","epiphylloides",NA,"Hatiora epiphylloides","(Porto) Werderm. & P.V.Heath","Freitas, L; Ravetta, AL","453","1998","11","06","Brazil","São Paulo","UEC041373","Magnoliopsida","Zappi, DC","1998","12","São José do Barreiro","Atrás do Posto de Fiscalização do IBAMA.","-44.5699996948242","-22.6399993896484","30784","Erva. Ca. 40 cm de altura. Flores corola amarelo vivo.; Floresta Ombrófila Densa Altomontana.","UEC041373","auto",NA,NA,NA,NA,NA
"3","2020-06-15 15:29:44-03","UNESP-RC","HRCB","70707","PreservedSpecimen","Plantae","Cactaceae","Hatiora","epiphylloides",NA,"Hatiora epiphylloides","(Porto & Werderm.) Buxb.","Taxonomia de campo 2017/grupo verde",NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,"Marcusso, G. M.",NA,NA,"Cunha","Parque Estadual da Serra do Mar, Núcleo Cunha",NA,"-23.233333",NA,NA,NA,NA,"45º01O","23°14'S",NA,NA,NA
"4","2019-11-13 11:17:20-03","USP","SPF","190107","PreservedSpecimen","Plantae","Cactaceae","Hatiora","epiphylloides",NA,"Hatiora epiphylloides","(Porto & Werderm.) P.V.Heath","Calvente, AM","363","2007","10","13","Brasil","São Paulo","SPF00190107",NA,"Calvente, AM","2008",NA,"São José do Barreiro",NA,"-44.637944","-22.705833",NA,NA,NA,NA,"-44.637944","-22.705833","1692","1692",NA
"5","2019-11-21 10:03:01-03","IBt","SP","55486","S","Plantae","Cactaceae","Hatiora","epiphylloides",NA,"Hatiora epiphylloides","(Porto & Werderm.) P.V.Heath","Handro, O","644","1956","11","07","Brasil","Rio de Janeiro","SP023348",NA,"Zappi, DC","1989","09",NA,"Margem do Rio Funil., proximidades do limite com Estado de São Paulo",NA,NA,NA,NA,"SP023348",NA,NA,NA,NA,NA,"14"
"6","2019-11-21 10:03:01-03","IBt","SP","55487","S","Plantae","Cactaceae","Hatiora","epiphylloides",NA,"Hatiora epiphylloides","(Porto & Werderm.) P.V.Heath","Handro, O","645","1956","11","07","Brasil","Rio de Janeiro","SP023347",NA,"Catharino, ELM","1991","04",NA,"Margem do rio Funil, proximo do limite com o Estado de São Paulo",NA,NA,NA,NA,"SP023347",NA,NA,NA,NA,NA,"20"
"7","2020-12-23 08:47:57-03","IBt","SP","412327","S","Plantae","Cactaceae","Hatiora","epiphylloides",NA,"Hatiora epiphylloides","(Porto & Werderm.) P.V.Heath","Catharino, ELM","2814","2008","03","12","Brasil","São Paulo",NA,NA,NA,NA,NA,"São José do Barreiro","Serra da Bocaina","-44.5699996948242","-22.6399993896484","30784",NA,NA,"auto",NA,NA,NA,NA,NA
