"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","eventTime","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","274194","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Trichocline","linearifolia","Trichocline linearifolia","Malme","syntype","P. K. H. Dusén","7714","1909","02","01","South America","Brazil","Paraná","Tamanduá","-49.769797","-25.530491","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274194","NY00274194_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788717","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Trichocline","linearifolia","Trichocline linearifolia","Malme",NA,"A. Gehrt","31739","1934","04","26","South America","Brazil","São Paulo","Alto do Sacoman.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=213801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788717","NY00788717_01","E. Pasini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-08 11:07:33-03","UNESP-IBB","BOTU","12848","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","linearifolia","Trichocline linearifolia","Malme",NA,"Amaral Jr., A.","15","1985","05","17",NA,"Brasil","São Paulo",NA,"-45.5","-22.75",NA,"Inflorescência amarela, herbácea","BOTU012848",NA,"Monge, M.","2011","10","Campos do Jordão","45°30'w","22°45's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:51:54-03","NBC","NL-BOTANY","L.1584944","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Trichocline","linearifolia","Trichocline linearifolia","Malme",NA,"Hatschbach GG",NA,"1962","03","02","Southern America","Brazil","Paraná","Brasil, Paraná, Mun. Palmeira.",NA,NA,NA,"Campo limpo.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1584944 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1584944","NL-L1584944",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:51:54-03","NBC","NL-BOTANY","L.1584945","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Trichocline","linearifolia","Trichocline linearifolia","Malme",NA,"Hatschbach GG",NA,"1968","01","24","Southern America","Brazil",NA,"Est. Parana. Mun Colombo. Rio Canguiri.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1584945 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1584945","NL-L1584945",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:51:54-03","NBC","NL-BOTANY","L.1584946","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Trichocline","linearifolia","Trichocline linearifolia","Malme",NA,"Hatschbach GG",NA,"1961","06","05","Southern America","Brazil",NA,"Est. Parana. Mun. Ponta Grossa. Estr. Ponta Grossa a Castro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1584946 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1584946","NL-L1584946",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:51:54-03","NBC","NL-BOTANY","L.1584947","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Trichocline","linearifolia","Trichocline linearifolia","Malme",NA,"Hatschbach GG",NA,"1959","01","30","Southern America","Brazil",NA,"Est. Parana. Mun Tibagi. Estr. Castro - Tibagi, Fda. Palmite*.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1584947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1584947","NL-L1584947",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:51:54-03","NBC","NL-BOTANY","U.1147785","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Trichocline","linearifolia","Trichocline linearifolia","Malme",NA,"Hatschbach GG",NA,"1962","03","02","Southern America","Brazil","Paraná","Brasil, Paraná, Mun. Palmeira.",NA,NA,NA,"Campo limpo.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1147785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1147785","NL-U1147785",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0245672",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:28:01-03","IAP","PACA-AGP","54001","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","linearifolia","Trichocline linearifolia","Malme",NA,"Rambo, B.",NA,"1953","02","20",NA,"Brasil","RS","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,"SEM MATERIAL Habitat: in humidis graminosis Fenofase: flor","PACA054001",NA,"Emrich-Rambo","1954","07","São Francisco de Paula",NA,NA,"Magnoliatae",NA,"09","76715","auto",NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:28:01-03","IAP","PACA-AGP","37679","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","linearifolia","Trichocline linearifolia","Malme",NA,"Hatschbach, G.",NA,"1948","04","14",NA,"Brasil","PR","Rio das Pombas",NA,NA,NA,"Habitat: in campestribus graminosis Fenofase: flor","PACA037679",NA,"C. A. Mondin","1994","02","Palmeiras",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
