"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:43:27-03","E","E","190953","PreservedSpecimen","Plantae","Solanaceae","Cestrum","subpulverulentum","Cestrum subpulverulentum","isotype","Martius","243","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:214392","<a href=http://data.rbge.org.uk/herb/E00190953 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00190953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","138662","PreservedSpecimen","Plantae","Solanaceae","Cestrum","subpulverulentum","Cestrum subpulverulentum","isotype","Martii Herbar. Florae Brasil.","243","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=423548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138662","Magnoliophyta","Solanales","Mart.","Rio Grande do Sul","Quina da terra; prov. Sebastionopolit","NY00138662_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","911171","PreservedSpecimen","Plantae","Solanaceae","Cestrum","subpulverulentum","Cestrum subpulverulentum",NA,"Y. E. J. Mexia","5462","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911171","Magnoliophyta","Solanales","Mart.","Minas Gerais","Viçosa. Fazenda de José Alexandre","NY00911171_01","M. H. Nee","1930","12","29","Viçosa","-42.8817","-20.7542","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","822641","PreservedSpecimen","Plantae","Solanaceae","Cestrum","subpulverulentum","Cestrum subpulverulentum",NA,"A. P. Duarte","5247","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822641","Magnoliophyta","Solanales","Mart.","Rio de Janeiro","Guanabara. Sumaré.","NY00822641_01","M. Vignoli-Silva","1960","06",NA,NA,"-43.226672","-22.945054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:35:13-03","NBC","NL-BOTANY","L 0281314","PreservedSpecimen","Plantae","Solanaceae","Cestrum","subpulverulentum","Cestrum subpulverulentum","isotype","Martius CFP von",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200281314 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0281314",NA,"Solanales","Mart.",NA,NA,"NL-L0281314",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:33:40-03","MN","R","11993","PreservedSpecimen","Plantae","Solanaceae","Cestrum","subpulverulentum","Cestrum subpulverulentum",NA,"Glaziou, A.F.M.","203",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000011993",NA,NA,"Mart.","Rio de Janeiro",NA,"R000011993_001",NA,"1861","10","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:19:29-03","UFV","VIC","000775","PreservedSpecimen","Plantae","Solanaceae","Cestrum","subpulverulentum","Cestrum subpulverulentum",NA,"Mexia, Y.","4679a",NA,"Brasil",NA,NA,NA,"VIC000775",NA,NA,"Mart.","Minas Gerais",NA,"VIC000775",NA,NA,NA,NA,"Viçosa","-42.8819007873535","-20.7539005279541",NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:19:29-03","UFV","VIC","48529","PreservedSpecimen","Plantae","Solanaceae","Cestrum","subpulverulentum","Cestrum subpulverulentum",NA,"Filardi, F.L.R.; et al.","120",NA,"Brasil",NA,NA,"Flores; Árvore; Mata Ciliar","VIC048529",NA,NA,"Mart.","Minas Gerais","Próximo sub-estação energia","VIC048529",NA,"2002","09","25","Volta Grande","-42.5388984680176","-21.7705993652344",NA,NA,NA,"11543","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-03-13 19:34:58-03","UFJF","CESJ","9539","PreservedSpecimen","Plantae","Solanaceae","Cestrum","subpulverulentum","Cestrum subpulverulentum",NA,"L. Krieger; U.C. Câmara","CESJ9539","América do Sul","Brasil",NA,NA,"Na mata, arbusto. Frutos negros.","CESJ009539","Angiosperma",NA,"Mart.","Rio de Janeiro","Vale do Bonsucesso, Estrada do Contorno",NA,NA,"1970","10","31","Petrópolis","-43.1786003112793","-22.5049991607666",NA,NA,NA,"36524","auto","2012",NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-10-14 15:57:08-03","BS","M","M-0172001","S","Plantae","Solanaceae","Cestrum","subpulverulentum","Cestrum subpulverulentum","ISOTYPE","Martius, C.F.P. von",NA,NA,"Brasil",NA,NA,NA,"M0172001","Magnoliophyta","Solanales","Mart.",NA,"Lectam in Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
