"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","recordNumber","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:29-03","UNESC","CRI","8689","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium","Poepp.","Robson dos Santos","2005","07","13","Joana Casnok","2005","07","13","Brasil","Santa Catarina","Criciúma","APP do Loteamento Fábio Silva.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI002431","CRI002431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:29-03","UNESC","CRI","15310","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium","Poepp.","Aline Votri Guislon","2020","09","15","Aline V. Guislon; Isadora Zapellini & José A. T Pires",NA,NA,NA,"Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. Morro da Bananeira, Bairro Dagostim.","-49.373611","-28.751944","49º22'25''W","28º45'7''S","98","98","CRI014727",NA,"Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","10842","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium","Poepp.",NA,NA,NA,NA,"Zenaide P. Topanotti",NA,NA,NA,"Brasil","Santa Catarina","Criciúma","Morro Estevão.","-49.373333","-28.678056","49º22'24''W","28º40'41''S","58","58","CRI002430","CRI002430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:29-03","UNESC","CRI","2857","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium","Poepp.","L. B. Smith",NA,NA,NA,"L. B. Smith; R. Reitz","1964","10","19","Brasil","Santa Catarina","Itapiranga","Santo Antônio.","-53.7125","-27.17","53º42'45''W","27º10'12''S","190","190","CRI002429","CRI002429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:14-03","UNESC","CRI","7681","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium","Poepp.","Vanilde Citadini-Zanette","2008","04","20","Jean Gabriel Cemin","2007","10","31","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S","9","9","CRI013784","CRI013784","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:14-03","UNESC","CRI","2014","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium","Poepp.","L. B. Smith",NA,NA,NA,"Reitz; Klein","1957","09","19","Brasil","Santa Catarina","Lauro Muller","Vargem Brande.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","350","350","CRI002425","CRI002425","Habitat: mata Habito: árvore","7237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:14-03","UNESC","CRI","6950","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium","Poepp.","L. B. Smith",NA,NA,NA,"Reitz; Klein","1958","09","19","Brasil","Santa Catarina","Lauro Muller","Vargem Grande.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","350","350","CRI002426","CRI002426","Habitat: mata Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:14-03","UNESC","CRI","6779","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium","Poepp.","L. B. Smith",NA,NA,NA,"Reitz; Klein","1958","09","19","Brasil","Santa Catarina","Lauro Muller",NA,"-49.396944","-28.393333","49º23'49''W","28º23'36''S","350","350","CRI002427","CRI002427","Habitat: mata Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:29-03","UNESC","CRI","10835","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium","Poepp.",NA,NA,NA,NA,"Zenaide P. Topanotti",NA,NA,NA,"Brasil","Santa Catarina","Criciúma","Morro Estevão.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI002428","CRI002428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:14-03","UNESC","CRI","12505","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium","Poepp.","Aline Votri Guislon & Peterson T. Padilha","2017","07","27","Alexandre Medeiros","2017","05","30","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI010712",NA,"Coleta 396. Habito: Arbóreo",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:39:17-03","E","E","280526","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium",NA,NA,NA,NA,NA,"Howorth, R.","1999","06","23","VE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00280526",NA,"<a href=http://data.rbge.org.uk/herb/E00280526 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","158",NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:288894",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","273297","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","dusenii","Tetrorchidium dusenii","Pax & K.Hoffm.",NA,NA,NA,NA,"P. K. H. Dusén","1915",NA,NA,"Brazil","Paraná",NA,"Tacarchy",NA,NA,NA,NA,NA,NA,"NY00273297","NY00273297_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551466' target='other'> <mi>dwc_moreinfo</mi></a>","17230",NA,NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales","syntype",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","542084","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","dusenii","Tetrorchidium dusenii","Pax & K.Hoffm.","H. N. Moldenke",NA,NA,NA,"J. E. Leite","1941","10",NA,"Brazil","Rio Grande do Sul","Sao Leopoldo","Vicinity of San Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"NY00542084","NY00542084_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551465' target='other'> <mi>dwc_moreinfo</mi></a>","562",NA,NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1187865","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium","Poepp. & Endl.","D. C. Daly; F. A. Obermüller",NA,NA,NA,"D. C. Daly","2000","12","07","Brazil","Acre","Marechal Thaumaturgo","Rio Juruá, left bank, Foz do Tejo.","-72.7161","-8.9803",NA,NA,NA,NA,"NY01187865","NY01187865_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589188' target='other'> <mi>dwc_moreinfo</mi></a>","10451",NA,NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","542088","PreservedSpecimen","Plantae","Euphorbiaceae","Tetrorchidium","rubrivenium","Tetrorchidium rubrivenium","Poepp. & Endl.","J. Mattos",NA,NA,NA,"B. Braga","1969","01","02","Brazil","São Paulo","Sao Paulo","Serra da Cantareira. Pinheirinjo","-46.63","-23.5403",NA,NA,NA,NA,"NY00542088","NY00542088_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246101' target='other'> <mi>dwc_moreinfo</mi></a>","2",NA,NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA
