"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","yearIdentified","monthIdentified","dayIdentified","sex","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount"
"1","2020-09-23 10:44:28-03","E","E","198656","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","fasciculata","Callisthene fasciculata","Proença, C.","2034","1998","09","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:208012","<a href=http://data.rbge.org.uk/herb/E00198656 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00198656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:28-03","E","E","268774","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","fasciculata","Callisthene fasciculata","C.A. Pendry","661","1999","03","26","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:108121","<a href=http://data.rbge.org.uk/herb/E00268774 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00268774","Santa Cruz","Nuflo de Chavez","c. 2 km North of Concepcion.","-62.015278","-16.15","-62.015278","-16.150000","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:44:28-03","E","E","196389","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","fasciculata","Callisthene fasciculata","Proença, C.","2034","1998","09","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:207756","<a href=http://data.rbge.org.uk/herb/E00196389 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:44:28-03","E","E","84866","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","fasciculata","Callisthene fasciculata","França. F., Melo, E. & Proença, C.","2276","1997","05","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:94102","<a href=http://data.rbge.org.uk/herb/E00084866 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:44:28-03","E","E","202803","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","fasciculata","Callisthene fasciculata","Simon, M.F.; Lima, J.C.M.; Eiten, G.; de Carvalho, A.M.","180","1999","02","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217243","<a href=http://data.rbge.org.uk/herb/E00202803 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00922860","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","fasciculata","Callisthene fasciculata","H. S. Irwin","17350","1966","06","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922860","Mato Grosso",NA,"Serra Azul, ca. 85 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.23","-15.4",NA,NA,"550","550","Magnoliophyta","Myrtales","Mart.","L. Marcano-Berti","NY00922860_01 NY00922860_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00922867","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","fasciculata","Callisthene fasciculata","W. R. Anderson","9310","1973","04","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922867","Minas Gerais",NA,"Rio Pandeiros, ca. 52 km by road W of Janúaria near road to Serra das Araras","-44.83","-15.45",NA,NA,"520","520","Magnoliophyta","Myrtales","Mart.","H. Balslev","NY00922867_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00923052","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","fasciculata","Callisthene fasciculata","Y. E. J. Mexia","5586","1931","04","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923052","Minas Gerais","Corinto","Fazenda do Diamante; Corriga Diamante.","-44.4564","-18.3808",NA,NA,"590","590","Magnoliophyta","Myrtales","Mart.","P. C. Standley","NY00923052_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00922903","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","fasciculata","Callisthene fasciculata","B. M. T. Walter","3910","1997","10","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922903","Goiás","Barro Alto","Reservatório em formação do AHE Serra da Mesa do Rio Maranhão prõximo as Rio das Almas.","-48.9922","-14.5939",NA,NA,"430","430","Magnoliophyta","Myrtales","Mart.","B. M. T. Walter","NY00922903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00922883","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","fasciculata","Callisthene fasciculata","G. E. Schatz","767","1983","02","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922883","Maranhão","Presidente Dutra","2km N of Presidente Dutra on Fazenda Sao Paulo","-44.47","-5.25",NA,NA,NA,NA,"Magnoliophyta","Myrtales","Mart.","M. L. Kawasaki","NY00922883_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1018871","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","fasciculata","Callisthene fasciculata","S. P. Cordovil-Silva","129","1992","10","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262985' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018871","Goiás","Uruaçu","Fazenda Aranha a 8 km do corrego Castelao.","-49.1406","-14.5247",NA,NA,NA,NA,"Magnoliophyta","Myrtales","Mart.","G. H. Shimizu","NY01018871_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00922912","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","fasciculata","Callisthene fasciculata","B. A. S. Pereira","2788","1995","06","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922912","Tocantins","Novo Alegre","Km 27 da estrada Campos Belos/Novo Alegre.","-46.5","-12.67",NA,NA,NA,NA,"Magnoliophyta","Myrtales","Mart.","A. C. Smith","NY00922912_01 NY00922912_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
