"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","occurrenceRemarks","locality","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","infraspecificEpithet","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:34:13-03","UNESC","CRI","1004","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","L. A. Mentz","1992","06","26","E. Beninca; Vanilde Citadini-Zanette","1992","06","26","Brasil","Santa Catarina","Criciúma","-49.368611","-28.68","49º22'7''W","28º40'48''S","CRI007515","CRI007515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:13-03","UNESC","CRI","5263","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","Angela Maria do Franco",NA,NA,NA,"Angela Maria do Franco","1996","09","10","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI007516","CRI007516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:13-03","UNESC","CRI","3759","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","L. A. Mentz","1997","06","28","Z. P. Topanotti","1995","06","27","Brasil","Santa Catarina","Criciúma","-49.351944","-28.735","49º21'7''W","28º44'6''S","CRI007513","CRI007513","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:13-03","UNESC","CRI","14862","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","Vanilde Citadini-Zanette","1997","09","12","Vanilde Citadini-Zanette","1997","09","12","Brasil","Santa Catarina","Florianópolis","-48.513056","-27.603889","48º30'47''W","27º36'14''S","CRI014196","CRI014196",NA,"Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:13-03","UNESC","CRI","8314","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","Vanilde Citadini-Zanette","2006",NA,NA,"Tais B. Guimarães","2005","09","24","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI007518","CRI007518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:09-03","UNESC","CRI","13993","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","Vanilde Citadini-Zanette","2018","09","24","Beatriz Reiser Tramontin","2018","09","24","Brasil","Santa Catarina","Criciúma","-49.412778","-28.705278","49º24'46''W","28º42'19''S","CRI012635","CRI012635",NA,"Flor azul-clara Habito: Arbustivo","Horto Medicinal UNESC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:13-03","UNESC","CRI","15357","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","Vanilde Citadini-Zanette","2020","03","12","Beatriz Reiser","2020","03","04","Brasil","Santa Catarina","Criciúma","-49.412778","-28.705278","49º24'46''W","28º42'19''S","CRI014774",NA,NA,"Flor branco azulada. Habito: Arbóreo","Horto Medicinal da UNESC","40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:13-03","UNESC","CRI","12889","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","Peterson T. Padilha","2018","03","21","Alexandre Medeiros","2017","09","01","Brasil","Santa Catarina","Balneário Camboriú","-48.637778","-27.001389","48º38'16''W","27º0'5''S","CRI011497","CRI011497",NA,"Coleta 709. Flor branca Habitat: Terrícola Habito: Arbustivo","Estaleirinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:09-03","UNESC","CRI","15129","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","Vanilde Citadini-Zanette","2019","10","22","Beatriz Reiser","2019","09","20","Brasil","Santa Catarina","Criciúma","-49.496111","-28.705278","49º29'46''W","28º42'19''S","CRI014543",NA,NA,"Flor branco azulada. Habito: Arbóreo","Horto Medicinal - UNESC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:49-03","E","E","202815","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum",NA,NA,NA,NA,NA,"Simon, M.F.; Lima, J.C.M.; Eiten, G.; de Carvalho, A.M.","1999","02","16","BR",NA,NA,NA,NA,NA,NA,"E00202815",NA,"227","<a href=http://data.rbge.org.uk/herb/E00202815 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:217230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:43:49-03","E","E","206997","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum",NA,NA,NA,NA,NA,"Farias, R.; De Carvalho, A.M.; De Carvalho, J.A.; De Carvalho, V.M.; Milhomens Fonseca, L.C.; Proença, C.; Potzernheim, M.L.; Rosa Cardosa, O.G.","1998","09","07","BR",NA,NA,NA,NA,NA,NA,"E00206997",NA,"130","<a href=http://data.rbge.org.uk/herb/E00206997 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:217739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:43:49-03","E","E","202956","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum",NA,NA,NA,NA,NA,"De Carvalho, V.M.; Farias, R.; Milhomens Fonseca, L.C.; Potzernheim, M.L.; Proença, C.; Cardoso Rosa, L.O.G.; de Carvalho, A.M.; de Carvalho, J.A.","1998","09","11","BR",NA,NA,NA,NA,NA,NA,"E00202956",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00202956 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:217715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","139091","PreservedSpecimen","Plantae","Solanaceae","Solanum","chloroleucum","Solanum chloroleucum","Dunal",NA,NA,NA,NA,"P. Clausen","1840",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY00139091","NY00139091_01","s.n.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=75444' target='other'> <mi>dwc_moreinfo</mi></a>","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales","possible type",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","771058","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","J. R. Stehmann",NA,NA,NA,"J. R. Stehmann","1995","02","22","Brazil","São Paulo","Buri","-48.59","-23.7903",NA,NA,"NY00771058","NY00771058_01","1597","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626422' target='other'> <mi>dwc_moreinfo</mi></a>","Margem da SP 258.",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00701230","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","M. H. Nee",NA,NA,NA,"A. G. Fernandes","1979","03","10","Brazil","Rio Grande do Norte","Cerro Corá","-36.3456","-6.0458",NA,NA,"NY00701230","NY00701230_01","s.n.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=839818' target='other'> <mi>dwc_moreinfo</mi></a>","Chapada de Cerro Corá",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1184188","PreservedSpecimen","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","M. de F. Agra",NA,NA,NA,"M. Motidome","1977","01","18","Brazil","São Paulo","Campinas","-47.06","-22.9",NA,NA,"NY01184188","NY01184188_01","s.n.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465198' target='other'> <mi>dwc_moreinfo</mi></a>","Aeroporto de Viracopos.",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA
