"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","infraspecificEpithet","individualCount","class","typeStatus"
"1","2016-09-29 23:03:00-03","NY","NYBG","00972570","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","ovalis","Ouratea ovalis","J. B. E. Pohl","2002.2288","South America","Brazil","Goiás","Goyaz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103084' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972570","NY00972570_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:46:16-03","EAO","IAN","31254","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Ochnaceae","Ouratea","ovalis","Ouratea ovalis","Pohl, RW","1987","Southern America","Brasil",NA,NA,NA,NA,"IAN031254",NA,"Engl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:15-03","ESALQ","ESA","66479","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ochnaceae","Ouratea","ovalis","Ouratea ovalis","Souza, V.C. et al.","23937.0",NA,"Brasil","Goiás",NA,NA,NA,"ESA066479","ESA066479","Engl.","Chacon, R.G.","2009","09","28","2000","07","15","Niquelândia","-48.4597015380859","-14.4738998413086","74171","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:37:18-03","UNICAMP","UEC","158283","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","ovalis","Ouratea ovalis","Souza, VC; Souza, JP; Romão, GO","23937",NA,"Brazil","Goiás","Estr. que sai da Rod. Uruaçu-Niquelândia, Cerca de 60 Km de Uruaçu em direção a Barro Alto.",NA,"Arvoreta, ca. 2 m alt.; flores amarelas.","UEC015218","UEC015218","Engl.","Chacon, RG","2009","09","28","2000","07","15","Niquelândia","-48.697778","-14.539444",NA,NA,"-48.697778","-14.539444","600","600",NA,NA,NA,NA,NA
"5","2021-03-01 16:37:18-03","UNICAMP","UEC","159154","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","ovalis","Ouratea ovalis","Queiroz, LP; Conceição, AS; Carvalho-Sobrinho, JG; Machado, R","1518",NA,"Brazil","Goiás","8-10km de Nova Roma na Estrada para Ouro de Minas.",NA,"Arbusto ca. 2m alt.; ramificado. Folhas coriáceas. Frutos verdes imaturos com receptáculo carnoso vermelho.; Floresta estacional semidecídua de encosta passando a cerrado rupestre no topo.","UEC032725","UEC032725","Engl.","Silva, FO","2014","05",NA,"2010","11","01","Nova Roma","-46.943889","-13.738611",NA,NA,"-46.943889","-13.738611","622","622",NA,NA,NA,NA,NA
"6","2021-03-25 09:28:14-03","UNICAMP","UEC","167405","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","ovalis","Ouratea ovalis","Cordovil, SP; Santos, HGP; Rocha, DMS","10",NA,"Brazil","Goiás","Fazenda Macaco.",NA,"Infrutescencia com receptaculo vermelho-amarelado; fruticulos verdes.; Cerradão. Solo areno-argiloso com boa camada de serapilheira. Plano a suavemente ondulado.","UEC091419","UEC091419","Engl.","Yamamoto, K","1996",NA,NA,"1992","10","05","Uruaçu","-49.083333","-14.45",NA,NA,"-49.083333","-14.45",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-25 09:28:14-03","UNICAMP","UEC","167406","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","ovalis","Ouratea ovalis","Dias, TAB; Vieira, CC","167",NA,"Brazil","Distrito Federal","A 32 km do Cenargen. Pegar a DF-170 e seguir nela 6 km parada a direita da pista.",NA,"Arbusto de mais ou menos 70 cm. Flor amarela. Ocasional. Em plena floração.; Cerrado Antropizado. Cambisolo.","UEC091422","UEC091422","Engl.","Yamamoto, K","1996",NA,NA,"1992","06","04","Brasília","-48.017072","-15.759053",NA,NA,"-48.017072","-15.759053",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:37:18-03","UNICAMP","UEC","169130","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","ovalis","Ouratea ovalis","Cavalcanti, TB; Sinigaglia, C; Silva, GP","3521",NA,"Brazil","Goiás","Ponte sobre o rio Tocantis - Cavalcante, Km 79.&nf;Ambiente: cerrado aberto.&nf;Relevo: montanhoso.&nf;Substrato: solo pedregoso.",NA,"Material coletado: Exsicatas, folhas em sílica.&nf;Uso: &nf;Frequência relativa: &nf;Cor da flor: amarela.&nf;Cor do fruto: &nf;Hábito de crescimento: &nf;Folhas glaucas. crescendo ao lado de O. hexasperma (Cavalcanti et al. 3520)","UEC007603","UEC007603","Engl.","Chacon, RG","2010","07",NA,"2004","08","30","Cavalcante","-47.876389","-13.680556",NA,NA,"-47.876389","-13.680556","810","810",NA,NA,NA,NA,NA
"9","2015-09-05 08:01:34-03","MNHN","RECOLNAT_MNHN_P","P04780746","PreservedSpecimen",NA,NA,NA,"Ochnaceae","Ouratea","ovalis","Ouratea ovalis","Gardner",NA,NA,"Brasil",NA,"Prov. de Goyaz.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04780746' target='other'> <mi>dwc_moreinfo</mi></a>","P04780746","P04780746_01","Engl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3635",NA,NA,NA,NA
"10","2015-09-05 08:01:34-03","MNHN","RECOLNAT_MNHN_P","P04780747","PreservedSpecimen",NA,NA,NA,"Ochnaceae","Ouratea","ovalis","Ouratea ovalis","Glaziou, A.",NA,NA,"Brasil",NA,"Brésil (Goyaz).","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04780747' target='other'> <mi>dwc_moreinfo</mi></a>","P04780747","P04780747_01","Engl.",NA,NA,NA,NA,"1894","11","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20804",NA,NA,NA,NA
"11","2015-09-05 08:01:35-03","MNHN","RECOLNAT_MNHN_P","P04780748","PreservedSpecimen",NA,NA,NA,"Ochnaceae","Ouratea","ovalis","Ouratea ovalis","Gardner",NA,NA,"Brasil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04780748' target='other'> <mi>dwc_moreinfo</mi></a>","P04780748","P04780748_01","Engl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3635",NA,NA,NA,NA
"12","2015-09-05 08:01:35-03","MNHN","RECOLNAT_MNHN_P","P04780749","PreservedSpecimen",NA,NA,NA,"Ochnaceae","Ouratea","ovalis","Ouratea ovalis","Glaziou, A.",NA,NA,"Brasil",NA,"Brésil (Gouyaz).","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04780749' target='other'> <mi>dwc_moreinfo</mi></a>","P04780749","P04780749_01","Engl.",NA,NA,NA,NA,"1894","11","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20804",NA,NA,NA,NA
