"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","class","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","imagecode","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","484242","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Dyschoriste","smithii","Dyschoriste smithii","Leonard","D. C. Wasshausen","L. B. Smith","13929","1964","12","09","South America","Brazil","Santa Catarina","Concórdia","Rio Uruguai, rock island.","-51.93","-27.43","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484242",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:32:54-03","IAP","PACA-AGP","114438","PreservedSpecimen","Plantae","Magnoliophyta","Scrophulariales","Acanthaceae","Dyschoriste","smithii","Dyschoriste smithii","Leonard","V. Silva, M. F. Parode & M. S. Marchioretto","Sehnem, A.","6488","1953","11","15",NA,"Brasil","RS","Bento Gonçalves","Ponte Rio das Antas.","-51.5191993713379","-29.1714000701904","200","200",NA,"blüten blä ulich Habitat: ad ripam fluminis","PACA114438","Magnoliatae","2015","03","21248","auto",NA,NA,NA,NA
"3","2019-08-27 13:32:54-03","IAP","PACA-AGP","60327","PreservedSpecimen","Plantae","Magnoliophyta","Scrophulariales","Acanthaceae","Dyschoriste","smithii","Dyschoriste smithii","Leonard","V. Silva, M. F. Parode & M. S. Marchioretto","Rambo, B.",NA,"1957","01","08",NA,"Brasil","RS","Ijuí","S. Bernardo","-53.9146995544434","-28.3878002166748",NA,NA,NA,"Habitat: in campestribus Fenofase: flor","PACA060327","Magnoliatae","2015","03","36807","auto",NA,NA,NA,NA
"4","2019-08-27 13:32:54-03","IAP","PACA-AGP","100646","PreservedSpecimen","Plantae","Magnoliophyta","Scrophulariales","Acanthaceae","Dyschoriste","smithii","Dyschoriste smithii","Leonard","V. Silva, M. F. Parode & M. S. Marchioretto","Mondin, C.","2832","2002","11","16",NA,"Brasil","RS","São Vicente do Sul","A cerca de 10Km da cidade, na rodovia para São Pedro do Sul.","-54.6794013977051","-29.6916999816895",NA,NA,NA,"HASU 14981.&nf;Ornamental. Fenofase: flores lilases Hábito: erva","PACA100646","Magnoliatae","2015","03","42672","auto",NA,NA,NA,NA
"5","2019-08-27 13:32:54-03","IAP","PACA-AGP","28098","PreservedSpecimen","Plantae","Magnoliophyta","Scrophulariales","Acanthaceae","Dyschoriste","smithii","Dyschoriste smithii","Leonard","sem det.","Rambo, B.",NA,"1945","03",NA,NA,"Brasil","RS","Nonoai","ad fl. Uruguay","-52.7714004516602","-27.3617000579834",NA,NA,NA,"EM PERIGO&nf;Bestimmung sicher, 28.04.1954 Habitat: ad aquam in ruderibus Fenofase: flor","PACA028098","Magnoliatae",NA,NA,"35080","auto",NA,NA,NA,NA
"6","2015-09-04 07:53:29-03","MNHN","RECOLNAT_MNHN_P","P03578034","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Dyschoriste","smithii","Dyschoriste smithii","Leonard",NA,"Smith, L.B.|Klein, R.M.",NA,"1964","12","9",NA,"Brasil","Santa Catarina","Concórdia","Rock island, Rio Uruguai.","-51.93333","-27.43333","400",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03578034' target='other'> <mi>dwc_moreinfo</mi></a>","P03578034",NA,NA,NA,NA,NA,"13929","P03578034_01",NA,NA
"7","2018-06-22 05:25:00-03","MO","MOBOT","2456019","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Dyschoriste","smithii","Dyschoriste smithii","Leonard",NA,"Lyman B. Smith|Pe. Raulino Reitz","Smith 9912","1957","1","4","South America","Brazil","Santa Catarina",NA,"Concórdia. along the rocky banks of the Rio Uruguai, Estreito do Uruguai, near Barra do Veado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2249933","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","smithii","Dyschoriste smithii","Leonard",NA,"L. B. Smith & R. Reitz","9912","1957","1","4","South America","Brazil","Santa Catarina",NA,"Concordia, Rio Uruguai Estreito Douruguai.",NA,NA,NA,NA,NA,NA,"US00136504","Dicotyledonae",NA,NA,NA,NA,NA,"US00136504_01","Holotype","1"
"9","2020-09-12 05:00:02-03","US","US","2456218","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","smithii","Dyschoriste smithii","Leonard",NA,"L. Smith & R. M. Klein","13929","1964","12","9","South America","Brazil","Santa Catarina",NA,"Mun. Concordia: rock island, Rio Uruguai.","-51.93","-27.43","400",NA,NA,NA,"US02855712","Dicotyledonae",NA,NA,NA,NA,NA,"US02855712_01",NA,"1"
"10","2020-09-12 05:00:02-03","US","US","2550705","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","smithii","Dyschoriste smithii","Leonard",NA,"-- Reitz & Klein, --","14428","1962","12","21","South America","Brazil","Santa Catarina",NA,"Passo do Rio Canoas, Anita Garibaldi.",NA,NA,"600",NA,NA,NA,"US02855713","Dicotyledonae",NA,NA,NA,NA,NA,"US02855713_01",NA,"1"
