"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","778476","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Hypolytrum","amorimii","Hypolytrum amorimii","M.Alves & W.W.Thomas","M. Alves","2319","2001","03","06","South America","Brazil","Espírito Santo","Cariacica","Resreva Biológica de Duas Bocas, trilha em direção ao córrego do Pau Oco, próximo ao alojamento.","-40.5194444","-20.2916667","620","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778476","NY00778476_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:52:04-03","EAO","IAN","175299","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Hypolytrum","amorimii","Hypolytrum amorimii","M.Alves & W.W.Thomas","Alves, M; Souza, G","2319","2001","03","06","Southern America","Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas, trilha em direção ao córrego do Pau Oco, próximo ao alojamento. Floresta Pluvial Atlântica.","-40.516667","-20.283333","650","650",NA,"Erva com izoma curto, face abaxial da folha vinácea, escapo levemente curvo, frutos negrescentes. Material fixado em sílica. Material preservado em álcool.","IAN175299",NA,"-40.516667","-20.283333",NA,NA,NA,NA,NA,NA
"3","2021-02-11 17:18:42-03","UFPR","UPCB","64043","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Hypolytrum","amorimii","Hypolytrum amorimii","M.Alves & W.W.Thomas","Fraga, C.N.","2296","2008","10","21",NA,"Brasil","Espírito Santo","Cariacica","BLOQUEADO",NA,NA,"590","590",NA,"Herbácea, folhas verdes na face abaxial, vermelha na face abaxial. Inflorescências brancas..",NA,NA,"9999","9999","Alves, M.","2014","10","17",NA,NA
"4","2021-02-11 17:18:42-03","UFPR","UPCB","64045","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Hypolytrum","amorimii","Hypolytrum amorimii","M.Alves & W.W.Thomas","Fraga, C.N.","2178","2008","07","22",NA,"Brasil","Espírito Santo","Cariacica","BLOQUEADO",NA,NA,"525","525",NA,"Terrestre, ciófila. Folhas verdes na face adaxial e vinho na face abaxial. Inflorescência castanha. Floresta ombrófila densa montana..",NA,NA,"9999","9999","Alves, M.","2014","10","17",NA,NA
"5","2020-07-10 09:45:32-03","MBML","MBML-HERBARIO","16467",NA,"Plantae",NA,NA,"Cyperaceae","Hypolytrum","amorimii","Hypolytrum amorimii","M.Alves & W.W.Thomas","M. Alves; et al","2319","2001","03","06",NA,"Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas","-40.502778","-20.280278",NA,NA,NA,"Erva com rizoma curto, face abaxial da folha vinácea, escapo levemente curvo, frutos negrescentes. Material fixado em sílica. Material preservado em álcool.","MBML016467","MBML016467","40W30'10","20S16'49",NA,NA,NA,NA,"PARATIPO",NA
"6","2020-07-10 09:45:32-03","MBML","MBML-HERBARIO","37645",NA,"Plantae",NA,NA,"Cyperaceae","Hypolytrum","amorimii","Hypolytrum amorimii","M. Alves & W.W. Thomas","C. N. de Fraga; R.C.Forzza, L.Kollmann & P.H.Labiak.","2296","2008","10","21",NA,"Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas. Localidade de Alegre, trilha do Pau Oco. Floresta Ombrófila Densa Montana.","-40.533333","-20.266667","590","590",NA,"Herbácea, folhas verdes na face abaxial, vermelhas na face adaxial. Inflorescências brancas.","MBML037645","MBML037645","40W31'60","20S16'0","Marccus Alves/2014",NA,NA,NA,NA,NA
"7","2020-07-10 09:45:32-03","MBML","MBML-HERBARIO","38269",NA,"Plantae",NA,NA,"Cyperaceae","Hypolytrum","amorimii","Hypolytrum amorimii","M. Alves & W.W. Thomas","C. N. de Fraga; et al","2178","2008","07","22",NA,"Brasil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas. Alegre, trilha do Pau Oco","-41.525","-20.267778",NA,NA,NA,NA,"MBML038269","MBML038269","41W31'30","20S16'4","Marccus Alves/2014",NA,NA,NA,NA,NA
"8","2021-03-01 11:55:44-03","UFPE","UFP","60548","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Hypolytrum","amorimii","Hypolytrum amorimii","Alves & W.W. Thomas","Fraga, CN; Amorim, AM; Forzza, RC; Labiak, PH; Goldenberg, R; Paixão, JL","2178","2008","07","22",NA,"Brasil","Espírito Santo","Cariacica",NA,"-41.525","-20.277778","525","525",NA,"Terrestre, ciófila. Folhas verde na face adaxial e vinho na face abaxial. Inflorescência castanha.; Terrestre, ciófila. Folhas verde na face adaxial e vinho na face abaxial. Inflorescência castanha.","UFP060548",NA,"-41.525","-20.277778","Alves, M","2010","04",NA,NA,NA
"9","2021-03-01 11:55:44-03","UFPE","UFP","37526","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Hypolytrum","amorimii","Hypolytrum amorimii","Alves & W.W. Thomas","Alves, M; Sousa, G; Unwin, M","2319","2001","03","06",NA,"Brasil","Espírito Santo","Cariacica",NA,"-40.519444","-20.291667","620","650",NA,"Erva comm rizomas curto, face abaxial da folha vinácea, escapo levemente curvo, frutos negrescentes. Material fixado em sílica. Material preservado em álcool.; Erva comm rizomas curto, face abaxial da folha vinácea, escapo levemente cu","UFP037526",NA,"-40.519444","-20.291667",NA,NA,NA,NA,NA,NA
"10","2021-03-01 11:55:44-03","UFPE","UFP","39259","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Hypolytrum","amorimii","Hypolytrum amorimii","Alves & W.W. Thomas","Alves, M; Sousa, G; Gomes, M","1943","2000","06","01",NA,"Brasil","Espírito Santo","Cariacica",NA,"-40.477778","-20.2725","650","700",NA,"Material em meio líquido e sílica gel.; Erva cespitosa, ereta aprox. 0,8m de altura, rizoma levemente tuberizado, folhas com face abaxial vinácea; aquênio negro-esverdeado.; Floresta ombrófila densa submontana. Área de encosta com solo","UFP039259",NA,"-40.477778","-20.2725",NA,NA,NA,NA,"isotype",NA
