"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","fieldNumber","imagecode","verbatimLongitude","verbatimLatitude","individualCount","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","279038","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme","isotype","L. B. Smith","2300","1929","04","11","South America","Brazil","Rio de Janeiro","Vicinity of Monte Serratm Mt. Itatiaya, Estacao Biologica","-44.63","-22.47","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00279038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:21:54-03","MN","R","216460","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Sucre Benjamin, D.","5800","1969","08","17",NA,"Brasil","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","850","850",NA,NA,NA,"Fontella, J.P.","1996","10","14","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-03-12 10:28:54-03","UFOP","OUPR","34251","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Pedrosa, L.G.","1727","2019","07","06",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi",NA,NA,NA,NA,NA,"Trepadeira, 2m. Flores alvas/creme. Mata.",NA,"Pedrosa, L.G.","2019","07","06","Ouro Preto/ Mariana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-05-31 15:18:26-03","MNHN","RECOLNAT_MNHN_P","P00106992","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme","isotype","Smith, L.B.",NA,"1929","4","11",NA,"Brésil",NA,"Rio de Janeiro, Monte Serrat, Mt. Itatiaya","-44.63333","-22.46667",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00106992' target='other'> <mi>dwc_moreinfo</mi></a>","P00106992","Liede-Schumann & Meve",NA,NA,NA,NA,NA,NA,"2300","P00106992_01",NA,NA,NA,NA,NA
"5","2020-10-01 14:20:55-03","JBB","HEPH","34144","S","Plantae","Dicotyledon","Gentianales","Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Giacomin, LL; Viana, PL; Mota, FN de O","932","2009","04","20","Southern America","Brasil","Rio de Janeiro","subida para o Pico da Caledônia: trilha de acesso ao pico","-42.583611","-22.352222",NA,NA,NA,NA,NA,"Santos, RGP","2018","11","08","Nova Friburgo",NA,NA,NA,NA,"-42.583611","-22.352222",NA,NA,NA
"6","2020-12-11 11:31:56-03","UFMG","BHCB","147989","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Fernandes, R; Chaves, C; Hattori, EKO; Vale, AA","925","2011","03","20","Southern America","Brasil","Minas Gerais","Serra da Mantiqueira, Fazenda Boa Esperança.","-45.326944","-22.586889","1597","1597",NA,"Planta trepadeira, flores esverdeadas a creme.; Floresta ombrofila mista secundária. Coletada a margem da trilha.",NA,NA,NA,NA,NA,"Delfim Moreira",NA,NA,NA,NA,"-45.326944","-22.586889",NA,NA,NA
"7","2020-12-11 16:39:08-03","UFMG","BHCB","52604","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Kamino, LHY; França, GS; Stehmann, JR","7","2000","06","19","Southern America","Brasil","Minas Gerais","Monte Verde., Estrada para Camanducaia.","-46.1446990966797","-22.7553005218506",NA,NA,NA,"Liana. Fruto Verde.; Mata.",NA,NA,"2002","06",NA,"Camanducaia","22140","auto",NA,NA,NA,NA,NA,NA,NA
"8","2010-09-10 17:43:00-03","MO","MOBOT","1407091","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme","Holotype","Lyman B. Smith","Smith 2300","1926","4","11","South America","Brazil","Rio de Janeiro","Vicinity of Monte Serrat, Mt. Itataya, Estacao Biologica","-44.6333333","-22.4666667","800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","1407094","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Alexander C. Brade","Brade 12465","1933","2","27","South America","Brazil","Rio de Janeiro","Serra dos Orgãos",NA,NA,NA,NA,NA,NA,NA,"J. Fontella P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2012-04-09 09:34:00-03","MO","MOBOT","1407092","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Dimitri Sucre","Sucre 5800","1969","8","17","South America","Brazil","Rio de Janeiro","Itatiaia","-44.58333","-22.33333",NA,NA,NA,NA,NA,"J. Fontella P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
