"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","class","yearIdentified","monthIdentified","dayIdentified","individualCount","typeStatus","coordinatePrecision","geoFlag"
"1","2021-04-05 14:34:00-03","UNESC","CRI","2229","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","bonariensis","Zizaniopsis bonariensis","(Balansa & Poitr.) Speg.","L. B. Smith","R. Reitz; R. M. Klein","1976","10","17","Brasil","Rio Grande do Sul","Rio Grande","Parque Estadual do Taim.","-52.098889","-32.035556","52º5'56''W","32º2'8''S","5","5","CRI008832","CRI008832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 11:05:00-03","NY","NYBG","787015","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","bonariensis","Zizaniopsis bonariensis",NA,"M. A. Chase","Rodriguez","1912","06","23","Argentina","Buenos Aires",NA,"Quilmes",NA,NA,NA,NA,NA,NA,"NY00787015",NA,"Magnoliophyta","Poales","85","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323593' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 11:05:00-03","NY","NYBG","787014","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","bonariensis","Zizaniopsis bonariensis",NA,"L. R. Parodi","J. da Costa Sacco","1957","12","02","Brazil","Rio Grande do Sul",NA,"I.A.S. - Pelotas. Canal I.A.S. - S. Gonçalo, braço de ligaçao com o arroio Pe. Doutor",NA,NA,NA,NA,NA,NA,"NY00787014","NY00787014_01","Magnoliophyta","Poales","767","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323592' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:54:28-03","EAO","IAN","49943","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","bonariensis","Zizaniopsis bonariensis","Speg.",NA,"Parodi, LR","1919","11","15","Argentina",NA,NA,"Conchitas.",NA,NA,NA,NA,NA,NA,"IAN049943",NA,"Monocotiledônea",NA,"1230","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:20:38-03","NBC","NL-BOTANY","L.1351928","PreservedSpecimen","Plantae","Gramineae","Zizania","bonariensis","Zizania bonariensis","Balansa & Poitr.",NA,"Balansa B","1875","11","14","Paraguay",NA,NA,"PL. du Paraguay., Buénos - aires, dans les marais.",NA,NA,NA,NA,NA,NA,"NL-L1351928","NL-L1351928",NA,"Poales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1351928 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:20:38-03","NBC","NL-BOTANY","L.1351929","PreservedSpecimen","Plantae","Gramineae","Zizania","bonariensis","Zizania bonariensis","Balansa & Poitr.",NA,"Balansa B","1875","11","14","Paraguay",NA,NA,"PL. du Paraguay., Buénos - aires, dans les marais.",NA,NA,NA,NA,NA,NA,"NL-L1351929","NL-L1351929",NA,"Poales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1351929 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:20:38-03","NBC","NL-BOTANY","L.1351930","PreservedSpecimen","Plantae","Gramineae","Zizania","bonariensis","Zizania bonariensis","Balansa & Poitr.",NA,"Unknown","1875","11","07","Paraguay",NA,NA,"Paseo de Julio, à Buenos - Aires. *.",NA,NA,NA,NA,NA,NA,"NL-L1351930","NL-L1351930",NA,"Poales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1351930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:20:38-03","NBC","NL-BOTANY","L.1351931","PreservedSpecimen","Plantae","Gramineae","Zizania","bonariensis","Zizania bonariensis","Balansa & Poitr.",NA,"Balansa B","1875","11","01","Paraguay",NA,NA,"Monoique., Buenos-ayres, dans les marais.",NA,NA,NA,NA,NA,NA,"NL-L1351931","NL-L1351931",NA,"Poales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1351931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:20:38-03","NBC","NL-BOTANY","U.1504791","PreservedSpecimen","Plantae","Gramineae","Zizania","bonariensis","Zizania bonariensis","Balansa & Poitr.",NA,"Pedersen TM","1951","02","17","Argentina",NA,NA,"Estancia Santa Teresa. Dep. Mburucuya. Prov. Corrientes.",NA,NA,NA,NA,NA,NA,"NL-U1504791","NL-U1504791",NA,"Poales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1504791 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:47:47-03","UFMS","CGMS","18852","PreservedSpecimen","Plantae","Poaceae","Zizaniopsis","bonariensis","Zizaniopsis bonariensis","(Balansa & Poitr.) Speg.","A. Guglieri","H. Jancoski; B.S. Marimon; H. Lima; M.C. Moresco; H.A. Mews; D.D. Franczac","2005","10","31","Brasil","Mato Grosso","Novo Santo Antônio","Parque Estadual do Araguaia.","-50.8233334","-12.6152778","-50,8233334","-12,6152778",NA,NA,"CGMS1048154",NA,NA,NA,"307",NA,NA,"Duplicata do NX (UNEMAT) - Nova Xavantina - MT. Infrutescência madura. Habitat: Campo de murundum. Abundante. Habito: Erva. 0,80m de altura.",NA,"2009","02","05",NA,NA,NA,NA
