"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","871904","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","caulescens","Richterago caulescens","Roque","B. Maguire","49034","1960","08","06","South America","Brazil","Minas Gerais","Summit of Serra do Cipo, Km. 111-120, road from Hotel Chapeu do Sol","-43.554488","-19.288549","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871904","NY00871904_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","871903","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","caulescens","Richterago caulescens","Roque","N. Roque","344","1997","09","23","South America","Brazil","Minas Gerais","Serra do Cipó, Córrego 2 Pontinhas.","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933969' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871903","NY00871903_01","N. Roque","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","346062","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","caulescens","Richterago caulescens","Roque","I. Cordeiro","CFSC7535","1981","10","06","South America","Brazil","Minas Gerais","Km. 129 ao largo dop Rodovia Belo Horizonte-Conceoçao do Mato dentro","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00346062","NY00346062_01",NA,"Santana do Riacho","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-25 16:50:25-03","UFBA","ALCB","122487","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","caulescens","Richterago caulescens","N.Roque","Barres, L; Alves, M; Campos, L; Roque, N","200","2015","09","28","Southern America","Brasil","Minas Gerais","próximo a bifurcaçao entre Morro do Pilar e Conceiçao do Mato Dentro.","-43.483333","-19.216667","1336","1336",NA,"ca. 80 cm alt. Folhas alternas, coriáceas. Capítulo em corimbo, radiados; flores do raio alvas, flores do disco rosáceas.; Solo arenoso pedregroso","ALCB007927",NA,"Barres, L","Santana do Riacho",NA,"2015","09","-43.483333","-19.216667",NA,NA,NA,NA,NA
"5","2019-11-25 16:50:25-03","UFBA","ALCB","120881","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","caulescens","Richterago caulescens","N.Roque","Roque, N; Alves, M; Campos, L; Barres, L","4707","2015","09","29","Southern America","Brasil","Minas Gerais","Alto do Palácio, trilha para Vellozia gigantea, ca. 2 Km à direita após a casa do ICMBIO.","-43.519444","-19.247778","1301","1301",NA,"20-40 cm alt., folhas concolores. Brácteas involucrais verde-cinéreas, corola da flor do raio alva com estrias vináceas, corola da flor do disco róseas a alvas.; graminoso","ALCB007979","ALCB007979","Roque, N","Santana do Riacho",NA,"2015","09","-43.519444","-19.247778",NA,NA,NA,NA,NA
"6","2019-11-25 16:50:25-03","UFBA","ALCB","122491","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","caulescens","Richterago caulescens","N.Roque","Barres, L; Alves, M; Campos, L; Roque, N","204","2015","09","29","Southern America","Brasil","Minas Gerais","caminho para as Vellozia gigantes, 2 km após a casa do ICMbio.","-43.516667","-19.233333","1301","1301",NA,"ca. 80 cm alt. Folhas alternas, coriáceas. Capítulo em corimbo, radiados; flores do raio alvas, flores do disco rosáceas","ALCB007930",NA,"Barres, L","Santana do Riacho",NA,"2015","09","-43.516667","-19.233333",NA,NA,NA,NA,NA
"7","2019-11-25 16:50:25-03","UFBA","ALCB","122502","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","caulescens","Richterago caulescens","N.Roque","Barres, L; Alves, M; Campos, L; Roque, N","216","2015","09","30","Southern America","Brasil","Minas Gerais","Parque Nacional da Serra de Cipó, próximo ao Lanchonete do Juquinha.","-43.563056","-19.256667","1329","1329",NA,"ca. 80 cm alt. Folhas alternas, coriacias, elípticas.Capítulo em corimbo, radiados, flores do radio albas, flores do disco rosáceas.","ALCB007941",NA,"Barres, L","Santana do Riacho",NA,"2015","09","-43.563056","-19.256667",NA,NA,NA,NA,NA
"8","2019-11-25 16:50:25-03","UFBA","ALCB","81465","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","caulescens","Richterago caulescens","N.Roque","Roque, N; Sano, PT; Watanabe, MTC; Travó, MLO; Echternacht, L","1625","2007","09","19","Southern America","Brasil","Minas Gerais","Serra do Cipo#?#, entre a Sede do IBAMA e a entrada para Vellozia gigantea. Material apra DNA","-43.528611","-19.251111","1323","1323",NA,"até 50cm alt. Brácteas involucrais cinéreas. Flores radiais alvas e flores do disco róseas.",NA,NA,"Roque, N","Santana do Riacho",NA,"2007","09","-43.528611","-19.251111",NA,NA,NA,NA,NA
"9","2019-11-25 16:50:25-03","UFBA","ALCB","122493","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","caulescens","Richterago caulescens","N.Roque","Barres, L; Alves, M; Campos, L; Roque, N","206","2015","09","29","Southern America","Brasil","Minas Gerais","a 4km da entrada para Serra Morena em direçao Chapeu do Sol (km 104 da estrada principal).","-4.563889","-19.283333","1205","1205",NA,"ca. 80 cm alt. Folhas coriáceas. Capítulo em corimbo, radiados; flores do raio alvas, flores do disco rosáceas.","ALCB007932",NA,"Barres, L","Santana do Riacho",NA,"2015","09","-4.563889","-19.283333",NA,NA,NA,NA,NA
"10","2019-11-25 16:50:25-03","UFBA","ALCB","122497","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","caulescens","Richterago caulescens","N.Roque","Barres, L; Alves, M; Campos, L; Roque, N","211","2015","09","29","Southern America","Brasil","Minas Gerais","Parque Nacional da Serra de Cipó, cachoeira da Farofa.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"ca. 80 cm, alt. Folhas alternas, coriáceas. Capítulo em corimbo, radiados, flores do raios alvas, flores do disco rosáceas.","ALCB007936",NA,"Barres, L","Santana do Riacho",NA,"2015","09",NA,NA,"26557","auto",NA,NA,NA
