"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2016-09-29 09:39:00-03","NY","NYBG","493807","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","procera","Froelichia procera","T. M. Pedersen","F. O. Zuloaga","5755","1996","04","21","South America","Argentina","Misiones","San Ignacio","Campo antes de la entrada al Parque Provincial Teyucuaré","-55.55","-27.27","120","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02461011","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","procera","Froelichia procera",NA,"F. C. Hoehne","4218","1911","04",NA,"South America","Brazil","Mato Grosso",NA,"Coxipó da Ponte.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2689811' target='other'> <mi>dwc_moreinfo</mi></a>","NY02461011","(Seub.) Pedersen","NY02461011_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 09:39:00-03","NY","NYBG","639052","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","procera","Froelichia procera","M. S. Marchioretto","J. A. Ratter","4919","1983","11","19","South America","Brazil","São Paulo",NA,"Floresta de Angatuba, Instituto Florestal de SP","-48.42","-23.45",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639052",NA,"NY00639052_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","639051","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","procera","Froelichia procera","M. S. Marchioretto","G. G. Hatschbach","15921","1967","01","25","South America","Brazil","Paraná","Campo Mourao","Campo Mourao","-52.3831","-24.0458",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639051","(Seub.) Pedersen","NY00639051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 09:39:00-03","NY","NYBG","639053","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","procera","Froelichia procera","M. S. Marchioretto","J. C. Lindeman","4525","1997","01","26","South America","Brazil","Paraná","Campo Mourao","3 km N. of Campo Mourao","-52.3831","-24.0458",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639053",NA,"NY00639053_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","493806","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","procera","Froelichia procera","R. S. McCauley","A. C. Filho","212","1980","01","21","South America","Brazil","São Paulo","Moji-Guaçu","Fazenda Campininha","-47.164784","-22.242395",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493806","(Seub.) Pedersen","NY00493806_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:28:31-03","UNESP-IBB","BOTU","14194","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Froelichia","procera","Froelichia procera","Bicudo, L.R.H.","Bicudo, L.R.H.","1730","1986","12","11",NA,"Brasil","São Paulo","Botucatu","À margem da rodovia João Melão, que liga São Manuel à Avaré.","-48.738611","-22.9",NA,NA,NA,"Campo cerrado. Flores brancas com centro avermelhado sem odor.","BOTU014194","(Seub. & Mart.) Pedersen","BOTU014194","1986","12","11","48°44'19w","22°54's",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:28:31-03","UNESP-IBB","BOTU","56","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Froelichia","procera","Froelichia procera",NA,"Arao, Y.","7311072","1972","10","31",NA,"Brasil","São Paulo","Botucatu","18Km Norte de Botucatu, 14Km oeste de São manuel ao longo da estrada São Manuel - Piracicaba. Próximo à ex-estação 13 de maio da estrada de ferro Sorocabana.","-48.416667","-22.75",NA,NA,NA,"Herbácea.","BOTU000056","(Seub. & Mart.) Pedersen","BOTU000056",NA,NA,NA,"48°25'w","22°45's",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:28:30-03","UNESP-IBB","BOTU","13700","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Froelichia","procera","Froelichia procera","Marchiretto, M.S.","Bicudo, L.R.H.","609","1986","02","25",NA,"Brasil","São Paulo","Botucatu","À margem da rodovia João Melão, que liga São Manuel à Avaré.","-48.738611","-22.9",NA,NA,NA,"Campo cerrado. Flores com tubo branco, sendo o centro do mesmo avermelhado. Sem odor.","BOTU013700","(Seub. & Mart.) Pedersen","BOTU013700","2001","09",NA,"48°44'19w","22°54's",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:28:31-03","UNESP-IBB","BOTU","74","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Froelichia","procera","Froelichia procera","Amaral Jr., A.","Abreu, M.A.F.","1","1972","10","31",NA,"Brasil","São Paulo",NA,"Cerrado entre o Rio Capivara e Araguá perto da antiga estação de trem 13 de maio.",NA,NA,NA,NA,NA,"Erva com 1,5m. Flor branca e estames vermelhos.","BOTU000074","(Seub. & Mart.) Pedersen","BOTU000074","2000","08",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
