"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","preparationType","order","class","relatedCatalogItem"
"1","2019-10-09 11:22:09-03","UFBA","ALCB","121994","PreservedSpecimen","Plantae","Dicotyledon","Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Costa-Lima, JL","2013","05","Costa-Lima, JL; Amorim, BS; Louzada, R; Maciel, JR","932","2013","05","17","Southern America","Brasil","Pernambuco","Bezerros","Caminho para a Serra Negra de Bezerros.","-35.756944","-8.150556","-35.756944","-8.150556","850","850","Herbáceo ereto. ca cm alt. Folíolos membranáceos, leveente discolores, verde-escuros. Flores amarelas. Cápsulas esverdeadas.","ALCB007441","ALCB007441",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:22:09-03","UFBA","ALCB","68907","PreservedSpecimen","Plantae","Dicotyledon","Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Lourteig, A","1998",NA,"Hatschbach, G; Cervi, AC","51379","1987","07","22","Southern America","Brasil","Espírito Santo","Linhares","Rod. para Povoação","-40.066667","-19.383333","-40.066667","-19.383333","5","5","ereta. Flores amarelas.; cultivo de cacau.","ALCB011450","ALCB011450","parátipo",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:22:09-03","UFBA","ALCB","11609","PreservedSpecimen","Plantae","Dicotyledon","Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig",NA,NA,NA,"Caminhoá, J","s/n",NA,NA,NA,"Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Gavea","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,"ALCB015739","ALCB015739",NA,"57442","auto",NA,NA,NA,NA,NA,NA
"4","2019-12-04 12:52:31-03","UTFPR","HCF","29994","S","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","F.F.F. Mazziero","2019","02","F.F.F. Mazziero","4255","2019","01","30",NA,"Brasil","ES","Linhares",NA,"-39.901111","-19.48","39°54'04 W","19°28'48 S","16","16","subarbusto ereto, até 1 m de altura. Flores completamente amarelas. Crescendo no interior da floresta. Vegetação secundária média/ avançada.",NA,NA,NA,NA,NA,"01",NA,NA,NA,NA,NA
"5","2020-12-21 16:39:00-03","MBM","MBM","420796","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Mazziero, F.F.F.","2019","02","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4255","2019","01","30","Southern America","Brazil","Espírito Santo","Linhares",NA,"-39.901111","-19.48","-39.901111","-19.48","16","16","Subarbusto ereto, até 1 m de altura. Flores completamente amarelas. Crescendo no interior da floresta.; Vegetação secundária média/avançada","MBM420796",NA,NA,NA,NA,"01",NA,NA,NA,NA,NA
"6","2020-12-21 16:39:00-03","MBM","MBM","422540","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Barboza, E.","2019","06","Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6061","2019","03","29","Southern America","Brazil","Espírito Santo","Castelo","Apeninos","-41.151389","-20.586389","-41.151389","-20.586389","485","485","Erva com 40 cm de altura; flores rosadas.; Floresta Ombrófila Densa Submontana.","MBM422540",NA,NA,NA,NA,"26",NA,NA,NA,NA,NA
"7","2020-12-21 16:39:00-03","MBM","MBM","124547","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Lourteig, A.",NA,NA,"Hatschbach, G.; Cervi, A.C.; Cervi, A.C.","51379",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Linhares","Rodovia para Povoação","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,"MBM124547","MBM124547",NA,"48094","auto",NA,NA,NA,NA,NA,NA
"8","2015-11-06 23:04:59-02","MNHN","RECOLNAT_MNHN_P","P00724033","PreservedSpecimen",NA,NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig",NA,NA,NA,"Claussen, P.",NA,"1938",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00724033' target='other'> <mi>dwc_moreinfo</mi></a>","P00724033","P00724033_01","holotype",NA,NA,NA,"369","hb",NA,NA,NA
"9","2015-11-06 23:05:01-02","MNHN","RECOLNAT_MNHN_P","P00724034","PreservedSpecimen",NA,NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig",NA,NA,NA,"Claussen, P.",NA,"1938",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,NA,NA,NA,"donné par Mr Delessert en 1840 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00724034' target='other'> <mi>dwc_moreinfo</mi></a>","P00724034","P00724034_01","isotype",NA,NA,NA,"369","hb",NA,NA,NA
"10","2015-09-05 10:48:59-03","MNHN","RECOLNAT_MNHN_P","P05580601","PreservedSpecimen",NA,NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig",NA,NA,NA,"Pinheiro, R.S.|Santos, T.S.",NA,"1973","11","26",NA,"Brasil","Espírito Santo",NA,"Rod. Linhares para Povoação. Plantação de Cacau",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05580601' target='other'> <mi>dwc_moreinfo</mi></a>","P05580601","P05580601_01",NA,NA,NA,NA,"2286","hb",NA,NA,NA
