"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","scientificNameAuthorship","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","fieldNumber","sex"
"1","2016-10-21 18:28:00-02","NY","NYBG","169146","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eupatorium","paraguariense","Eupatorium paraguariense","type","E. Hassler","1518b","1885","South America","Paraguay","In campo prope Cord. de Altos","sheet","Collected in Nov. [year ?]. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169146","NY00169146_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-19 15:43:22-03","UNEB","HUNEB","11734","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Eupatorium","angusticeps","Eupatorium angusticeps",NA,"Almeida, G.S.S.","335","2006",NA,"Brasil","Parque Estadual do Itacolomi: Trilha da Estrada de Cima.",NA,NA,"HUNEB0011734",NA,"Dicotyledoneae","Malme","02","15","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:37:05-03","EAO","IAN","76898","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","paraguariense","Eupatorium paraguariense",NA,"Balansa, B","934","1875",NA,"Paraguai",NA,NA,NA,"IAN076898",NA,NA,"Hieron.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:27:14-03","IAP","PACA-AGP","46562","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Chromolaena","paraguariensis","Chromolaena paraguariensis",NA,"Rambo, B.",NA,"1950",NA,"Brasil","Itapoã",NA,"PROVAVELMENTE EXTINTO Habitat: in campestribus dumetosis Fenofase: flor","PACA046562",NA,"Magnoliatae","(Hieron.) R.M. King & H. Rob.","04","03","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto","Christ, A.L.","2018","01","11",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:27:14-03","IAP","PACA-AGP","46741","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Chromolaena","paraguariensis","Chromolaena paraguariensis",NA,"Rambo, B.",NA,"1950",NA,"Brasil","Viamão",NA,"PROVAVELMENTE EXTINTO Habitat: in campestribus dumetosis Fenofase: flor","PACA046741",NA,"Magnoliatae","(Hieron.) R.M. King & H. Rob.","04","10","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto","Christ, A.L.","2018","01","11",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:27:14-03","IAP","PACA-AGP","11924","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Chromolaena","paraguariensis","Chromolaena paraguariensis",NA,"Emrich, K.",NA,"1941",NA,"Brasil","Cemiterio",NA,"PROVAVELMENTE EXTINTO Habitat: in campestribus dumetosis Fenofase: flor","PACA011924",NA,"Magnoliatae","(Hieron.) R.M. King & H. Rob.","03","03","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto","Christ, A.L.","2018","01","11",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:27:14-03","IAP","PACA-AGP","10190","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Chromolaena","paraguariensis","Chromolaena paraguariensis",NA,"Emrich, K.",NA,"1942",NA,"Brasil","Montserrat",NA,"PROVAVELMENTE EXTINTO Habitat: in campestribus dumetosis Fenofase: flor","PACA010190",NA,"Magnoliatae","(Hieron.) R.M. King & H. Rob.","04","01","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto","Christ, A.L.","2018","01","11",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:27:25-03","IAP","PACA-AGP","98653","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","angusticeps","Eupatorium angusticeps",NA,"Ronaldo A. Wasum","531","1972",NA,"Brasil",NA,NA,"PROVAVELMENTE EXTINTO. Fenofase: flor Hábito: subarbusto","PACA098653",NA,"Magnoliatae","Malme","03","14","RS","Morro Reuter","-51.0807991027832","-29.5380992889404","12924","auto","R. Wasum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:27:25-03","IAP","PACA-AGP","41304","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","angusticeps","Eupatorium angusticeps",NA,"Rambo, B.",NA,"1949",NA,"Brasil","Morro Santa Teresa",NA,"PROVAVELMENTE EXTINTO&nf;SEM MATERIAL Habitat: in campestribus dumetosis Fenofase: flor","PACA041304",NA,"Magnoliatae","Malme","04","29","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto","Emrich-Rambo","1954","06","29",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:27:25-03","IAP","PACA-AGP","98654","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","angusticeps","Eupatorium angusticeps",NA,"Ronaldo A. Wasum","549","1972",NA,"Brasil",NA,NA,"PROVAVELMENTE EXTINTO. Fenofase: flor Hábito: subarbusto","PACA098654",NA,"Magnoliatae","Malme","04","23","RS","Morro Reuter","-51.0807991027832","-29.5380992889404","12924","auto","R. Wasum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
