"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","39373","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig","isotype","H. S. Irwin","23544","1969","02","19","South America","Brazil","Minas Gerais","Ca. 15 km west of Grao Mogol","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00039373","NY00039373_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00039756","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"J. R. Pirani","9024","1986","01","07","South America","Brazil","Mato Grosso","Grao Mogol. Próximo da saída na estrada para Francisco Sá","1000","1000","sheet","Date as 07/01/1986 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00039756","NY00039756_01","S. A. T. Graham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00940208","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"M. C. de Assis","CFCR11395","1987","11","03","South America","Brazil","Minas Gerais","Montanha à esquerda do riacho Ribeirao. Trilha da Tropa.","850","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940208","NY00940208_01","T. B. Cavalcanti","Grão Mogol","-42.92","-16.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-06 11:42:33-03","UFPI-MRV","HDELTA","5070","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Cerqueira, E.C.; Lemos, J.R.","67","2016","02","25",NA,"Brasil","Piauí","Sítio da Gurita",NA,NA,NA,NA,"HDELTA005070",NA,"Cerqueira, E.C.","Bom Princípio do Piauí","-41.6441993713379","-3.19082999229431","2018","05","11","22201","auto",NA,NA,NA,NA,NA
"5","2021-03-30 12:43:20-03","EAO","IAN","138570","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig","isotipo","Irwin, HS; Santos, RR dos; Souza, R; Fonsêca, SF da","23544","1969","02","19","Southern America","Brasil","Minas Gerais","Serra do Espinhaço. Rocky crevices, creek margin. Sandy cerrado with outcrops and low woods bordering creek, ca. 15km west of Grao Mogol.","950","950",NA,"Shrub ca.1m tall. Corolla red, greenish toward base.","IAN138570",NA,"Lourteig, A",NA,NA,NA,"1971",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:32:18-03","MBM","MBM","67220","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Louteig",NA,"Hatschbach, G.","42871",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Serra do Pipiri",NA,NA,NA,NA,"MBM067220","MBM067220","Cavalcanti, T.B.","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA
"7","2020-12-21 16:32:18-03","MBM","MBM","416238","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Louteig",NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3043","2018","11","15","Southern America","Brazil","Minas Gerais","Serra Periperi","1105","1105",NA,"Subarbusto com 60 cm de altura; corola vermelha.; Campo rupestre com elementos de Caatinga.","MBM416238",NA,"Cordeiro, J.","Grão Mogol","-42.927778","-16.541944","2019","02","05",NA,NA,"-42.927778","-16.541944",NA,NA,NA
"8","2020-12-21 16:32:18-03","MBM","MBM","129520","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Louteig",NA,"Pirani, J.R.; et al.; et al.","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol",NA,NA,NA,NA,"MBM129520","MBM129520","Cavalcanti, T.B.","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA
"9","2015-02-05 15:19:17-02","MNHN","RECOLNAT_MNHN_P","P01901809","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig","holotype","Irwin, H.S.|Reis dos Santos, R.|Souza, R.|da Fonseca, S.F.",NA,"1969","2","19",NA,"Brésil",NA,"Estado Minas Gerais, Serra do Espinhaço, ca. 15 km west of Grao Mogol.","950",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901809' target='other'> <mi>dwc_moreinfo</mi></a>","P01901809","P01901809_01","Lourteig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23544",NA,NA
"10","2015-09-05 05:27:19-03","MNHN","RECOLNAT_MNHN_P","P04714062","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Duarte, A.F.",NA,"1969","10","24",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04714062' target='other'> <mi>dwc_moreinfo</mi></a>","P04714062","P04714062_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1221",NA,NA
