"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","885793","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Ianthopappus","corymbosus","Ianthopappus corymbosus","(Less.) Roque & D.J.N.Hind","N. Roque","N. Roque","462","1998","03","21","South America","Brazil","Rio Grande do Sul","Alegrete","Reserva Biológica do Ibirapuitã.","-55.7919","-29.7831","90","90","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885793","NY00885793_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:27:36-03","IAP","PACA-AGP","96935","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Ianthopappus","corymbosus","Ianthopappus corymbosus","(Less.) Roque & D.J.N. Hind","sem det.","Mondin, C.","3019","2004","12","16",NA,"Brasil","RS","Alegrete","Arroio Lageadinho, cerca de 16 km da cidade, em direção a Rosário do Sul","-55.7919006347656","-29.7831001281738",NA,NA,NA,"Arbusto com cerca de 50 cm de altura, rara e agrupada.&nf;HASU 17246.&nf;CRITICAMENTE EM PERIGO. Habitat: No campo. Hábito: arbusto","PACA096935",NA,"Magnoliatae","89305","auto",NA,NA,NA,NA,NA
"3","2019-08-27 13:27:36-03","IAP","PACA-AGP","73215","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Ianthopappus","corymbosus","Ianthopappus corymbosus","(Less.) Roque & D.J.N. Hind","N. Roque","Ronaldo Wasum",NA,"1986","05","03",NA,"Brasil","RS","Alegrete","Reserva de Ibirapuitã","-55.7919006347656","-29.7831001281738",NA,NA,NA,"CRITICAMENTE EM PERIGO Habitat: no campo","PACA073215",NA,"Magnoliatae","89305","auto","1999",NA,NA,NA,NA
"4","2019-08-27 13:27:36-03","IAP","PACA-AGP","60771","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Ianthopappus","corymbosus","Ianthopappus corymbosus","(Less.) Roque & D.J.N. Hind","N. Roque","Spies",NA,"1957",NA,NA,NA,"Brasil","RS","Uruguaiana",NA,"-57.0882987976074","-29.7546997070312",NA,NA,NA,"CRITICAMENTE EM PERIGO Habitat: in dumetosis Fenofase: flor","PACA060771",NA,"Magnoliatae","93142","auto","1999",NA,NA,NA,NA
"5","2021-03-16 17:50:54-03","UCS","HUCS","01529","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Ianthopappus","corymbosus","Ianthopappus corymbosus","(Less.) Roque & D.J.N. Hind","Roque, N.","Wasum, R.A.","s.n.","1986","05","03",NA,"Brasil","Rio Grande do Sul","Alegrete","Reserva de Ibirapuitã, Reserva de Ibirapuitã .","-55.7919006347656","-29.7831001281738",NA,NA,NA,"Smithsonian Institution em 1986.; No campo.",NA,NA,NA,"89305","auto","1999",NA,NA,NA,NA
"6","2020-12-21 16:16:13-03","MBM","MBM","148771","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Ianthopappus","corymbosus","Ianthopappus corymbosus","(Less.) Roque & Hind, D.J.N.","Roque, N.","Tressens, S.G.; et al.; et al.","3840","1991","02","13","Southern America","Argentina",NA,NA,"Corrientes",NA,NA,NA,NA,NA,NA,"MBM148771","MBM148771",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:16:13-03","MBM","MBM","85156","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Ianthopappus","corymbosus","Ianthopappus corymbosus","(Less.) Roque & Hind, D.J.N.","Roque, N.","Schinini, A.; et al.; et al.","23425","1983","02","27","Southern America","Argentina",NA,NA,"Corrientes",NA,NA,NA,NA,NA,NA,"MBM085156","MBM085156",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-27 20:00:18-03","MNHN","RECOLNAT_MNHN_P","P00703356","PreservedSpecimen",NA,NA,NA,"Asteraceae","Ianthopappus","corymbosus","Ianthopappus corymbosus","(Less.) Roque & D.J.N.Hind","Roque","Sellow, F.",NA,NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00703356' target='other'> <mi>dwc_moreinfo</mi></a>","P00703356","P00703356_01",NA,NA,NA,NA,"3479",NA,NA,NA
"9","2015-09-04 05:49:12-03","MNHN","RECOLNAT_MNHN_P","P02405668","PreservedSpecimen",NA,NA,NA,"Asteraceae","Ianthopappus","corymbosus","Ianthopappus corymbosus","(Less.) Roque & D.J.N.Hind","Roque","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil",NA,NA,"Brésil, Province de Rio Grande do Sul. Brasil, América do Sul",NA,NA,NA,NA,"hb","Voyage d' Auguste de Saint-Hilaire, de 1816 à 1821. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02405668' target='other'> <mi>dwc_moreinfo</mi></a>","P02405668","P02405668_01",NA,NA,NA,NA,"C2 2617",NA,NA,NA
"10","2015-09-04 05:49:12-03","MNHN","RECOLNAT_MNHN_P","P02405670","PreservedSpecimen",NA,NA,NA,"Asteraceae","Ianthopappus","corymbosus","Ianthopappus corymbosus","(Less.) Roque & D.J.N.Hind","Roque","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil","Rio Grande do Sul",NA,"Brésil. Rio Grande do Sul, Sul, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . No 522ter, Voyage d´ Auguste de Saint-Hilaire, de 1816 à 1821 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02405670' target='other'> <mi>dwc_moreinfo</mi></a>","P02405670","P02405670_01",NA,NA,NA,NA,"C2 2617",NA,NA,NA
