"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","imagecode","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","continentOcean","sex","preparationType"
"1","2020-06-29 11:29:42-03","UFRJ","RFA","28650","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","languida","Vriesea languida","L.B.Sm.","T. S. Coser; T. Wendt","2008","10","21","T. Wendt; L. O. F. Sousa; L. M. Versieux","517","2004","05","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Trilha do Túmulo. Ilha D","-40.6002998352051","-19.9356002807617","23813","Epífita, folhas avermelhadas, brácteas florais amarelo-avermelhadas e frutos imaturos amarelos","RFA51329","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:03:57-03","ESALQ","ESA","70708","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","languida","Vriesea languida","L.B. Smith","Wanderley, M.G.L.",NA,NA,NA,"Krieger, L. et al.",NA,"1988","09","18","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"ESA070708",NA,"Magnoliophyta","ESA070708",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:16:28-03","UFV","VIC","26399","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","languida","Vriesea languida","L.B.Sm.","Paula, C.C. de","2002","01","22","Paula, C.C. de; Silva, R.R. da","s.n.","2002","01","22","Brasil","Espírito Santo","Vargem Alta",NA,"-41.0069007873535","-20.6714000701904","27188","Escapo, ráquis central e eixo dos ramos vermelhos; brácteas escapais vermelhas; brácteas primárias vermelhas com manchas amareladas; bráctea floral amarela; sépalas amarelas; pétalas amarelo claro, folha com a base vinicolor","VIC026399","auto",NA,"VIC026399",NA,NA,NA,NA,NA,NA,NA
"4","2020-04-27 16:09:08-03","UFES","VIES","26339","S","Plantae","Bromeliaceae","Vriesea","languida","Vriesea languida","L.B.Sm.","Martinelli, G.","2002","06",NA,"Martinelli, G.; Heron, L.; Ronaldes R. & Azoury R.","15703","1999","08","11","Brasil","Espírito Santo","Alfredo Chaves",NA,"-40.749698638916","-20.6350002288818","32447",NA,"VIES026339","auto",NA,"VIES026339",NA,NA,NA,NA,NA,NA,NA
"5","2020-04-27 16:09:08-03","UFES","VIES","19323","S","Plantae","Bromeliaceae","Vriesea","languida","Vriesea languida","L.B.Sm.","Coser, T.S.","2011","06","03","Lorencini, T.S.; Siqueira, V.B.; Braun, A. & Dutra, S.S.","237","2009","04","18","Brasil","Espírito Santo","Santa Maria de Jetibá","Garrafão.","-40.7461013793945","-20.040599822998","31867",NA,"VIES019323","auto",NA,"VIES019323",NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","12272",NA,"Plantae","Bromeliaceae","Vriesea","languida","Vriesea languida","L.B.Sm.","A. Costa/21-08-2001",NA,NA,NA,"L. Kollmann; et al","2800","2000","04","05","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Epífita em capoeirão na sombra. Folhas verdes avermelhadas. Haste e brácteas vermlehas. Flores amarelas. Base das folha roxo preto.","MBML012272",NA,NA,"MBML012272","40W33'11","19S54'27",NA,NA,NA,NA,NA
"7","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","26612",NA,"Plantae","Bromeliaceae","Vriesea","languida","Vriesea languida","L.B.Smith","L. Kollmann/17-06-2008",NA,NA,NA,"L. Kollmann; et al","9111","2006","05","11","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita no sol. Brácteas florais vermelhas, séplas amarelas.","MBML026612",NA,NA,"MBML026612","40W31'49","19S58'17",NA,NA,NA,NA,NA
"8","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","31536",NA,"Plantae","Bromeliaceae","Vriesea","languida","Vriesea languida","L.B.Smith","L. Kollmann/17-06-2008",NA,NA,NA,"R.R. Vervloet","2643","2004","08","03","Brasil","Espírito Santo","Santa Leopoldina","Rio das Farinhas","-40.616111","-20.101944",NA,"Epífita, folhas de base vinho, meio e ápice de cor verde com pontos vináceos, brácteas escapais de cor vermelha, brácteas florais e sépalas de cor amarela, frutos de cor marrom.","MBML031536",NA,NA,"MBML031536","40W36'58","20S6'7",NA,NA,NA,NA,NA
"9","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","12832",NA,"Plantae","Bromeliaceae","Vriesea","languida","Vriesea languida","L.B.Smith","T.S. Coser & T. Wendt/30-08-2008",NA,NA,NA,"V. Demuner; et al","1119","2000","06","14","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha, Propriedade do Leomir","-40.6002998352051","-19.9356002807617","23813","Epífita altura de 9m, fruto de cor verde, escapo roxeado. Interior de mata.","MBML012832","auto",NA,"MBML012832",NA,NA,NA,NA,NA,NA,NA
"10","2010-08-16 16:42:38-03","GH","HU-HERB","GH 00029513","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","languida","Vriesea languida","L. B. Smith",NA,NA,NA,NA,"M. B. Foster & R. Foster","301","1939","7","28","Brazil","Espirito Santo",NA,"Santa Teresa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type","301","South America","undetermined","Sheet"
