"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","typeStatus","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","719839","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll.Arg.","G. Pelissari","80","2008","06","19","South America","Brazil","São Paulo","Santo André","Subprefeitura de Paranapiacaba e Parque Andreense, Trilha no final da Rua Gago Coutinho.","-46.347014","-23.753575","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2520712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00719839","NY00719839_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","502695","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll.Arg.","L. Sylvestre","363","1990","10","26","South America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima. Caminho para os Pirineus","-42.05","-22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=140719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502695","NY00502695_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-12 15:31:50-03","UFABC","HUFABC","001129","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll. Arg.","Bruniera, C P; Lobão, A Q; Santos, M F","382","2011","09","23",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Trilha suspensa, floresta montana.","-43","-22.452222",NA,"Voucher para estudos moleculares; Arbusto ca 1,7m alt. Folhas coriáceaes, discolores, com domácias, estipulas conspícuas, com apêndices dorsais e apicais. Inflorescência com raque verde. Botões alvo-esverdeados.","HUFABC001129","HUFABC001129","1173","1173","Brunieira, C P","2011","-43","-22.452222",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:24:01-03","UFBA","ALCB","122333","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll.Arg.","Martinelli, G","3310","1977","05","20","Southern America","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Rio Beija-flor.","-42.9655990600586","-22.4122009277344",NA,"Árvore com mais ou menos 5 metros de altura,folhas discolores,flores vistosas,cor alva.","ALCB007427","ALCB007427","1200","1200","Gomes, M","1992",NA,NA,"06","38539","auto",NA,NA,NA,NA,NA
"5","2021-03-01 16:40:16-03","UNICAMP","UEC","109603","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll.Arg.","Zappi, DC; Amaral, MCE; Costa, CB; Aona, LYS; Belinello, R","329","1999","11","18",NA,"Brazil","São Paulo","Cunha","Parque estadual da Serra do Mar, Núclo Cunha-Indaiá, trilha do Rio Bonito.","-44.9599990844727","-23.0699996948242",NA,"Arvoreta 3m, inflorescência e cálice verdes, lobos da corola alvos com ápice verde, estames cinza-azulados, corola carnosa, 4-5-mera, DNA, material em álcool, fotos.; Mata atlântica no alto da sera, à beira da trilha, próximo ao córrego.",NA,NA,NA,NA,"Zappi, DC","1999",NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA
"6","2021-03-01 16:40:16-03","UNICAMP","UEC","29107","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll.Arg.","Martins, FR; et al.","12368","1980","07","11",NA,"Brazil","São Paulo","Cunha","Res. Est. Cunha","-44.9599990844727","-23.0699996948242",NA,"Arvoreta 5m, flores brancas. Interior da mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA
"7","2021-03-01 16:40:16-03","UNICAMP","UEC","25926","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll.Arg.","Peixoto; Peixoto, OL; Sazima, M; Sazima, I","13060","1981","10","18",NA,"Brazil","São Paulo","Ubatuba","Reserva do Instituto Agronômico","-45.0699996948242","-23.4300003051758",NA,"Árvore ca. 4m, frequente no sub-bosque da mata. Inflorescências pendulas com raque e flores alvas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"8","2020-06-29 09:32:02-03","UFRRJ","RBR","34131","S","Plantae",NA,NA,"Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll.Arg.","G.A. Rodrigues","22","2008","03","03",NA,"Brasil","Rio de Janeiro","Mangaratiba","Ilha da Marambaia, Cota 500m, parcela 34, planta 21; Vertente da Baía de Sepetiba, seguindo à direita do Totem","-44.040599822998","-22.9596996307373",NA,NA,"RBR00034131",NA,NA,NA,NA,NA,NA,NA,NA,"17272","auto",NA,NA,NA,NA,NA
"9","2020-07-25 11:32:29-03","UFRRJ","RBR","26477","S","Plantae",NA,NA,"Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll.Arg.","E.P. Heringer","2825","1952","08","16",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Serra dos Orgãos","-43.2075004577637","-22.9027996063232",NA,NA,"RBR00026477",NA,NA,NA,"M. Gomes","1992",NA,NA,"10","57442","auto","22",NA,NA,NA,NA
"10","2015-09-18 07:29:57-03","MNHN","RECOLNAT_MNHN_P","P00582128","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll.Arg.","Glaziou, A.",NA,"1872","10","23",NA,"Brésil",NA,NA,"Rio de Janeiro. Serra des Orgnes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00582128' target='other'> <mi>dwc_moreinfo</mi></a>","P00582128","P00582128_01",NA,NA,"Zappi",NA,NA,NA,NA,NA,NA,NA,"lectotype","6040",NA,NA
"11","2015-09-18 07:06:26-03","MNHN","RECOLNAT_MNHN_P","P00582129","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll.Arg.","Glaziou, A.",NA,"1872","10","23",NA,"Brésil",NA,NA,"Rio de Janeiro. Serra des Orgnes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00582129' target='other'> <mi>dwc_moreinfo</mi></a>","P00582129","P00582129_01",NA,NA,"Zappi",NA,NA,NA,NA,NA,NA,NA,"isolectotype","6040",NA,NA
"12","2017-06-27 08:52:00-03","MO","MOBOT","100983897","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll. Arg.","C.P. Bruniera|F.G. Trindade|J.V.S. Castelar|V.X.B. Silva|W.S. da Silva","Bruniera 699","2012","3","27","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Trilha dos Três Picos.","-44.6144444","-22.4338889",NA,NA,NA,NA,"1078.00000000",NA,"C.P. Bruniera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"13","2017-07-05 16:15:00-03","MO","MOBOT","100986174","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll. Arg.","C.P. Bruniera|Adriana Lobão|Matheus F. Santos","Bruniera 387","2011","9","23","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha suspensa.","-42.9997222","-22.4558333",NA,NA,NA,NA,"1194.00000000",NA,"C.P. Bruniera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","3236177","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","nobilis","Rudgea nobilis","Müll. Arg.","* SYLVESTRE","SYLVESTRE 363","1990","10","26","South America","Brazil","Rio de Janeiro",NA,"Nova Friburgo, Reserva Ecológica municipal de Macae de Cima, Caminho paa os Pirineus","-42.05","-22",NA,NA,NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
