"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","continentOcean","locality","occurrenceRemarks","barcode","order","fieldNumber","preparationType","imagecode","verbatimLongitude","verbatimLatitude","class","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-12-04 15:26:38-03","PUCPR","HUCP","24197","S","Plantae","Monocotiledonea","Orchidaceae","Octomeria","geraensis","Octomeria geraensis","Barb. Rodr.","Santos, TF","Santos, TF","s.n.","2015","04","24","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:26:38-03","PUCPR","HUCP","24200","S","Plantae","Monocotiledonea","Orchidaceae","Octomeria","geraensis","Octomeria geraensis","Barb. Rodr.","Santos, TF","Santos, TF","084","2015","05","01","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:40:53-03","UFJF","CESJ","63965","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Octomeria","geraensis","Octomeria geraensis","Barb. Rodr.","L. Menini Neto; S.G. Furtado","S.G. Furtado; L. Menini Neto","277","2013","09","14","Brasil","MInas Gerais","Baependi","-44.8899993896484","-21.9589004516602","29865","auto","2013","09","14","América do Sul","Parque Estadual da Serra do Papagaio, Próxima ao curso d'água, interior de mata.","Epífita, flores amarela. Comum.","CESJ063965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-01 15:28:29-03","PUC-RIO","FCAB","2084","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","geraensis","Octomeria geraensis","Barb.Rodr.","F.C. Hoehne","P.E. Leite S.J.","s.n.","1945","12",NA,"Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,"Epífita.","002084","Angiospermae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-03 19:56:44-03","MNHN","RECOLNAT_MNHN_P","P00485288","PreservedSpecimen",NA,NA,"Orchidaceae","Octomeria","geraensis","Octomeria geraensis","Barb.Rodr.",NA,"Regnell, A.",NA,"1878","5","4","Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brésil","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485288' target='other'> <mi>dwc_moreinfo</mi></a>","P00485288",NA,"III 1124","hb","P00485288_01",NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:44:47-03","UFMG","BHCB","92512","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Octomeria","geraensis","Octomeria geraensis","Barb.Rodr.",NA,"Mota, RC da","2633","2002","11","16","Brasil","Minas Gerais","Serro","-43.3793983459473","-18.604700088501","37754","auto","2007","07",NA,"Southern America","Milho Verde, Serra do Ouro","Erva epífita; labelo vináceo com margens creme, demais pétalas e sépalas cremes com três listras longitudinais vináceas em cada segmento; Planta coletada na transição de mata semidecídua com afloramento rochoso","BHCB001448",NA,NA,NA,"BHCB001448",NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","18667",NA,"Plantae",NA,"Orchidaceae","Octomeria","geraensis","Octomeria geraensis","(Barb. Rodr.) Barb. Rodr.","W. Forster/Fev.2013","A. P. Fontana; et al","400","2002","10","13","Brasil","Espírito Santo","Fundão","-40.472222","-19.914167",NA,NA,NA,NA,NA,NA,"Goiapaba-Açu","Epífita, flores amarelas.","MBML018667",NA,NA,NA,NA,"40W28'20","19S54'51",NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","209757","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","geraensis","Octomeria geraensis","(Barb. Rodr.) Barb. Rodr.",NA,"A. F. Regnell","1124","1885",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,"US00438907","Orchidales",NA,NA,"US00438907_01",NA,NA,"Monocotyledonae","1",NA,NA
"9","2019-11-01 15:15:30-03","UnB","UB","200702","PreservedSpecimen","Plantae","Monocotyledonae","Orchidaceae","Octomeria","geraensis","Octomeria geraensis","(Barb.Rodr.) Barb.Rodr.","Pabst, GFJ","Heringer, EP","7280","1959","11","12","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"1959","12","16","Southern America","Serra do Cipó",NA,"UB0018914",NA,NA,NA,"UB0018914",NA,NA,NA,NA,NA,NA
"10","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Octomeria","geraensis","Octomeria geraensis","Barb.Rodr.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","Habitat in arboribus ad Serra de Caldas, ad Tijuco Preto prope Campanha, ad Serra da Pedra Branca et ad Serra do Lenheiro prope S. João d'El Rey prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Octomeria","geraensis","Octomeria geraensis","Barb.Rodr.",NA,"Regnell, AF","1124",NA,NA,NA,"Brazil","Minas Gerais","Caldas","-46.3861","-21.9236","25710","auto",NA,NA,NA,"Southern America","ad Serra da Pedra Branca prope Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Octomeria","geraensis","Octomeria geraensis","Barb.Rodr.",NA,"Mosén, CWH","1698",NA,NA,NA,"Brazil","Minas Gerais","Caldas","-46.3861","-21.9236","25710","auto",NA,NA,NA,"Southern America","in arboribus ad Capivary prope Caldas","Floret Martio - Maio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
