"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","scientificNameAuthorship","fieldNumber","imagecode","identifiedBy","phylum","class","order","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","dayIdentified"
"1","2020-09-23 10:40:04-03","E","E","265493","PreservedSpecimen","Plantae","Labiatae","Hyptis","arenaria","Hyptis arenaria","isotype","Gardner, George","3390","1905","01","12","E. Tropical South America","BR","Goias","Goyaz","herbarium specimen of unspecif","BGBASE:285100","<a href=http://data.rbge.org.uk/herb/E00265493 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00265493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-27 04:02:11-03","MNHN","RECOLNAT_MNHN_P","P00720920","PreservedSpecimen",NA,"Lamiaceae","Hyptis","arenaria","Hyptis arenaria","isotype","Gardner, G.",NA,"1841",NA,NA,NA,"Brésil",NA,"Prov. de Goyaz","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00720920' target='other'> <mi>dwc_moreinfo</mi></a>","P00720920","Benth.","3390","P00720920_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-03 20:47:57-03","MNHN","RECOLNAT_MNHN_P","P00720921","PreservedSpecimen",NA,"Lamiaceae","Hyptis","arenaria","Hyptis arenaria","isotype","Gardner, G.",NA,"1841",NA,NA,NA,"Brésil",NA,"Prov. de Goyaz","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00720921' target='other'> <mi>dwc_moreinfo</mi></a>","P00720921","Benth.","3390","P00720921_01","Spach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-29 06:52:13-03","MNHN","RECOLNAT_MNHN_P","P00720922","PreservedSpecimen",NA,"Lamiaceae","Hyptis","arenaria","Hyptis arenaria","isotype","Gardner, G.",NA,"1841",NA,NA,NA,"Brésil",NA,"Prov. de Goyaz","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00720922' target='other'> <mi>dwc_moreinfo</mi></a>","P00720922","Benth.","3390","P00720922_01","Spach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-07 09:16:12-03","UEFS","HUEFS","90914","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","arenaria","Hyptis arenaria",NA,"Felfili, J.M.","535","2004","04","21",NA,"Brasil","Tocantins","RPPN - Fazenda Minehaha.",NA,NA,"Campo úmido limpo com areia bordeado pelo cerrado que desce para a barra do Rio Lapa com o Rio Laurentino.","HUEFS0090914","Benth.",NA,"HUEFS0090914","R.M.Harley","Angiospermae","Asteranae","Lamiales","2007","05","Almas","-47.142222","-11.146667","47W8'32''","11S8'48''",NA
"6","2019-09-04 18:33:11-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Lamiaceae","Hyptis","arenaria","Hyptis arenaria","Isotype","G. Gardner","3390","1842",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spermatophyta","Dicotyledoneae",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA
"7","2016-08-23 10:59:36-03","NHMLondon","NHM-LONDON-BOT","BM000992930","S","Plantae","Lamiaceae","Hyptis","arenaria","Hyptis arenaria","Isotype","George Gardner; b.1812; d.1849; Gardner","3390","1839","10",NA,NA,"Brasil","Goiás",NA,NA,"NHMUK:ecatalogue:497354","<a href=http://www.nhm.ac.uk/services/media-store/asset/8ed3974ee296394b704d12d1a9b61507b92f3403/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-49.675","-15.883333","-49.675","-15.883333",NA
"8","2014-09-23 10:58:01-03","G","G","G00437887","S","Plantae","Lamiaceae","Hyptis","arenaria","Hyptis arenaria","ISOTYPUS of Hyptis arenaria Benth.","Gardner, G.","3390","1840",NA,"00","AMERIQUE DU SUD","Brazil","Goias",NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00437887","Benth.",NA,NA,"?",NA,NA,NA,NA,NA,NA,"-49.56972222","-15.81194444","-49.56972222","-15.81194444",NA
"9","2014-09-23 10:58:01-03","G","G","G00437889","S","Plantae","Lamiaceae","Hyptis","arenaria","Hyptis arenaria","ISOTYPUS of Hyptis arenaria Benth.","Gardner, G.","3390","1840",NA,"00","AMERIQUE DU SUD","Brazil","Goias",NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00437889","Benth.",NA,NA,"Epling, C. C.",NA,NA,NA,"1928","01",NA,"-49.56972222","-15.81194444","-49.56972222","-15.81194444","01"
"10","2014-09-23 10:58:01-03","G","G","G00437888","S","Plantae","Lamiaceae","Hyptis","arenaria","Hyptis arenaria","ISOTYPUS of Hyptis arenaria Benth.","Gardner, G.","3390","1840",NA,"00","AMERIQUE DU SUD","Brazil","Goias",NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00437888","Benth.",NA,NA,"Harley, R. M.",NA,NA,NA,"1982","01",NA,"-49.56972222","-15.81194444","-49.56972222","-15.81194444","01"
