"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","identifiedBy","recordedBy","recordNumber","continentOcean","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus","previousCatalogNumber"
"1","2021-04-05 14:34:03-03","UNESC","CRI","10637","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","ulmifolia","Gouania ulmifolia","Hook. & Arn.","2000","09","08","Brasil","Santa Catarina","Praia Grande","Aparados da Serra - Pedras Brancas.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI008964","CRI008964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","533467","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","ulmifolia","Gouania ulmifolia","Hook. & Arn.","1909","04","09","Brazil","Paraná","Ponta Grossa","Ponta Grossa","-50.077154","-25.140873",NA,NA,"NY00533467","NY00533467_01","Magnoliophyta","Rosales","G. O. A. Malme","P. K. H. Dusén","7951","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733153' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","533466","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","ulmifolia","Gouania ulmifolia","Hook. & Arn.","1909","01","17","Brazil","Paraná","Ponta Grossa","Ponta Grossa","-50.077154","-25.140873",NA,NA,"NY00533466","NY00533466_01","Magnoliophyta","Rosales","G. O. A. Malme","P. K. H. Dusén","7517","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733152' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00996228","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","ulmifolia","Gouania ulmifolia","Hook. & Arn.","1847","01","06","Brazil","Minas Gerais","Caldas",NA,"-46.3858","-21.9236",NA,NA,"NY00996228","NY00996228_01","Magnoliophyta","Rosales","R. Lima","A. F. Regnell","I.409","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103756' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","533469","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","ulmifolia","Gouania ulmifolia","Hook. & Arn.","1956","02","05","Brazil","Santa Catarina","Ibirama","Ibirama.","-49.534691","-27.013976",NA,NA,"NY00533469","NY00533469_01","Magnoliophyta","Rosales","M. C. Johnston","R. Reitz","2646","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733150' target='other'> <mi>dwc_moreinfo</mi></a>","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","533470","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","ulmifolia","Gouania ulmifolia","Hook. & Arn.","1918","01","15","Brazil","São Paulo","Sao Paulo","Butantan","-46.724373","-23.565521",NA,NA,"NY00533470","NY00533470_01","Magnoliophyta","Rosales",NA,"F. C. Hoehne","1318","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733156' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","533480","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","ulmifolia","Gouania ulmifolia","Hook. & Arn.","1942","12","01","Brazil","Rio Grande do Sul",NA,"Vale Julio de Castilhos.",NA,NA,NA,NA,"NY00533480","NY00533480_01","Magnoliophyta","Rosales","O. Kosovsky","J. E. Leite","3015","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45592' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","533482","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","ulmifolia","Gouania ulmifolia","Hook. & Arn.","1981","11","28","Brazil","São Paulo","Sao Roque","Sao Roque Linha Sorocabana.","-47.13","-23.5203",NA,NA,"NY00533482","NY00533482_01","Magnoliophyta","Rosales","O. Kosovsky","K. Mizoguchi","1721","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45594' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00996229","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","ulmifolia","Gouania ulmifolia","Hook. & Arn.","1930","03","21","Brazil","Minas Gerais","Viçosa","Agricultural College lands; hill northwest of main buildings.","-42.868031","-20.7613428",NA,NA,"NY00996229","NY00996229_01","Magnoliophyta","Rosales",NA,"Y. E. J. Mexia","4495","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103759' target='other'> <mi>dwc_moreinfo</mi></a>","695","695",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","533479","PreservedSpecimen","Plantae","Rhamnaceae","Gouania","ulmifolia","Gouania ulmifolia","Hook. & Arn.","1957","03","17","Brazil","Rio Grande do Sul","Vacaria","Pinheiral, ravine by Rio Pelotas, by Estrada da Rodagem Federal.","-50.9339","-28.5122",NA,NA,"NY00533479","NY00533479_01","Magnoliophyta","Rosales","O. Kosovsky","L. B. Smith","12246","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45591' target='other'> <mi>dwc_moreinfo</mi></a>","600","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
