"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","476026","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Janusia","occhionii","Janusia occhionii","W.R.Anderson","W. R. Anderson","G. G. Hatschbach","14253","1966","04","28","South America","Brazil","Paraná","Cianorte","Fazenda Lagoa","-52.6047","-23.6633","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476026","NY00476026_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","71328","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Janusia","occhionii","Janusia occhionii","W.R.Anderson",NA,"W. R. Anderson","11175","1974","03","23","South America","Brazil","Mato Grosso do Sul","Mundo Novo","65 km by road S of Naviraí","-54.2708015441895","-23.9381008148193","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=594828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00071328","NY00071328_01","isotype","19849","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476025","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Janusia","occhionii","Janusia occhionii","W.R.Anderson","W. R. Anderson","G. G. Hatschbach","882","1962","02","03","South America","Brazil","Paraná","Campo Mourao","Campo Mourao, Estrada para o Aeroporto","-52.3831","-24.0458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476025","NY00476025_01",NA,NA,NA,"625","625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","476027","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Janusia","occhionii","Janusia occhionii","W.R.Anderson","W. R. Anderson","J. C. Lindeman","979","1966","04","07","South America","Brazil","Paraná","Sao Tomé","Fazenda Lagoa, S. of Rio Ivaí, ca. 15 km E. of Sao Tomé","-52.5906","-23.5381","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476027",NA,NA,NA,NA,"240","240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","476024","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Janusia","occhionii","Janusia occhionii","W.R.Anderson","W. R. Anderson","W. R. Anderson","11151","1974","03","19","South America","Brazil","Paraná","Cianorte","Fazenda Lagôa, ca. 20 km N of Cianorte","-52.6049995422363","-23.6632995605469","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476024",NA,NA,"32009","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:04-03","UNESP-IBB","BOTU","25788","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Janusia","occhionii","Janusia occhionii","W.R. Anderson","Sebastiani, R.","Souto, L.S.","8","2008","02","15",NA,"Brasil","São Paulo","Avaré",NA,NA,NA,NA,"Arbusto escandente, flores vistosas e amarelas","BOTU025788",NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:55:27-03","NBC","NL-BOTANY","U.1368725","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Janusia","occhionii","Janusia occhionii","W.R.Anderson","Anderson WR","Simonis JE; Pérez de Molas LF; Hahn WJ; Duré R",NA,"1983","03","18","Southern America","Paraguay","Amambay",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1368725 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1368725","NL-U1368725",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0141931",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:55:27-03","NBC","NL-BOTANY","U.1607751","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Janusia","occhionii","Janusia occhionii","W.R.Anderson","Anderson C","Lindeman JC; Haas JH de",NA,"1966","04","07","Southern America","Brazil","Paraná",NA,"Fazenda Lagoa, S. of Rio Iva'i, ca. 15 km E. of Sao Tom'e.",NA,NA,NA,"Campo cerrado near airstrip; reddish sand.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1607751 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1607751",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:12:42-03","ESALQ","ESA","26012","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Janusia","occhioni","Janusia occhioni","W.R.Anderson","Sebastiani, R.","Souza, V.C. ; Souza, J.P.","9724.0","1995","12","20",NA,"Brasil","São Paulo","Assis","Cerca de 12 Km da cidade em direção a Marília. Cerradão.","-50.4099998474121","-22.6599998474121",NA,"Escandente; elaióforos verdes; pétalas e filetes amarelo-alaranjados; samarídeos avermelhados.","ESA026012","ESA026012",NA,"23972","auto",NA,NA,NA,NA,NA,NA,"2007","10","24",NA,NA,NA
"10","2020-11-04 11:12:42-03","ESALQ","ESA","30933","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Janusia","occhioni","Janusia occhioni","W.R.Anderson","Sebastiani, R.","Souza, V.C. ; Souza, J.P.","10857.0","1996","02","13",NA,"Brasil","São Paulo","Paraguaçu Paulista","19 km de Paraguaçu Paulista em direção a Assis. Estrada para a Fazenda São Francisco. 22*34'57,4S, 50*29'46,4W. 520 msm. Cerrado.","-50.5699996948242","-22.4099998474121",NA,"Escandente; elaióforos verde-claros; pétalas amarelo-alaranjadas.","ESA030933","ESA030933",NA,"36102","auto",NA,NA,NA,NA,NA,NA,"2007",NA,NA,NA,NA,NA
