"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","typeStatus","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","fieldNumber","sex"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","2467","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","heloisae","Encholirium heloisae","(L.B.Sm.) Forzza & Wand.","Carlos A. Ferreira Jr.","2010","03","26","Carlos Alberto F. Jr.; Rainna Souza Gomes","2010","03","26","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328","26557","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1457","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","heloisae","Encholirium heloisae","(L.B.Sm.) Forzza & Wand.","Carlos A. Ferreira Jr.","2010","03","26","Carlos Alberto F. Jr.; Rainna Souza Gomes","2010","03","26","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328","26557","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","2468","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","heloisae","Encholirium heloisae","(L.B.Sm.) Forzza & Wand.","Carlos A. Ferreira Jr.","2010","03","26","Carlos Alberto F. Jr.; Rainna Souza Gomes","2010","03","26","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328","26557",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","247073","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","heloisae","Dyckia heloisae","L.B.Sm.",NA,NA,NA,NA,"L. B. Smith","1952","04","29","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, 5 km al Norte do Chapeu de Sol.","-43.95","-19.67",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714586' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"isotype","6698","South America","1100","1100","sheet","NY00247073","NY00247073_01",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","873360","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","heloisae","Encholirium heloisae","(L.B.Sm.) Forzza",NA,NA,NA,NA,"W. R. Anderson","1972","02","05","Brazil","Minas Gerais","Datas","Serra do Espinhaço, ca. 15 km S of Diamantina","-43.6897","-18.3249",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955618' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"35559","South America","1250","1250","sheet","NY00873360","NY00873360_01",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","873359","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","heloisae","Encholirium heloisae","(L.B.Sm.) Forzza","R. C. Forzza",NA,NA,NA,"H. S. Irwin","1968","02","19","Brazil","Minas Gerais",NA,"Serra do Cipó, km. 115 (ca. 140km N. of Belo Horizonte).","-43.4","-18.9",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955604' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"20472","South America","1250","1250","sheet","NY00873359","NY00873359_01",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","873358","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","heloisae","Encholirium heloisae","(L.B.Sm.) Forzza","R. C. Forzza",NA,NA,NA,"G. G. Hatschbach","1973","02","14","Brazil","Minas Gerais","Jaboticatubas","Fda. Serra do Cipó","-43.7447","-19.5136",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955303' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"31544","South America","1300","1300","sheet","NY00873358","NY00873358_01",NA,NA,NA,NA,NA
"8","2021-02-08 11:07:46-03","UNESP-IBB","BOTU","17553","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","heloisae","Encholirium heloisae","(L.B. Sm.) Forzza & Wand.",NA,NA,NA,NA,"Carmelo, S.M.","1989","10","09","Brasil","Minas Gerais","Lagoa Santa",NA,"-43.6","-19.266667",NA,NA,"Folhas cinzas e duras",NA,NA,"53",NA,NA,NA,NA,"BOTU017553",NA,"43°36'w","19°16's",NA,NA,NA
"9","2020-11-04 10:55:09-03","ESALQ","ESA","135994","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","heloisae","Dyckia heloisae","L.B.Smith","T.Wendt","1987",NA,NA,"T.Wendt","1987","02","01","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"76.0",NA,NA,NA,NA,"ESA135994","ESA135994",NA,NA,NA,NA,NA
"10","2021-01-14 15:25:52-03","MN","R","111334","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","heloisae","Encholirium heloisae","(L.B. Sm.) Forzza & Wand.","Forzza, R.C.","2001",NA,NA,"Heringer, E.P. 22031; Castellanos, A.","1958","03","03","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"Et. Horto Florest.Paraopeba.Minas Gerais. nº 5.959",NA,NA,NA,NA,NA,NA,NA,"R010005783",NA,NA,NA,NA,NA,NA
"11","2021-01-14 15:25:52-03","MN","R","141002","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","heloisae","Encholirium heloisae","(L.B. Sm.) Forzza & Wand.","Forzza, R.C.","2001",NA,NA,"Irwin, H.S. 20472; Maxwell, H. & Wasshausen, D.C.","1968","02","19","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"New York Botanical Garden - Plants of the Planalto do Brasil - Serra do Espinhaço",NA,NA,NA,NA,"1250","1250",NA,"R010005782",NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:16:25-03","UFV","VIC","34788","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Encholirium","heloisae","Encholirium heloisae","L. B. Sm.",NA,NA,NA,NA,"Paixão-Souza, B.; Guarçoni, E.","2011","05","22","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Trilha dos escravos","-43.7144012451172","-19.1688995361328","26557",NA,"Rupícola. Folhas vináceas. Em frutificação.","auto",NA,"s.n.",NA,NA,NA,NA,"VIC034788","VIC034788",NA,NA,NA,NA,NA
